0: [[2, 10, 3], [4, 15, 5, 6], [9, 8, 1, 13], [11, 7], [14, 12, 17, 16, 19, 18, 20], [22], [23, 21, 24]]
1: [[2], [5, 6], [4, 15], [1, 9, 13], [8, 11, 7], [14, 12, 10], [17, 16, 19, 18, 3], [20, 22], [23, 21, 24]]
2: [[2], [5, 6], [4, 15], [1, 9], [13, 8], [11, 7], [14, 12, 17, 10], [16, 19, 18, 3], [20, 22], [23, 21, 24]]
3: [[2], [5, 6], [4, 15], [1, 9], [13, 8], [11, 7], [14, 12, 17, 10], [16, 19, 18, 3], [20, 22], [23, 21, 24]]
4: [[2], [5, 4, 15, 6], [1, 9, 13, 8], [11, 7, 14, 10], [12, 17, 16, 3], [19, 18, 20, 22], [23, 21, 24]]
5: [[2], [5, 4, 15, 6], [1, 9], [13, 8], [11, 7], [14, 12, 10], [17, 16, 3], [19, 18, 20, 22], [23, 21, 24]]
6: [[2, 10, 3], [6, 5, 4, 15], [1, 9], [13, 8, 11, 7, 14, 12, 17, 16], [19], [18, 20, 22], [23, 21, 24]]
7: [[2], [4, 6, 5], [15, 1], [9, 13, 8], [11, 7], [14, 10], [12, 17], [16, 19, 18, 3], [20, 22], [23, 21, 24]]
8: [[2], [5, 4], [15, 1, 9, 6], [13, 8], [11, 7], [14, 12, 17, 10], [16, 19, 3], [18, 20, 22], [23, 21, 24]]
9: [[2], [5, 4, 15, 6], [1, 9], [13, 8], [11, 7, 14, 12], [17, 16, 3], [19, 18, 20, 10], [22, 23, 21, 24]]
10: [[2], [5, 4, 6], [15, 1], [9, 13, 8], [11, 7, 14, 10], [12, 17, 16, 3], [19, 18], [20, 22], [23, 21, 24]]
11: [[2], [5, 4, 6], [15, 1], [9, 13], [8, 11, 7], [14, 12, 10], [17, 16, 19, 18, 3], [20, 22], [23, 21, 24]]
12: [[2], [5, 4], [15, 1], [9, 13, 6], [8, 11, 7, 14, 10], [12, 17, 16, 3], [19, 18], [20, 22], [23, 21, 24]]
13: [[2], [5, 4, 6], [15, 1], [9, 13, 8], [11, 7, 14, 12, 17, 10], [16, 19, 3], [18, 20], [22], [23, 21, 24]]
14: [[2], [5, 4, 6], [15, 1], [9, 13, 8], [11, 7], [14, 12, 17, 10], [16, 19, 3], [18, 20], [22, 23, 21, 24]]
15: [[2, 10, 3], [5, 4, 15, 6], [1, 9, 13, 8], [11, 7], [14, 12, 17, 16, 19, 18, 20, 22], [23], [21, 24]]
16: [[2], [4, 5], [15, 1], [9, 13], [8, 11, 6], [7, 14, 10], [12, 17], [16, 19, 18, 3], [20, 22], [23, 21, 24]]
17: [[2], [5, 4, 15, 6], [1, 9, 13, 8], [11, 7], [14, 12, 17, 10], [16, 19, 18, 3], [20, 22, 23], [21, 24]]
18: [[2], [5, 4], [15, 1], [9, 13], [8, 11], [7, 14, 10], [12, 17, 16, 3, 6], [19, 18, 20, 22], [23, 21, 24]]
19: [[2], [4, 5], [15, 1], [9, 13], [8, 11, 6], [7, 14, 10], [12, 17], [16, 19, 18, 20, 3], [22], [23, 21, 24]]
20: [[2], [5, 4, 15, 6], [1, 9], [13, 8, 11], [7, 14, 12, 17, 10], [16, 19, 18, 3], [20, 22, 23, 21, 24]]
21: [[2], [5, 4], [15, 1], [9, 13], [8, 11, 7], [14, 12, 17, 10], [16, 19, 3, 6], [18, 20], [22, 23, 21, 24]]
22: [[2], [5, 4, 15, 6], [1, 9, 13], [8, 11], [7, 14, 10], [12, 17], [16, 19, 18, 3], [20, 22, 23, 21, 24]]
23: [[2], [4, 5], [15, 1, 9, 6], [13, 8], [11, 7], [14, 12, 17, 10], [16, 19, 18, 3], [20, 22], [23, 21], [24]]
24: [[2], [5, 4, 6], [15, 1], [9, 13], [8, 11, 7], [14], [12, 17], [16, 19, 18, 20, 10, 3], [22, 23, 21, 24]]
25: [[2, 10], [3, 6, 5, 15, 1, 9, 13, 8, 11, 7, 14, 4], [12, 17, 16, 19, 18], [20, 22, 23, 21, 24]]
26: [[2, 10, 3, 6], [5, 4, 15, 1], [9, 13, 8], [11, 7], [14, 12], [17], [16, 19, 18], [20, 22, 23, 21, 24]]
27: [[2, 10, 3, 6, 5, 4, 15, 1, 9, 13, 8, 11, 7], [14, 12, 17, 16, 19, 18], [20, 22, 23, 21, 24]]
28: [[2], [5, 4, 15, 6], [1, 9, 13], [8, 11, 7], [14, 12, 10], [17, 16, 19, 3], [18, 20], [22, 23, 21], [24]]
29: [[2], [5, 4, 15, 6], [1, 9, 13], [8, 11, 7], [14, 12, 10], [17, 16, 19, 3], [18, 20], [22, 23, 21], [24]]
30: [[2], [5, 4], [15, 1, 9, 6], [13, 8], [11, 7, 14, 12, 17, 10], [16, 19, 3], [18, 20], [22, 23], [21, 24]]
