0: [[2, 16, 12], [23, 28], [9, 13, 18, 10], [24, 7], [6, 5, 25], [3, 20], [29, 14], [17, 11], [27, 4, 8, 22], [21], [15, 26], [19, 1]]
1: [[2, 16, 12], [23, 28], [9, 13, 18, 10], [24, 7], [6, 5, 25], [3, 20], [29, 14], [17, 11], [27, 4, 8, 22], [21], [15, 26], [19, 1]]
2: [[2, 16, 12], [23, 28], [9, 13, 18, 10], [24, 7], [6, 5, 25], [3, 20], [29, 14], [17, 11], [27, 4, 8, 22], [21], [15, 26], [19, 1]]
3: [[2, 16, 12], [23, 28], [9, 13, 18, 10], [24, 7], [6, 5, 25], [3, 20], [29, 14], [17, 11], [27, 4, 8, 22], [21], [15, 26], [19, 1]]
4: [[2, 16, 12], [23, 28], [9, 13, 18, 10], [24, 7], [6, 5, 25], [3, 20], [29, 14], [17, 11], [27, 4, 8, 22], [21], [15, 26], [19, 1]]
5: [[2, 16, 12], [23, 28], [9, 13, 18, 10], [24, 7], [6, 5, 25], [3, 20], [29, 14], [17, 11], [27, 4, 8, 22], [21], [15, 26], [19, 1]]
6: [[2, 16, 12], [23, 28], [9, 13, 18, 10], [24, 7], [6, 5, 25], [3, 20], [29, 14], [17, 11], [27, 4, 8, 22], [21], [15, 26], [19, 1]]
7: [[2, 16, 12], [23, 28], [9, 13, 18, 10], [24, 7], [6, 5, 25], [3, 20], [29, 14], [17, 11], [27, 4, 8, 22], [21], [15, 26], [19, 1]]
8: [[2, 16, 12], [23, 28], [9, 13, 18, 10], [24, 7], [6, 5, 25], [3, 20], [29, 14], [17, 11], [27, 4, 8, 22], [21], [15, 26], [19, 1]]
9: [[2, 16, 12], [23, 28], [9, 13, 18, 10], [24, 7], [6, 5, 25], [3, 20], [29, 14], [17, 11], [27, 4, 8, 22], [21], [15, 26], [19, 1]]
10: [[2, 16, 12], [23, 28], [9, 13, 18, 10], [24, 7], [6, 5, 25], [3, 20], [29, 14], [17, 11], [27, 4, 8, 22], [21], [15, 26], [19, 1]]
11: [[2, 16, 12], [23, 28], [9, 13, 18, 10], [24, 7], [6, 5, 25], [3, 20], [29, 14], [17, 11], [27, 4, 8, 22], [21], [15, 26], [19, 1]]
12: [[2, 16, 12], [23, 28], [9, 13, 18, 10], [24, 7], [6, 5, 25], [3, 20], [29, 14], [17, 11], [27, 4, 8, 22], [21], [15, 26], [19, 1]]
13: [[2, 16, 12], [23, 28], [9, 13, 18, 10], [24, 7], [6, 5, 25], [3, 20], [29, 14], [17, 11], [27, 4, 8, 22], [21], [15, 26], [19, 1]]
14: [[2, 16, 12], [23, 28], [9, 13, 18, 10], [24, 7], [6, 5, 25], [3, 20], [29, 14], [17, 11], [27, 4, 8, 22], [21], [15, 26], [19, 1]]
15: [[2, 16, 12], [23, 28], [9, 13, 18, 10], [24, 7], [6, 5, 25], [3, 20], [29, 14], [17, 11], [27, 4, 8, 22], [21], [15, 26], [19, 1]]
16: [[2, 16, 12], [23, 28], [9, 13, 18, 10], [24, 7], [6, 5, 25], [3, 20], [29, 14], [17, 11], [27, 4, 8, 22], [21], [15, 26], [19, 1]]
17: [[2, 16, 12], [23, 28], [9, 13, 18, 10], [24, 7], [6, 5, 25], [3, 20], [29, 14], [17, 11], [27, 4, 8, 22], [21], [15, 26], [19, 1]]
18: [[2, 16, 12], [23, 28], [9, 13, 18, 10], [24, 7], [6, 5, 25], [3, 20], [29, 14], [17, 11], [27, 4, 8, 22], [21], [15, 26], [19, 1]]
19: [[2, 16, 12], [23, 28], [9, 13, 18, 10], [24, 7], [6, 5, 25], [3, 20], [29, 14], [17, 11], [27, 4, 8, 22], [21], [15, 26], [19, 1]]
20: [[2, 16, 12], [23, 28], [9, 13, 18, 10], [24, 7], [6, 5, 25], [3, 20], [29, 14], [17, 11], [27, 4, 8, 22], [21], [15, 26], [19, 1]]
21: [[2, 16, 12], [23, 28], [9, 13, 18, 10], [24, 7], [6, 5, 25], [3, 20], [29, 14], [17, 11], [27, 4, 8, 22], [21], [15, 26], [19, 1]]
22: [[2, 16, 12], [23, 28], [9, 13, 18, 10], [24, 7], [6, 5, 25], [3, 20], [29, 14], [17, 11], [27, 4, 8, 22], [21], [15, 26], [19, 1]]
23: [[2, 16, 12], [23, 28], [9, 13, 18, 10], [24, 7], [6, 5, 25], [3, 20], [29, 14], [17, 11], [27, 4, 8, 22], [21], [15, 26], [19, 1]]
24: [[2, 16, 12], [23, 28], [9, 13, 18, 10], [24, 7], [6, 5, 25], [3, 20], [29, 14], [17, 11], [27, 4, 8, 22], [21], [15, 26], [19, 1]]
25: [[2, 16, 12], [23, 28], [9, 13, 18, 10], [24, 7], [6, 5, 25], [3, 20], [29, 14], [17, 11], [27, 4, 8, 22], [21], [15, 26], [19, 1]]
26: [[2, 16, 12], [23, 28], [9, 13, 18, 10], [24, 7], [6, 5, 25], [3, 20], [29, 14], [17, 11], [27, 4, 8, 22], [21], [15, 26], [19, 1]]
27: [[2, 16, 12], [23, 28], [9, 13, 18, 10], [24, 7], [6, 5, 25], [3, 20], [29, 14], [17, 11], [27, 4, 8, 22], [21], [15, 26], [19, 1]]
28: [[2, 16, 12], [23, 28], [9, 13, 18, 10], [24, 7], [6, 5, 25], [3, 20], [29, 14], [17, 11], [27, 4, 8, 22], [21], [15, 26], [19, 1]]
29: [[2, 16, 12], [23, 28], [9, 13, 18, 10], [24, 7], [6, 5, 25], [3, 20], [29, 14], [17, 11], [27, 4, 8, 22], [21], [15, 26], [19, 1]]
30: [[2, 16, 12], [23, 28], [9, 13, 18, 10], [24, 7], [6, 5, 25], [3, 20], [29, 14], [17, 11], [27, 4, 8, 22], [21], [15, 26], [19, 1]]
31: [[2, 16, 12], [23, 28], [9, 13, 18, 10], [24, 7], [6, 5, 25], [3, 20], [29, 14], [17, 11], [27, 4, 8, 22], [21], [15, 26], [19, 1]]
