0: [[5, 8, 10, 3, 2], [7, 14, 16, 6], [11, 9], [1, 13, 12], [19, 20, 17, 18, 15, 4]]
1: [[5, 8, 10, 3, 2], [7, 14, 16, 6], [11, 9], [1, 13, 12], [19, 20, 17, 18, 15, 4]]
2: [[5, 8, 10, 3, 2], [7, 14, 16, 6], [11, 9], [1, 13, 12], [19, 20, 17, 18, 15, 4]]
3: [[5, 8, 10, 3, 2], [7, 14, 16, 6], [11, 9], [1, 13, 12], [19, 20, 17, 18, 15, 4]]
4: [[5, 8, 10, 3, 2], [7, 14, 16, 6], [11, 9], [1, 13, 12], [19, 20, 17, 18, 15, 4]]
5: [[5, 8, 10, 3, 2], [7, 14, 16, 6], [11, 9], [1, 13, 12], [19, 20, 17, 18, 15, 4]]
6: [[5, 8, 10, 3, 2], [7, 14, 16, 6], [11, 9], [1, 13, 12], [19, 20, 17, 18, 15, 4]]
7: [[5, 8, 10, 3, 2], [7, 14, 16, 6], [11, 9], [1, 13, 12], [19, 20, 17, 18, 15, 4]]
8: [[5, 8, 10, 3, 2], [7, 14, 16, 6], [11, 9], [1, 13, 12], [19, 20, 17, 18, 15, 4]]
9: [[5, 8, 10, 3, 2], [7, 14, 16, 6], [11, 9], [1, 13, 12], [19, 20, 17, 18, 15, 4]]
10: [[5, 8, 10, 3, 2], [7, 14, 16, 6], [11, 9], [1, 13, 12], [19, 20, 17, 18, 15, 4]]
11: [[5, 8, 10, 3, 2], [7, 14, 16, 6], [11, 9], [1, 13, 12], [19, 20, 17, 18, 15, 4]]
12: [[5, 8, 10, 3, 2], [7, 14, 16, 6], [11, 9], [1, 13, 12], [19, 20, 17, 18, 15, 4]]
13: [[5, 8, 10, 3, 2], [7, 14, 16, 6], [11, 9], [1, 13, 12], [19, 20, 17, 18, 15, 4]]
14: [[5, 8, 10, 3, 2], [7, 14, 16, 6], [11, 9], [1, 13, 12], [19, 20, 17, 18, 15, 4]]
15: [[5, 8, 10, 3, 2], [7, 14, 16, 6], [11, 9], [1, 13, 12], [19, 20, 17, 18, 15, 4]]
16: [[5, 8, 10, 3, 2], [7, 14, 16, 6], [11, 9], [1, 13, 12], [19, 20, 17, 18, 15, 4]]
17: [[5, 8, 10, 3, 2], [7, 14, 16, 6], [11, 9], [1, 13, 12], [19, 20, 17, 18, 15, 4]]
18: [[5, 8, 10, 3, 2], [7, 14, 16, 6], [11, 9], [1, 13, 12], [19, 20, 17, 18, 15, 4]]
19: [[5, 8, 10, 3, 2], [7, 14, 16, 6], [11, 9], [1, 13, 12], [19, 20, 17, 18, 15, 4]]
20: [[5, 8, 10, 3, 2], [7, 14, 16, 6], [11, 9], [1, 13, 12], [19, 20, 17, 18, 15, 4]]
21: [[5, 8, 10, 3, 2], [7, 14, 16, 6], [11, 9], [1, 13, 12], [19, 20, 17, 18, 15, 4]]
22: [[5, 8, 10, 3, 2], [7, 14, 16, 6], [11, 9], [1, 13, 12], [19, 20, 17, 18, 15, 4]]
23: [[5, 8, 10, 3, 2], [7, 14, 16, 6], [11, 9], [1, 13, 12], [19, 20, 17, 18, 15, 4]]
24: [[5, 8, 10, 3, 2], [7, 14, 16, 6], [11, 9], [1, 13, 12], [19, 20, 17, 18, 15, 4]]
25: [[5, 8, 10, 3, 2], [7, 14, 16, 6], [11, 9], [1, 13, 12], [19, 20, 17, 18, 15, 4]]
26: [[5, 8, 10, 3, 2], [7, 14, 16, 6], [11, 9], [1, 13, 12], [19, 20, 17, 18, 15, 4]]
27: [[5, 8, 10, 3, 2], [7, 14, 16, 6], [11, 9], [1, 13, 12], [19, 20, 17, 18, 15, 4]]
28: [[5, 8, 10, 3, 2], [7, 14, 16, 6], [11, 9], [1, 13, 12], [19, 20, 17, 18, 15, 4]]
29: [[5, 8, 10, 3, 2], [7, 14, 16, 6], [11, 9], [1, 13, 12], [19, 20, 17, 18, 15, 4]]
30: [[5, 8, 10, 3, 2], [7, 14, 16, 6], [11, 9], [1, 13, 12], [19, 20, 17, 18, 15, 4]]
31: [[5, 8, 10, 3, 2], [7, 14, 16, 6], [11, 9], [1, 13, 12], [19, 20, 17, 18, 15, 4]]
32: [[5, 8, 10, 3, 2], [7, 14, 16, 6], [11, 9], [1, 13, 12], [19, 20, 17, 18, 15, 4]]
33: [[5, 8, 10, 3, 2], [7, 14, 16, 6], [11, 9], [1, 13, 12], [19, 20, 17, 18, 15, 4]]
34: [[5, 8, 10, 3, 2], [7, 14, 16, 6], [11, 9], [1, 13, 12], [19, 20, 17, 18, 15, 4]]
35: [[5, 8, 10, 3, 2], [7, 14, 16, 6], [11, 9], [1, 13, 12], [19, 20, 17, 18, 15, 4]]
36: [[5, 8, 10, 3, 2], [7, 14, 16, 6], [11, 9], [1, 13, 12], [19, 20, 17, 18, 15, 4]]
37: [[5, 8, 10, 3, 2], [7, 14, 16, 6], [11, 9], [1, 13, 12], [19, 20, 17, 18, 15, 4]]
38: [[5, 8, 10, 3, 2], [7, 14, 16, 6], [11, 9], [1, 13, 12], [19, 20, 17, 18, 15, 4]]
39: [[5, 8, 10, 3, 2], [7, 14, 16, 6], [11, 9], [1, 13, 12], [19, 20, 17, 18, 15, 4]]
40: [[5, 8, 10, 3, 2], [7, 14, 16, 6], [11, 9], [1, 13, 12], [19, 20, 17, 18, 15, 4]]
41: [[5, 8, 10, 3, 2], [7, 14, 16, 6], [11, 9], [1, 13, 12], [19, 20, 17, 18, 15, 4]]
