0: [[11, 7, 12, 8], [6, 9], [1, 4, 10], [2, 13], [3, 5]]
1: [[11, 7, 12, 8], [6, 9], [1, 4, 10], [2, 13], [3, 5]]
2: [[11, 7, 12, 8], [6, 9], [1, 4, 10], [2, 13], [3, 5]]
3: [[11, 7, 12], [8, 6, 9], [1, 4, 10], [2, 13], [3, 5]]
4: [[11, 7, 12], [8, 6, 9], [1, 4, 10], [2, 13], [3, 5]]
5: [[11, 7, 12], [8, 6, 9], [1, 4, 10], [2, 13], [3, 5]]
6: [[11, 7, 12], [8, 6, 9], [1, 4, 10], [2, 13, 3, 5]]
7: [[11, 7, 12], [8, 6, 9], [1, 4, 10], [2, 13, 3, 5]]
8: [[11, 7, 12], [8, 6, 9], [1, 4, 10], [2, 13, 3, 5]]
9: [[11, 7, 12, 8], [6, 9], [1, 4], [10, 2, 13, 3, 5]]
10: [[11, 7, 12, 8], [6, 9, 1], [4, 10], [2, 13], [3, 5]]
11: [[11, 7, 12, 8], [6, 9, 1], [4, 10], [2, 13], [3, 5]]
12: [[11, 7, 12], [8, 6], [9, 1, 4, 10, 2, 13, 3, 5]]
13: [[11, 7, 12], [8, 6], [9, 1, 4, 10, 2, 13, 3, 5]]
14: [[11, 7], [12, 8], [6, 9], [1, 4, 10], [2, 13], [3, 5]]
15: [[11, 7, 12], [8, 6, 9, 1], [4, 10, 2, 13, 3, 5]]
16: [[11, 7], [12, 8, 6, 9], [1, 4, 10, 2], [13, 3, 5]]
17: [[11, 7, 12], [8, 6], [9, 1], [4, 10, 2, 13, 3, 5]]
18: [[11, 7], [12, 8], [6, 9, 1], [4, 10, 2, 13], [3, 5]]
19: [[11, 7], [12, 8], [6, 9, 1, 4, 10, 2, 13, 3, 5]]
20: [[11, 7], [12, 8, 6], [9, 1], [4, 10], [2, 13, 3, 5]]
21: [[11, 7], [12, 8, 6], [9, 1], [4, 10], [2, 13, 3, 5]]
22: [[11, 7], [12, 8], [6, 9, 1], [4, 10], [2, 13, 3, 5]]
23: [[11, 7], [12, 8], [6, 9, 1], [4, 10], [2, 13, 3, 5]]
24: [[11, 7], [12, 8], [6, 9, 1, 4], [10, 2], [13, 3, 5]]
25: [[11, 7], [12, 8, 6], [9, 1], [4, 10, 2], [13, 3, 5]]
