It No., Best MQ, No clusters, max clus, min clus
1,2.0132864211811583,7,5,1
2,1.9320536445536445,5,6,2
3,2.166666666666667,5,5,3
4,2.036868686868687,5,6,2
5,1.8714285714285714,4,5,5
6,1.9562289562289563,4,7,3
7,2.103896103896104,5,5,3
8,1.7548282470883088,3,7,6
9,2.006239935587762,5,5,2
10,1.9535714285714285,4,5,5
11,2.149410774410774,5,5,3
12,1.8426470588235295,6,4,2
13,1.7548282470883088,3,7,6
14,2.0793968180157436,4,7,4
15,2.104090909090909,5,5,3
16,1.9200000000000004,5,5,3
17,1.7878915202444614,4,7,3
18,1.9667832167832169,5,6,3
19,1.7264264264264264,3,7,6
20,2.1661929308988133,5,6,2
21,2.1850168350168353,5,5,3
22,1.7548282470883088,3,7,6
23,1.9168350168350168,4,5,5
24,1.9532880474056946,5,6,2
25,1.824698575082207,4,7,3
26,1.9168350168350168,4,5,5
27,2.132620320855615,5,5,3
28,1.8060421836228286,4,5,5
29,1.9287878787878785,5,5,2
30,1.9248196248196248,5,5,2
31,1.7583887657058388,3,7,6
