0: [[38, 5, 7], [2, 3, 4], [24, 1, 72], [6, 12, 22], [9], [15, 14, 11], [29, 19, 16, 13, 23], [17, 21, 18], [20, 27, 26], [28, 31, 25], [30, 36, 60, 43], [37, 54], [32, 34, 44, 8, 39], [33, 40, 63], [41, 45], [35, 46, 51, 47, 42, 49, 53, 52, 55, 50, 56, 57], [59], [48, 58, 61, 62, 68, 64, 65], [67, 66, 79, 69, 70, 75, 71, 73, 74, 76, 78, 77, 82, 80, 85, 84, 87, 83, 81, 86, 88, 10]]
1: [[38, 5, 7], [2, 3, 4], [24, 1, 72], [6, 12, 22, 10], [9, 8, 11], [29, 21, 17], [15, 20, 14], [16, 13, 18, 27, 19, 26], [57, 23, 30, 54, 60, 25, 28, 41, 42, 50, 56, 31], [33, 34, 47, 32, 43, 45, 44], [35, 36, 52], [39, 46, 37], [61, 48, 40], [49, 51, 53, 55, 58, 59, 62, 77, 64, 67, 70, 65, 78, 66, 75, 69, 63, 68, 71, 74], [79, 76, 73, 81, 82, 80, 87, 83, 85, 84, 86, 88]]
2: [[38, 5, 7], [2, 3, 4], [24, 1, 72], [6, 12, 22, 10], [9, 8, 11], [29, 21, 17], [15, 20, 14], [16, 13, 18, 27, 19, 26], [57, 23, 30, 54, 60, 25, 28, 41, 42, 50, 56, 31], [33, 34, 47, 32, 43, 45, 44], [35, 36, 52], [39, 46, 37], [61, 48, 40], [49, 51, 53, 55, 58, 59, 62, 77, 64, 67, 70, 65, 78, 66, 75, 69, 63, 68, 71, 74], [79, 76, 73, 81, 82, 80, 87, 83, 85, 84, 86, 88]]
3: [[38, 5, 7], [2, 3, 4], [24, 1, 72], [6, 12, 22, 10], [9, 8, 11], [29, 21, 17], [15, 20, 14], [16, 13, 18, 27, 19, 26], [57, 23, 30, 54, 60, 25, 28, 41, 42, 50, 56, 31], [33, 34, 47, 32, 43, 45, 44], [35, 36, 52], [39, 46, 37], [61, 48, 40], [49, 51, 53, 55, 58, 59, 62, 77, 64, 67, 70, 65, 78, 66, 75, 69, 63, 68, 71, 74], [79, 76, 73, 81, 82, 80, 87, 83, 85, 84, 86, 88]]
4: [[38, 5, 7], [2, 3, 4], [24, 1, 72], [6, 12, 22], [9, 8, 10], [15, 11, 14], [13, 31, 19, 16, 17, 20, 18, 23, 26, 21, 25, 27, 60, 28, 29, 30, 47, 41, 57, 32, 48], [33, 35, 36, 39, 34, 42, 37, 43, 58, 40, 44, 45, 53, 46, 63, 50, 54, 55, 56, 52, 62, 59, 51, 49, 61, 68, 64, 83, 65, 67, 69, 79, 66, 71, 73, 77, 75, 70, 76, 74, 82, 80, 78, 86, 84, 81], [87, 85, 88]]
5: [[38, 5, 7], [2, 3, 4], [24, 1, 72], [6, 12, 22], [9, 8], [15, 14], [23, 31, 21, 11, 18, 13], [20, 28, 27, 16, 17, 57, 26, 19, 29, 56, 25], [42, 51, 34, 48, 39, 50, 30, 40, 32, 43, 45, 33, 41, 35, 37, 36, 44, 46, 53, 10], [47, 54, 63, 49, 55, 52, 59, 61, 62, 58, 60, 65, 64, 66, 71, 67, 77, 68, 74, 69, 73, 79, 75, 76, 80, 70, 78, 82, 83, 87, 81, 86, 84, 85, 88]]
6: [[38, 5, 7], [2, 3, 4], [24, 1, 72], [6, 12, 22], [9, 8, 11], [30, 31, 16, 14, 15, 18, 19, 29, 53, 20, 13, 23], [17, 46, 58], [50, 59, 21], [51, 49, 55, 25, 62, 34, 26, 37, 33, 36, 63, 27, 28, 32, 35, 41], [43, 40, 39, 10], [47, 52, 42, 44, 45, 56, 54, 48, 60, 61, 68, 64, 65, 57, 70, 69, 66, 79, 74, 67, 73, 75, 76], [77, 78, 80, 84, 81, 88, 83, 86, 71, 85, 82, 87]]
7: [[38, 5, 7], [2, 3, 4], [24, 1, 72], [6, 12, 22], [9, 8, 11], [14, 27], [25, 28], [17, 30, 19, 15, 16, 20, 21, 23, 26, 31, 32, 61, 18, 43, 29, 48, 41, 35, 37, 36, 42, 44, 45, 34, 47, 46, 39, 33, 49, 40, 58, 53, 52, 51, 63, 50, 55, 56, 59, 60, 54, 57, 62, 64, 70, 66, 65, 67, 75, 69, 68, 77, 73, 10, 13], [79, 71, 74, 76, 78, 81, 82, 80, 83, 87, 86, 84, 85, 88]]
8: [[38, 5, 7], [2, 3, 4], [24, 1, 72], [6, 12, 22, 9], [10, 8], [11, 31], [13, 14, 15, 20], [19, 18], [16, 17, 21], [60, 26, 57, 23, 25], [29, 28, 30, 42], [27, 41, 32, 47], [33, 53, 37], [34, 39, 40], [36, 43, 46], [49, 44, 45, 35, 52, 48, 50], [54, 51, 58, 59, 61, 56, 55, 62, 63], [65, 66, 64, 67, 70, 68], [71, 73, 78, 69, 79, 75, 74, 76, 77, 80, 82, 84, 83, 81, 86, 87, 85, 88]]
9: [[38, 5, 7], [2, 3, 4], [24, 1, 72], [6, 12, 22], [9, 8, 10, 13], [28, 25, 20], [15, 11, 14], [18, 16, 19], [27, 17, 21, 26, 23, 31], [62, 29, 56, 34, 45, 42, 35, 48, 30, 33, 41, 47], [32, 43, 49, 44, 36, 46, 50], [39, 51, 37], [60, 52, 40], [59, 55, 53], [54, 57, 58, 61, 63, 64, 69, 65, 66, 78, 70, 67, 77, 87, 68, 71, 74], [79, 76, 73, 84, 82, 80, 75, 83, 85, 81, 86, 88]]
10: [[38, 5, 7], [2, 3, 4], [24, 1, 72], [6, 12, 22], [9, 10, 8, 11], [15, 14, 31], [13, 28, 16], [19, 21, 17], [25, 18, 20, 23], [26, 29, 61, 59], [35, 27], [37, 42, 57], [46, 36, 33], [39, 30, 34], [32, 40, 41], [44, 62, 45], [50, 43, 47], [48, 53, 49], [51, 54, 55], [56, 52, 58], [60, 63, 65], [64, 71, 67, 66, 68, 69, 70], [79, 77, 74, 75, 78, 73, 76, 80, 82, 84, 87, 81, 85, 83, 86, 88]]
11: [[38, 5, 7], [2, 3, 4], [24, 1, 72], [6, 12, 22], [9, 8, 10], [14, 15, 11], [27, 17], [13, 16, 18], [20, 26, 19, 25], [21, 53, 61, 23, 28, 29], [62, 33, 30, 59, 49, 36, 42, 39, 41, 52, 46, 31, 44, 32, 34, 35, 37, 40, 58, 56, 43, 48, 45, 50, 47, 60, 51, 54, 57, 63, 55, 64, 65, 67, 66, 76, 69, 68, 70, 71, 73, 75, 77, 74, 78, 79, 84, 80, 86, 81, 83, 85, 82, 88], [87]]
12: [[38, 5, 7], [2, 3, 4], [24, 1], [72, 6, 12, 22], [9, 11, 8], [14], [15, 28, 13, 23], [17, 18, 27], [16, 19, 21], [30, 20, 25], [26, 29], [61, 58], [40, 31, 47], [41, 32, 33], [34, 35, 39, 10], [36, 46], [37, 42], [50, 62, 44, 56, 48], [53, 45, 49, 54], [52, 51, 59], [57, 63, 55, 60, 43], [68, 64, 71, 65], [78, 69, 67, 66], [70, 74, 75], [73, 79, 76], [77, 80, 82], [86, 81, 87, 85], [84, 83, 88]]
13: [[38, 5, 7], [2, 3, 4], [24, 1, 72], [6, 12, 22], [9, 8, 10], [15, 14], [11, 31, 13, 25, 16, 19], [17, 26, 27], [20, 18, 21], [23, 28, 61], [30, 57, 56], [49, 35, 48], [32, 50, 29, 40, 42], [46, 41, 37], [33, 34, 39], [52, 44, 36, 55, 43, 54, 63, 45, 47, 51, 53, 59, 62, 58, 60, 65, 64, 67, 66, 74, 71, 68, 70, 69, 73, 79, 75, 76, 81, 77, 78, 82, 80, 87, 84, 83, 85, 86, 88]]
14: [[38, 5, 7], [2, 3, 4], [24, 1, 72], [6, 12, 22], [9, 10, 8, 11, 15, 14], [29, 19, 23, 17, 16, 13, 18, 21], [20, 30, 51, 63, 25, 52], [26, 28, 31, 45, 36, 35, 33, 37, 27, 32, 56, 39, 44, 42, 40, 41, 47, 61, 43, 48, 50, 34, 57, 49, 46, 53, 55, 58, 54, 59, 62, 60, 64, 66, 70, 73, 69, 67, 74, 65, 77, 68, 71, 75, 76, 79, 78, 81, 83, 82, 84, 80, 85, 86, 87, 88]]
15: [[38, 5, 7], [2, 3, 4], [24, 1, 72], [6, 12, 22], [9, 10, 8], [14, 15, 11], [31, 13, 17, 16, 19, 21, 48, 20, 18], [23, 29], [26], [25, 27, 59, 30, 34, 36, 41, 45, 35, 33, 37, 62], [40, 28, 44], [32, 39, 43, 46, 55, 42, 49, 50, 47, 56, 51, 53, 58, 52, 54, 57, 60, 61, 63, 64, 68, 67, 70, 65, 71, 66, 76, 69, 73, 75, 79, 74, 77, 78, 84, 80, 82, 86, 83, 81, 85, 87, 88]]
