0: [[17, 15, 32, 30, 19, 8, 5], [33, 25, 34, 31, 13, 11, 23], [7, 9, 16, 35, 24, 1, 29, 22], [28, 37, 20, 4, 3, 2, 12], [14, 27, 10, 6, 18, 36, 26, 21]]
1: [[17, 15, 32, 30, 19, 8, 5], [33, 25, 34, 31, 13, 11, 23], [7, 9, 16, 35, 24, 1, 29, 22], [28, 37, 20, 4, 3, 2, 12], [14, 27, 10, 6, 18, 36, 26, 21]]
2: [[17, 15, 32, 30, 19, 8, 5], [33, 25, 34, 31, 13, 11, 23], [7, 9, 16, 35, 24, 1, 29, 22], [28, 37, 20, 4, 3, 2, 12], [14, 27, 10, 6, 18, 36, 26, 21]]
3: [[17, 15, 32, 30, 19, 8, 5], [33, 25, 34, 31, 13, 11, 23], [7, 9, 16, 35, 24, 1, 29, 22], [28, 37, 20, 4, 3, 2, 12], [14, 27, 10, 6, 18, 36, 26, 21]]
4: [[17, 15, 32, 30, 19, 8, 5], [33, 25, 34, 31, 13, 11, 23], [7, 9, 16, 35, 24, 1, 29, 22], [28, 37, 20, 4, 3, 2, 12], [14, 27, 10, 6, 18, 36, 26, 21]]
5: [[17, 15, 32, 30, 19, 8, 5], [33, 25, 34, 31, 13, 11, 23], [7, 9, 16, 35, 24, 1, 29, 22], [28, 37, 20, 4, 3, 2, 12], [14, 27, 10, 6, 18, 36, 26, 21]]
6: [[17, 15, 32, 30, 19, 8, 5], [33, 25, 34, 31, 13, 11, 23], [7, 9, 16, 35, 24, 1, 29, 22], [28, 37, 20, 4, 3, 2, 12], [14, 27, 10, 6, 18, 36, 26, 21]]
7: [[17, 15, 32, 30, 19, 8, 5], [33, 25, 34, 31, 13, 11, 23], [7, 9, 16, 35, 24, 1, 29, 22], [28, 37, 20, 4, 3, 2, 12], [14, 27, 10, 6, 18, 36, 26, 21]]
8: [[17, 15, 32, 30, 19, 8, 5], [33, 25, 34, 31, 13, 11, 23], [7, 9, 16, 35, 24, 1, 29, 22], [28, 37, 20, 4, 3, 2, 12], [14, 27, 10, 6, 18, 36, 26, 21]]
9: [[17, 15, 32, 30, 19, 8, 5], [33, 25, 34, 31, 13, 11, 23], [7, 9, 16, 35, 24, 1, 29, 22], [28, 37, 20, 4, 3, 2, 12], [14, 27, 10, 6, 18, 36, 26, 21]]
10: [[17, 15, 32, 30, 19, 8, 5], [33, 25, 34, 31, 13, 11, 23], [7, 9, 16, 35, 24, 1, 29, 22], [28, 37, 20, 4, 3, 2, 12], [14, 27, 10, 6, 18, 36, 26, 21]]
11: [[17, 15, 32, 30, 19, 8, 5], [33, 25, 34, 31, 13, 11, 23], [7, 9, 16, 35, 24, 1, 29, 22], [28, 37, 20, 4, 3, 2, 12], [14, 27, 10, 6, 18, 36, 26, 21]]
12: [[17, 15, 32, 30, 19, 8, 5], [33, 25, 34, 31, 13, 11, 23], [7, 9, 16, 35, 24, 1, 29, 22], [28, 37, 20, 4, 3, 2, 12], [14, 27, 10, 6, 18, 36, 26, 21]]
13: [[17, 15, 32, 30, 19, 8, 5], [33, 25, 34, 31, 13, 11, 23], [7, 9, 16, 35, 24, 1, 29, 22], [28, 37, 20, 4, 3, 2, 12], [14, 27, 10, 6, 18, 36, 26, 21]]
14: [[17, 15, 32, 30, 19, 8, 5], [33, 25, 34, 31, 13, 11, 23], [7, 9, 16, 35, 24, 1, 29, 22], [28, 37, 20, 4, 3, 2, 12], [14, 27, 10, 6, 18, 36, 26, 21]]
15: [[17, 15, 32, 30, 19, 8, 5], [33, 25, 34, 31, 13, 11, 23], [7, 9, 16, 35, 24, 1, 29, 22], [28, 37, 20, 4, 3, 2, 12], [14, 27, 10, 6, 18, 36, 26, 21]]
16: [[17, 15, 32, 30, 19, 8, 5], [33, 25, 34, 31, 13, 11, 23], [7, 9, 16, 35, 24, 1, 29, 22], [28, 37, 20, 4, 3, 2, 12], [14, 27, 10, 6, 18, 36, 26, 21]]
17: [[17, 15, 32, 30, 19, 8, 5], [33, 25, 34, 31, 13, 11, 23], [7, 9, 16, 35, 24, 1, 29, 22], [28, 37, 20, 4, 3, 2, 12], [14, 27, 10, 6, 18, 36, 26, 21]]
18: [[17, 15, 32, 30, 19, 8, 5], [33, 25, 34, 31, 13, 11, 23], [7, 9, 16, 35, 24, 1, 29, 22], [28, 37, 20, 4, 3, 2, 12], [14, 27, 10, 6, 18, 36, 26, 21]]
19: [[17, 15, 32, 30, 19, 8, 5], [33, 25, 34, 31, 13, 11, 23], [7, 9, 16, 35, 24, 1, 29, 22], [28, 37, 20, 4, 3, 2, 12], [14, 27, 10, 6, 18, 36, 26, 21]]
20: [[17, 15, 32, 30, 19, 8, 5], [33, 25, 34, 31, 13, 11, 23], [7, 9, 16, 35, 24, 1, 29, 22], [28, 37, 20, 4, 3, 2, 12], [14, 27, 10, 6, 18, 36, 26, 21]]
21: [[17, 15, 32, 30, 19, 8, 5], [33, 25, 34, 31, 13, 11, 23], [7, 9, 16, 35, 24, 1, 29, 22], [28, 37, 20, 4, 3, 2, 12], [14, 27, 10, 6, 18, 36, 26, 21]]
22: [[17, 15, 32, 30, 19, 8, 5], [33, 25, 34, 31, 13, 11, 23], [7, 9, 16, 35, 24, 1, 29, 22], [28, 37, 20, 4, 3, 2, 12], [14, 27, 10, 6, 18, 36, 26, 21]]
23: [[17, 15, 32, 30, 19, 8, 5], [33, 25, 34, 31, 13, 11, 23], [7, 9, 16, 35, 24, 1, 29, 22], [28, 37, 20, 4, 3, 2, 12], [14, 27, 10, 6, 18, 36, 26, 21]]
24: [[17, 15, 32, 30, 19, 8, 5], [33, 25, 34, 31, 13, 11, 23], [7, 9, 16, 35, 24, 1, 29, 22], [28, 37, 20, 4, 3, 2, 12], [14, 27, 10, 6, 18, 36, 26, 21]]
25: [[17, 15, 32, 30, 19, 8, 5], [33, 25, 34, 31, 13, 11, 23], [7, 9, 16, 35, 24, 1, 29, 22], [28, 37, 20, 4, 3, 2, 12], [14, 27, 10, 6, 18, 36, 26, 21]]
26: [[17, 15, 32, 30, 19, 8, 5], [33, 25, 34, 31, 13, 11, 23], [7, 9, 16, 35, 24, 1, 29, 22], [28, 37, 20, 4, 3, 2, 12], [14, 27, 10, 6, 18, 36, 26, 21]]
