0: [[7, 10, 2, 5], [8, 11, 1, 3], [13, 14, 6, 4, 9], [12, 15, 18, 17, 16, 19, 20]]
1: [[7, 10, 2, 5], [8, 11, 1, 3], [13, 14, 6, 4, 9], [12, 15, 18, 17, 16, 19, 20]]
2: [[7, 10, 2, 5], [8, 11, 1, 3], [13, 14, 6, 4, 9], [12, 15, 18, 17, 16, 19, 20]]
3: [[7, 10, 2, 5], [8, 11, 1, 3], [13, 14, 6, 4, 9], [12, 15, 18, 17, 16, 19, 20]]
4: [[7, 10, 2, 5], [8, 11, 1, 3], [13, 14, 6, 4, 9], [12, 15, 18, 17, 16, 19, 20]]
5: [[7, 10, 2, 5], [8, 11, 1, 3], [13, 14, 6, 4, 9], [12, 15, 18, 17, 16, 19, 20]]
6: [[7, 10, 2, 5], [8, 11, 1, 3], [13, 14, 6, 4, 9], [12, 15, 18, 17, 16, 19, 20]]
7: [[7, 10, 2, 5], [8, 11, 1, 3], [13, 14, 6, 4, 9], [12, 15, 18, 17, 16, 19, 20]]
8: [[7, 10, 2, 5], [8, 11, 1, 3], [13, 14, 6, 4, 9], [12, 15, 18, 17, 16, 19, 20]]
9: [[7, 10, 2, 5], [8, 11, 1, 3], [13, 14, 6, 4, 9], [12, 15, 18, 17, 16, 19, 20]]
10: [[7, 10, 2, 5], [8, 11, 1, 3], [13, 14, 6, 4, 9], [12, 15, 18, 17, 16, 19, 20]]
11: [[7, 10, 2, 5], [8, 11, 1, 3], [13, 14, 6, 4, 9], [12, 15, 18, 17, 16, 19, 20]]
12: [[7, 10, 2, 5], [8, 11, 1, 3], [13, 14, 6, 4, 9], [12, 15, 18, 17, 16, 19, 20]]
13: [[7, 10, 2, 5], [8, 11, 1, 3], [13, 14, 6, 4, 9], [12, 15, 18, 17, 16, 19, 20]]
14: [[7, 10, 2, 5], [8, 11, 1, 3], [13, 14, 6, 4, 9], [12, 15, 18, 17, 16, 19, 20]]
15: [[7, 10, 2, 5], [8, 11, 1, 3], [13, 14, 6, 4, 9], [12, 15, 18, 17, 16, 19, 20]]
16: [[7, 10, 2, 5], [8, 11, 1, 3], [13, 14, 6, 4, 9], [12, 15, 18, 17, 16, 19, 20]]
17: [[7, 10, 2, 5], [8, 11, 1, 3], [13, 14, 6, 4, 9], [12, 15, 18, 17, 16, 19, 20]]
18: [[7, 10, 2, 5], [8, 11, 1, 3], [13, 14, 6, 4, 9], [12, 15, 18, 17, 16, 19, 20]]
19: [[7, 10, 2, 5], [8, 11, 1, 3], [13, 14, 6, 4, 9], [12, 15, 18, 17, 16, 19, 20]]
20: [[7, 10, 2, 5], [8, 11, 1, 3], [13, 14, 6, 4, 9], [12, 15, 18, 17, 16, 19, 20]]
21: [[7, 10, 2, 5], [8, 11, 1, 3], [13, 14, 6, 4, 9], [12, 15, 18, 17, 16, 19, 20]]
22: [[7, 10, 2, 5], [8, 11, 1, 3], [13, 14, 6, 4, 9], [12, 15, 18, 17, 16, 19, 20]]
23: [[7, 10, 2, 5], [8, 11, 1, 3], [13, 14, 6, 4, 9], [12, 15, 18, 17, 16, 19, 20]]
24: [[7, 10, 2, 5], [8, 11, 1, 3], [13, 14, 6, 4, 9], [12, 15, 18, 17, 16, 19, 20]]
25: [[7, 10, 2, 5], [8, 11, 1, 3], [13, 14, 6, 4, 9], [12, 15, 18, 17, 16, 19, 20]]
26: [[7, 10, 2, 5], [8, 11, 1, 3], [13, 14, 6, 4, 9], [12, 15, 18, 17, 16, 19, 20]]
27: [[7, 10, 2, 5], [8, 11, 1, 3], [13, 14, 6, 4, 9], [12, 15, 18, 17, 16, 19, 20]]
28: [[7, 10, 2, 5], [8, 11, 1, 3], [13, 14, 6, 4, 9], [12, 15, 18, 17, 16, 19, 20]]
29: [[7, 10, 2, 5, 8], [11, 1, 3, 13], [14, 6, 4, 9], [12, 15, 18, 17, 16, 19, 20]]
30: [[7, 10, 2, 5, 8], [11, 1, 3, 13], [14, 6, 4, 9], [12, 15, 18, 17, 16, 19, 20]]
31: [[7, 10, 2, 5, 8], [11, 1, 3, 13], [14, 6, 4, 9], [12, 15, 18, 17, 16, 19, 20]]
32: [[7, 10, 2, 5, 8], [11, 1, 3, 13], [14, 6, 4, 9], [12, 15, 18, 17, 16, 19, 20]]
33: [[7, 10, 2, 5, 8], [11, 1, 3, 13], [14, 6, 4, 9], [12, 15, 18, 17, 16, 19, 20]]
34: [[7, 10, 2, 5, 8], [11, 1, 3, 13], [14, 6, 4, 9], [12, 15, 18, 17, 16, 19, 20]]
35: [[7, 10, 2, 5, 8], [11, 1, 3, 13], [14, 6, 4, 9], [12, 15, 18, 17, 16, 19, 20]]
36: [[7, 10, 2, 5, 8], [11, 1, 3, 13], [14, 6, 4, 9], [12, 15, 18, 17, 16, 19, 20]]
37: [[7, 10, 2, 5, 8], [11, 1, 3, 13], [14, 6, 4, 9], [12, 15, 18, 17, 16, 19, 20]]
38: [[7, 10, 2, 5, 8], [11, 1, 3, 13], [14, 6, 4, 9], [12, 15, 18, 17, 16, 19, 20]]
39: [[7, 10, 2, 5, 8], [11, 1, 3, 13], [14, 6, 4, 9], [12, 15, 18, 17, 16, 19, 20]]
40: [[7, 10, 2, 5, 8], [11, 1, 3, 13], [14, 6, 4, 9], [12, 15, 18, 17, 16, 19, 20]]
41: [[7, 10, 2, 5, 8], [11, 1, 3, 13], [14, 6, 4, 9], [12, 15, 18, 17, 16, 19, 20]]
