0: [[11, 12, 13], [17, 20], [14, 4], [10, 8], [3, 1], [2, 5, 7, 9], [16, 6, 15], [19, 18]]
1: [[11, 12, 13], [17, 20], [14, 4], [10, 8], [3, 1], [2, 5, 7, 9], [16, 6, 15], [19, 18]]
2: [[11, 12, 13], [17, 20], [14, 4], [10, 8], [3, 1], [2, 5, 7], [16, 9, 6], [18, 19, 15]]
3: [[11], [12, 13], [17, 20], [14, 4], [10, 8], [3, 1], [2, 5, 7], [16, 9, 6, 15], [18, 19]]
4: [[11, 12], [13, 17, 20, 4], [14], [10, 8], [3, 1], [2, 5, 7], [16, 9, 6], [18, 19, 15]]
5: [[11, 12], [13, 17, 20, 4], [14, 10, 6], [8, 3], [1, 2], [5, 7], [16, 9, 15], [19, 18]]
6: [[11, 12, 13], [17, 20, 14, 4], [10, 8, 3, 1, 2], [5, 7], [16, 18, 19, 15, 9, 6]]
7: [[11, 12], [13, 17, 9], [20, 14, 4], [10], [8, 3, 1], [2, 5], [7, 16, 6], [18, 19, 15]]
8: [[11, 12], [13, 17], [20, 14, 4], [10, 8], [3, 1, 2], [5, 7, 9], [16, 6], [18, 19, 15]]
9: [[11, 12, 13], [17], [20, 14, 4, 15], [10, 8], [3, 1], [2, 5, 7], [16, 9, 6], [19], [18]]
10: [[11, 12], [13, 17, 20, 4], [14, 10, 6], [8, 3], [1, 2, 5], [7, 16, 9], [19, 18, 15]]
11: [[11, 12], [13, 17, 4], [20], [14, 10, 6], [8, 3], [1, 2], [5, 7], [16, 9, 15], [18, 19]]
12: [[11, 12, 13], [17, 20, 4], [14, 10, 8], [3, 1], [2, 5], [7, 9], [16, 19, 6, 15], [18]]
13: [[11], [12, 13, 17], [20, 14, 4], [10, 8, 3], [1, 2], [5, 7], [16, 9, 6], [19, 18, 15]]
14: [[11, 12], [13, 17, 9], [20, 14, 4], [10, 8, 3], [1, 2, 5], [7, 16, 6], [19, 18], [15]]
15: [[11], [12, 13], [17, 20], [14, 10, 4, 6], [8, 3, 1, 2], [5, 7], [16, 19, 18, 9, 15]]
16: [[11, 12], [13, 17], [20, 14, 4], [10, 8, 3], [1, 2], [5, 7], [16, 9, 6], [19, 18, 15]]
17: [[11, 12, 13], [17, 20], [14, 10, 8, 4], [3, 1], [2, 5], [7, 16, 6], [18, 19, 9, 15]]
18: [[11], [12, 13], [17, 20], [14, 10, 6], [8, 3, 4], [1, 2], [5, 7, 16, 9], [19, 18, 15]]
19: [[11, 12, 13], [17, 20, 14, 4], [10], [8, 3], [1, 2], [5], [7, 16, 9, 6], [19, 18], [15]]
20: [[11, 12], [13, 17, 20, 4], [14, 10], [8, 3, 1], [2, 5], [7, 16, 6], [18, 19, 9, 15]]
21: [[11, 12, 13], [17, 20, 4], [14, 10, 8], [3, 1], [2, 5], [7, 16, 18, 9, 6], [19, 15]]
22: [[11, 12], [13, 17, 20, 4], [14], [10, 8], [3, 1, 2], [5, 7, 16, 6], [19, 18, 9, 15]]
23: [[11], [12, 13], [17, 20], [14, 4], [10, 8], [3, 1, 2], [5, 7, 16, 9], [19, 18, 6, 15]]
24: [[11, 12, 13], [17, 20, 14, 4, 15], [10], [8, 3, 1, 2], [5, 7, 16, 6, 19, 18, 9]]
25: [[11, 12, 13], [17, 20], [14, 10, 4], [8, 3, 1], [2, 5], [7, 16, 6], [18, 9, 15], [19]]
26: [[11, 12], [13, 17, 4], [20], [14, 10, 8], [3, 1, 2], [5, 7], [16, 9, 6], [19, 18, 15]]
27: [[11], [12, 13], [17, 20, 14, 4], [10], [8, 3, 1, 2], [5, 7, 16, 9], [18, 19, 6, 15]]
28: [[11, 12], [13, 17], [4, 20, 14], [10, 8], [3, 1, 2], [5, 7, 16], [9, 6, 15], [18, 19]]
29: [[11, 12], [13, 17], [20, 14, 4], [10], [8, 3, 1], [2, 5, 7], [16, 19, 6, 15], [18, 9]]
30: [[11, 12], [13, 17], [20, 14, 4], [10, 8], [3, 1, 2], [5, 7, 16], [18, 19], [9, 6], [15]]
31: [[11, 12, 13], [17, 20, 14, 4], [10, 8, 3, 1, 2, 5, 7, 16, 9, 6, 15, 19, 18]]
32: [[11, 12, 13], [17, 20, 4, 14, 10, 8, 3, 1, 2, 5, 7, 16, 9, 6, 15], [19, 18]]
33: [[11, 12, 13], [17, 20], [14, 10, 4], [8, 3], [1, 2, 5, 7, 16, 6, 19, 18, 9, 15]]
34: [[11, 12, 13], [17, 20, 4], [14, 10, 8, 3, 1, 2, 5, 7, 9, 16, 6, 19, 18, 15]]
35: [[11, 12], [13, 17], [20, 4], [14, 10, 8], [3, 1, 2], [5, 7, 16], [9, 6, 15], [19, 18]]
36: [[11, 12, 13], [17, 20], [4, 14, 10, 8, 3, 1, 2, 5, 7, 9, 16, 6, 15, 19, 18]]
37: [[11, 12], [13, 17], [20, 14, 4], [10, 8], [3, 1], [2], [5, 7, 16], [19, 9, 6, 15], [18]]
38: [[11], [12, 13], [17, 20, 14, 4, 10], [8, 3, 1], [2], [5, 7, 16, 9, 6, 19, 18, 15]]
39: [[11, 12, 13, 17, 20, 6, 4], [10, 8, 3, 1, 2, 5], [7, 16, 14, 19, 18, 9, 15]]
40: [[11, 12, 13], [17, 20, 14, 4, 10, 8, 3, 1, 2, 5, 7, 9, 16, 19, 18], [6, 15]]
41: [[11], [12, 13, 17, 20, 14, 4, 10, 8, 3, 1, 2, 5, 7, 9, 16, 6, 15, 18], [19]]
