0: [[22, 4, 2, 3, 14, 6, 1, 13, 10], [9, 15, 8, 5], [11, 7], [12, 16, 18, 19, 17, 20], [23, 21, 24]]
1: [[22, 13, 4, 2, 3, 14, 6, 1, 10], [5, 9, 15, 8], [11, 7], [12, 16, 18, 19, 17, 20], [23, 21, 24]]
2: [[22, 13, 4, 2, 3, 14, 6, 1, 10], [5, 9, 15, 8], [11, 7], [12, 16, 18, 19, 17, 20], [23, 21, 24]]
3: [[22, 13, 4, 2, 3, 14, 1, 10], [6, 5, 9, 15, 8], [11, 7], [12, 16, 18, 19, 17, 20], [23, 21, 24]]
4: [[22, 13, 4, 2, 3, 14, 6, 5, 1, 10], [9, 15, 8], [11, 7], [12, 16, 18, 19, 17, 20], [23, 21, 24]]
5: [[22, 13, 2, 3, 4, 1], [10, 14], [6, 5, 9, 15, 8], [11, 7, 12, 16, 18, 19, 17, 20], [23, 21, 24]]
6: [[22], [1, 2, 3, 10, 14, 4], [6, 5, 9, 15, 8, 13], [11, 7, 12, 16, 18, 19, 17, 20], [23, 21, 24]]
7: [[22], [1, 2, 3, 10, 14, 4], [6, 5, 9, 15, 8, 13], [11, 7, 12, 16, 18, 19, 17, 20], [23, 21, 24]]
8: [[22, 13, 4, 1], [2, 3, 14, 6, 5, 9, 15, 8, 10], [11, 7], [12, 16, 18, 19, 17, 20], [23, 21, 24]]
9: [[22, 13, 4, 1], [2, 3, 14, 6, 5, 9, 15, 8, 10], [11, 7], [12, 16, 18, 19, 17, 20], [23, 21, 24]]
10: [[22, 13, 4, 1], [2, 3, 14, 6, 5, 9, 15, 8, 10], [11, 7], [12, 16, 18, 19, 17, 20], [23, 21, 24]]
11: [[22, 13, 4, 2, 3, 1], [14, 6, 5, 9, 15, 8, 10], [11, 7], [12, 16, 18, 19, 17, 20], [23, 21, 24]]
12: [[22, 1, 2, 3, 10, 14, 4], [6, 5], [9, 15, 8, 13], [11, 7, 12, 16, 18, 19, 17, 20], [23, 21, 24]]
13: [[22, 1, 2, 3, 10, 14, 4], [6, 5], [9, 15, 8, 13], [11, 7, 12, 16, 18, 19, 17, 20], [23, 21, 24]]
14: [[22, 13, 4, 1, 2, 3], [10, 14], [6, 5, 9], [15, 8, 11, 7, 12, 16, 18, 19, 17, 20], [23, 21, 24]]
15: [[22, 13, 2, 1], [3, 10], [14, 6, 5, 9, 15, 8, 4], [11, 7, 12, 16, 18, 19, 17, 20], [23, 21, 24]]
16: [[22, 13, 2, 1], [3, 10], [14, 6, 5, 9, 15, 8, 4], [11, 7, 12, 16, 18, 19, 17, 20], [23, 21, 24]]
17: [[22, 13, 2, 3, 1], [10, 14], [6, 5, 9, 15, 4], [8, 11, 7, 12, 16, 18, 19, 17, 20], [23, 21, 24]]
18: [[22, 13, 4, 1], [2, 3, 10, 14, 6, 5, 9], [15, 8], [11, 7, 12, 16, 18, 19, 17, 20], [23, 21, 24]]
19: [[22, 13, 2, 3, 1], [10, 14], [6, 5, 9, 15, 4], [8, 11, 7, 12, 16, 18, 19, 17, 20], [23, 21, 24]]
20: [[22, 13, 2, 3, 1], [10, 14], [6, 5, 9, 15, 4], [8, 11, 7, 12, 16, 18, 19, 17, 20], [23, 21, 24]]
21: [[22, 13, 2, 3, 1], [10, 14], [6, 5, 9, 15, 4], [8, 11, 7, 12, 16, 18, 19, 17, 20], [23, 21, 24]]
22: [[22, 13, 4, 2, 1], [10, 14, 6, 5, 9, 3], [15, 8, 11, 7, 12, 16, 18, 19], [17, 20], [23, 21, 24]]
