0: [[17, 1, 19, 11], [5, 12, 16, 6, 13], [18, 20, 9, 8], [2, 3, 10], [4, 15], [7, 14], [23, 24, 22, 21]]
1: [[17, 1, 19, 11], [5, 12, 16, 6, 13], [18, 20, 9, 8], [2, 3, 10], [4, 15], [7, 14], [23, 24, 22, 21]]
2: [[17, 1, 19], [11, 5, 12, 16], [6, 13], [18, 20, 9, 8], [2, 3, 10], [4, 15], [7, 14], [23, 24, 22, 21]]
3: [[17, 1, 19], [11, 5, 12, 16], [6, 13, 18], [20, 9, 8], [2, 3, 10], [4, 15], [7, 14], [23, 24, 22, 21]]
4: [[17, 1, 19], [11, 5, 12], [16, 6, 13, 18], [20, 9, 8, 2], [3, 10, 4, 15], [7, 14], [23, 24, 22, 21]]
5: [[17, 1, 19], [11, 5, 12], [16, 6, 13, 18], [20, 9, 8, 2], [3, 10, 4, 15], [7, 14], [23, 24, 22, 21]]
6: [[17, 1], [19, 11, 5, 12, 16, 6, 13, 18, 20, 9, 8], [2, 3, 10, 4], [15, 7, 14], [23, 24, 22, 21]]
7: [[17, 1, 19, 11], [5, 12, 16], [6, 13, 18, 20], [9, 8], [2, 3, 10, 4], [15, 7, 14], [23, 24, 22, 21]]
8: [[17, 1, 19], [11, 5, 12, 16, 6], [13, 18, 20, 9], [8, 2, 3, 10], [4, 15, 7, 14], [23, 24, 22, 21]]
9: [[17, 1, 19], [11, 5, 12, 16, 6], [13, 18, 20, 9], [8, 2, 3, 10], [4, 15, 7, 14], [23, 24, 22, 21]]
10: [[17, 1, 19], [11, 5, 12], [16, 6, 13], [18, 20, 9], [8, 2, 3, 10], [4, 15, 7, 14], [23, 24, 22, 21]]
11: [[17, 1, 19, 11], [5, 12, 16], [6, 13, 18, 20], [9, 8, 2], [3, 10], [4, 15, 7, 14], [23, 24, 22, 21]]
12: [[17, 1, 19, 11], [5, 12, 16], [6, 13, 18, 20], [9, 8, 2], [3, 10], [4, 15, 7, 14], [23, 24, 22, 21]]
13: [[17, 1, 19, 11], [5, 12, 16], [6, 13, 18, 20], [9, 8, 2], [3, 10, 4], [15, 7, 14], [23, 24, 22, 21]]
