0: [[10, 5, 7], [1, 3], [8, 2], [13, 12, 11, 9], [14, 15, 16, 4, 6], [19, 17, 20, 18]]
1: [[10, 5, 7], [1, 3], [8, 2], [13, 12, 11, 9], [14, 15, 16, 4, 6], [19, 17, 20, 18]]
2: [[10, 5, 7], [1, 3], [8, 2], [13, 12, 11, 9], [14, 4, 6], [15, 16, 18, 17, 20, 19]]
3: [[10, 5, 7], [1, 3], [8, 2], [13, 12, 11, 9], [14, 15, 4, 6], [16, 19, 17, 20, 18]]
4: [[10, 5, 7], [1, 3], [8, 2], [13, 12, 11, 9], [14, 4, 6], [16, 18, 15], [17, 20, 19]]
5: [[10, 5, 7], [1, 3], [8, 2], [13, 12, 11], [14, 9, 4, 6], [15, 19, 16, 17, 20, 18]]
6: [[10, 5, 7], [1, 3], [8, 2], [13, 12, 11, 9], [14, 4, 6], [16, 19, 17, 20, 15], [18]]
7: [[10, 5, 7], [1, 3], [8, 2], [13, 12, 11, 9], [14, 15, 17, 4, 6], [16, 19, 20, 18]]
8: [[10, 5, 7], [1, 3], [8, 2], [13, 12, 11, 9], [14, 15, 18, 19, 17, 20, 16, 4, 6]]
9: [[10, 5, 7], [1, 3], [8, 2], [13, 12, 11], [14, 9, 4, 6], [16, 18, 15], [17, 20, 19]]
10: [[10, 5, 7], [1, 3], [8, 2], [13, 12, 11], [14, 9, 4, 6], [16, 18, 15], [17, 20, 19]]
11: [[10, 5, 7], [1, 3], [8, 2], [13, 12, 11], [6, 4, 14], [9, 15, 19, 16], [17, 20, 18]]
12: [[10, 5, 7], [1, 3], [8, 2, 13], [12, 11, 9], [14, 4, 6], [16, 18, 15], [17, 20, 19]]
13: [[10, 5, 7], [1, 3], [8, 2], [13, 12, 11], [14, 18, 9, 4, 6], [16, 17, 20, 19, 15]]
14: [[10, 5, 7], [1, 3], [8, 2], [13, 12, 11, 4], [14, 9, 6], [17, 16, 15], [18, 20, 19]]
15: [[10, 5, 7], [1, 3], [8, 2], [13, 12, 11, 14], [6, 4, 9], [15, 16, 18, 17, 20, 19]]
16: [[10, 5, 7], [1, 3, 8, 2], [13, 12, 11], [14, 4, 6, 15, 18, 16, 17, 20, 19, 9]]
17: [[10, 5, 7], [1, 3], [8, 2, 13], [12, 11], [14, 9, 4, 6], [18, 16, 15], [17, 20, 19]]
18: [[10, 5, 7], [1, 3], [8, 2], [13, 12, 11], [14, 19, 9, 4, 6, 15], [16, 17, 20, 18]]
19: [[10, 5, 7], [1, 3], [8, 2], [13, 12, 11], [14, 19, 9, 4, 6, 15], [16, 17, 20, 18]]
20: [[10, 5, 7], [1, 3], [8, 2, 13], [12, 11], [14, 9, 4, 6], [19, 16, 15], [17, 20, 18]]
21: [[10, 5, 7], [1, 3], [8, 2], [13, 12, 11], [14, 19, 18, 4, 6], [17, 20, 16, 9, 15]]
22: [[10, 5, 7], [1, 3, 8], [2, 13, 4], [12, 11, 9], [14], [16, 19, 17, 6, 15], [20, 18]]
23: [[10, 5, 7], [1, 3], [8, 2, 13, 12, 11], [14, 9, 4, 6], [15, 18, 19, 17, 20, 16]]
24: [[10, 5, 7], [1, 3], [8, 2, 13, 12], [11, 9, 4], [14], [16, 6, 15], [19, 17, 20, 18]]
25: [[10, 5, 7, 1], [3, 8], [2, 13, 4], [12, 11], [14, 9, 6], [16, 18, 15], [17, 20, 19]]
26: [[10, 5, 7], [1, 3, 8, 2], [13, 12], [11, 14, 15, 19, 9, 4, 6], [18, 17, 20, 16]]
27: [[10, 5, 7], [1, 3], [8, 2], [13, 12, 11, 4], [6, 9], [14, 15, 19], [18, 17, 20, 16]]
28: [[10, 5, 7], [1, 3, 8, 2], [13, 12], [11, 14, 15, 19, 9, 4, 6], [18, 17, 20, 16]]
29: [[10, 5, 7], [1, 3], [8, 2, 13, 12], [11, 9], [14, 19, 4, 6], [18, 17, 20, 16, 15]]
30: [[10, 5, 7], [1, 3, 8], [2, 13, 12], [11, 4], [14, 9, 6], [16, 18, 15], [17, 20, 19]]
31: [[10, 5, 7], [1, 3, 8, 2], [13, 12, 11, 9, 4, 6, 14, 15, 19, 16, 17, 20, 18]]
32: [[10, 5, 7], [1, 3, 8, 2, 13, 12, 11, 9, 4], [6, 14, 15, 16, 18, 17], [20, 19]]
33: [[10, 5], [7, 1, 3], [8, 2], [13, 12, 11], [14, 4, 6], [19, 9], [18, 17, 20, 16, 15]]
34: [[10, 5, 7], [1, 3, 8], [2, 13, 9, 4], [11, 6], [14, 12, 18], [16, 17, 15], [20, 19]]
35: [[10, 5, 7], [1, 3, 8], [2, 13, 12], [11, 9, 4], [14, 19, 6, 15], [17, 16, 20, 18]]
36: [[10, 5], [7, 1, 3, 8], [2, 13, 12], [11, 14, 15, 9, 4, 6], [16, 19, 17, 20, 18]]
37: [[10, 5, 7], [1, 3, 8, 2, 13, 12], [11, 14, 6, 4, 9, 15, 18, 19, 17, 20, 16]]
38: [[10, 5], [7, 1, 3], [8, 2, 13], [12, 11, 14], [6, 9, 4, 15], [16, 19, 17, 20, 18]]
39: [[10, 5, 7, 1, 3], [8, 2, 13, 12, 11, 9, 4, 6, 14, 15, 18], [19, 17, 20, 16]]
40: [[10, 5], [7, 1], [3, 8, 2], [13, 12, 11, 14], [16, 18, 17, 4, 6], [20, 19, 9, 15]]
41: [[10, 5, 7], [1, 3, 8, 2, 13, 12, 11, 9, 14, 4, 6, 15, 19, 18], [17, 20, 16]]
