0: [[4, 13, 8], [28, 24], [19, 1], [15, 7], [2, 29], [3, 12, 22], [6, 5], [9, 11, 10], [20], [17, 18, 14], [16, 21], [25, 23], [26, 27]]
1: [[4, 13, 8], [28, 24], [19, 1], [15, 7], [2, 29], [3, 12, 22], [6, 5], [9, 11, 10], [20], [17, 18, 14], [16, 21], [25, 23], [26, 27]]
2: [[4, 13, 8], [28, 24], [19, 1], [15, 7], [2, 29], [3, 12, 22], [6, 5], [9, 11, 10], [20], [17, 18, 14], [16, 21], [25, 23], [26, 27]]
3: [[4, 13, 8], [28, 24], [19, 1], [15, 7], [2, 29], [3, 12, 22], [6, 5], [9, 11, 10], [20], [17, 18, 14], [16, 21], [25, 23], [26, 27]]
4: [[4, 13, 8], [28, 24], [19, 1], [15, 7], [2, 29], [3, 12, 22], [6, 5], [9, 11, 10], [20], [17, 18, 14], [16, 21], [25, 23], [26, 27]]
5: [[4, 13, 8], [28, 24], [19, 1], [15, 7], [2, 29], [3, 12, 22], [6, 5], [9, 11, 10], [20], [17, 18, 14], [16, 21], [25, 23], [26, 27]]
6: [[4, 13, 8], [28, 24], [19, 1], [15, 7], [2, 29], [3, 12, 22], [6, 5], [9, 11, 10], [20], [17, 18, 14], [16, 21], [25, 23], [26, 27]]
7: [[4, 13, 8], [28, 24], [19, 1], [15, 7], [2, 29], [3, 12, 22], [6, 5], [9, 11, 10], [20], [17, 18, 14], [16, 21], [25, 23], [26, 27]]
8: [[4, 13, 8], [28, 24], [19, 1], [15, 7], [2, 29], [3, 12, 22], [6, 5], [9, 11, 10], [20], [17, 18, 14], [16, 21], [25, 23], [26, 27]]
9: [[4, 13, 8], [28, 24], [19, 1], [15, 7], [2, 29], [3, 12, 22], [6, 5], [9, 11, 10], [20], [17, 18, 14], [16, 21], [25, 23], [26, 27]]
10: [[4, 13, 8], [28, 24], [19, 1], [15, 7], [2, 29], [3, 12, 22], [6, 5], [9, 11, 10], [20], [17, 18, 14], [16, 21], [25, 23], [26, 27]]
11: [[4, 13, 8], [28, 24], [19, 1], [15, 7], [2, 29], [3, 12, 22], [6, 5], [9, 11, 10], [20], [17, 18, 14], [16, 21], [25, 23], [26, 27]]
12: [[4, 13, 8], [28, 24], [19, 1], [15, 7], [2, 29], [3, 12, 22], [6, 5], [9, 11, 10], [20], [17, 18, 14], [16, 21], [25, 23], [26, 27]]
13: [[4, 13, 8], [28, 24], [19, 1], [15, 7], [2, 29], [3, 12, 22], [6, 5], [9, 11, 10], [20], [17, 18, 14], [16, 21], [25, 23], [26, 27]]
