0: [[8, 32, 23, 6], [26, 25, 11, 31], [12, 16, 36, 27, 2], [1, 19, 3, 20, 4], [22, 24, 29, 7, 35], [33, 37, 15, 21, 28], [18, 9, 14, 17, 10], [34, 5, 13, 30]]
1: [[8, 32, 23, 6], [26, 25, 11, 31], [12, 16, 36, 27, 2], [1, 19, 3, 20, 4], [22, 24, 29, 7, 35], [33, 37, 15, 21, 28], [18, 9, 14, 17, 10], [34, 5, 13, 30]]
2: [[8, 32, 23, 6], [26, 25, 11, 31], [12, 16, 36, 27, 2], [1, 19, 3, 20, 4], [22, 24, 29, 7, 35], [33, 37, 15, 21, 28], [18, 9, 14, 17, 10], [34, 5, 13, 30]]
3: [[8, 32, 23, 6], [26, 25, 11, 31], [12, 16, 36, 27, 2], [1, 19, 3, 20, 4], [22, 24, 29, 7, 35], [33, 37, 15, 21, 28], [18, 9, 14, 17, 10], [34, 5, 13, 30]]
4: [[8, 32, 23, 6], [26, 25, 11, 31], [12, 16, 36, 27, 2], [1, 19, 3, 20, 4], [22, 24, 29, 7, 35], [33, 37, 15, 21, 28], [18, 9, 14, 17, 10], [34, 5, 13, 30]]
5: [[8, 32, 23, 6], [26, 25, 11, 31], [12, 16, 36, 27, 2], [1, 19, 3, 20, 4], [22, 24, 29, 7, 35], [33, 37, 15, 21, 28], [18, 9, 14, 17, 10], [34, 5, 13, 30]]
6: [[8, 32, 23, 6], [26, 25, 11, 31], [12, 16, 36, 27, 2], [1, 19, 3, 20, 4], [22, 24, 29, 7, 35], [33, 37, 15, 21, 28], [18, 9, 14, 17, 10], [34, 5, 13, 30]]
7: [[8, 32, 23, 6], [26, 25, 11, 31], [12, 16, 36, 27, 2], [1, 19, 3, 20, 4], [22, 24, 29, 7, 35], [33, 37, 15, 21, 28], [18, 9, 14, 17, 10], [34, 5, 13, 30]]
8: [[8, 32, 23, 6], [26, 25, 11, 31], [12, 16, 36, 27, 2], [1, 19, 3, 20, 4], [22, 24, 29, 7, 35], [33, 37, 15, 21, 28], [18, 9, 14, 17, 10], [34, 5, 13, 30]]
9: [[8, 32, 23, 6], [26, 25, 11, 31], [12, 16, 36, 27, 2], [1, 19, 3, 20, 4], [22, 24, 29, 7, 35], [33, 37, 15, 21, 28], [18, 9, 14, 17, 10], [34, 5, 13, 30]]
10: [[8, 32, 23, 6], [26, 25, 11, 31], [12, 16, 36, 27, 2], [1, 19, 3, 20, 4], [22, 24, 29, 7, 35], [33, 37, 15, 21, 28], [18, 9, 14, 17, 10], [34, 5, 13, 30]]
11: [[8, 32, 23, 6], [26, 25, 11, 31], [12, 16, 36, 27, 2], [1, 19, 3, 20, 4], [22, 24, 29, 7, 35], [33, 37, 15, 21, 28], [18, 9, 14, 17, 10], [34, 5, 13, 30]]
12: [[8, 32, 23, 6], [26, 25, 11, 31], [12, 16, 36, 27, 2], [1, 19, 3, 20, 4], [22, 24, 29, 7, 35], [33, 37, 15, 21, 28], [18, 9, 14, 17, 10], [34, 5, 13, 30]]
13: [[8, 32, 23, 6], [26, 25, 11, 31], [12, 16, 36, 27, 2], [1, 19, 3, 20, 4], [22, 24, 29, 7, 35], [33, 37, 15, 21, 28], [18, 9, 14, 17, 10], [34, 5, 13, 30]]
14: [[8, 32, 23, 6], [26, 25, 11, 31], [12, 16, 36, 27, 2], [1, 19, 3, 20, 4], [22, 24, 29, 7, 35], [33, 37, 15, 21, 28], [18, 9, 14, 17, 10], [34, 5, 13, 30]]
15: [[8, 32, 23, 6], [26, 25, 11, 31], [12, 16, 36, 27, 2], [1, 19, 3, 20, 4], [22, 24, 29, 7, 35], [33, 37, 15, 21, 28], [18, 9, 14, 17, 10], [34, 5, 13, 30]]
16: [[8, 32, 23, 6], [26, 25, 11, 31], [12, 16, 36, 27, 2], [1, 19, 3, 20, 4], [22, 24, 29, 7, 35], [33, 37, 15, 21, 28], [18, 9, 14, 17, 10], [34, 5, 13, 30]]
17: [[8, 32, 23, 6], [26, 25, 11, 31], [12, 16, 36, 27, 2], [1, 19, 3, 20, 4], [22, 24, 29, 7, 35], [33, 37, 15, 21, 28], [18, 9, 14, 17, 10], [34, 5, 13, 30]]
18: [[8, 32, 23, 6], [26, 25, 11, 31], [12, 16, 36, 27, 2], [1, 19, 3, 20, 4], [22, 24, 29, 7, 35], [33, 37, 15, 21, 28], [18, 9, 14, 17, 10], [34, 5, 13, 30]]
19: [[8, 32, 23, 6], [26, 25, 11, 31], [12, 16, 36, 27, 2], [1, 19, 3, 20, 4], [22, 24, 29, 7, 35], [33, 37, 15, 21, 28], [18, 9, 14, 17, 10], [34, 5, 13, 30]]
20: [[8, 32, 23, 6], [26, 25, 11, 31], [12, 16, 36, 27, 2], [1, 19, 3, 20, 4], [22, 24, 29, 7, 35], [33, 37, 15, 21, 28], [18, 9, 14, 17, 10], [34, 5, 13, 30]]
21: [[8, 32, 23, 6], [26, 25, 11, 31], [12, 16, 36, 27, 2], [1, 19, 3, 20, 4], [22, 24, 29, 7, 35], [33, 37, 15, 21, 28], [18, 9, 14, 17, 10], [34, 5, 13, 30]]
22: [[8, 32, 23, 6], [26, 25, 11, 31], [12, 16, 36, 27, 2], [1, 19, 3, 20, 4], [22, 24, 29, 7, 35], [33, 37, 15, 21, 28], [18, 9, 14, 17, 10], [34, 5, 13, 30]]
23: [[8, 32, 23, 6], [26, 25, 11, 31], [12, 16, 36, 27, 2], [1, 19, 3, 20, 4], [22, 24, 29, 7, 35], [33, 37, 15, 21, 28], [18, 9, 14, 17, 10], [34, 5, 13, 30]]
24: [[8, 32, 23, 6], [26, 25, 11, 31], [12, 16, 36, 27, 2], [1, 19, 3, 20, 4], [22, 24, 29, 7, 35], [33, 37, 15, 21, 28], [18, 9, 14, 17, 10], [34, 5, 13, 30]]
25: [[8, 32, 23, 6], [26, 25, 11, 31], [12, 16, 36, 27, 2], [1, 19, 3, 20, 4], [22, 24, 29, 7, 35], [33, 37, 15, 21, 28], [18, 9, 14, 17, 10], [34, 5, 13, 30]]
26: [[8, 32, 23, 6], [26, 25, 11, 31], [12, 16, 36, 27, 2], [1, 19, 3, 20, 4], [22, 24, 29, 7, 35], [33, 37, 15, 21, 28], [18, 9, 14, 17, 10], [34, 5, 13, 30]]
27: [[8, 32, 23, 6], [26, 25, 11, 31], [12, 16, 36, 27, 2], [1, 19, 3, 20, 4], [22, 24, 29, 7, 35], [33, 37, 15, 21, 28], [18, 9, 14, 17, 10], [34, 5, 13, 30]]
28: [[8, 32, 23, 6], [26, 25, 11, 31], [12, 16, 36, 27, 2], [1, 19, 3, 20, 4], [22, 24, 29, 7, 35], [33, 37, 15, 21, 28], [18, 9, 14, 17, 10], [34, 5, 13, 30]]
29: [[8, 32, 23, 6], [26, 25, 11, 31], [12, 16, 36, 27, 2], [1, 19, 3, 20, 4], [22, 24, 29, 7, 35], [33, 37, 15, 21, 28], [18, 9, 14, 17, 10], [34, 5, 13, 30]]
30: [[8, 32, 23, 6], [26, 25, 11, 31], [12, 16, 36, 27, 2], [1, 19, 3, 20, 4], [22, 24, 29, 7, 35], [33, 37, 15, 21, 28], [18, 9, 14, 17, 10], [34, 5, 13, 30]]
31: [[8, 32, 23, 6], [26, 25, 11, 31], [12, 16, 36, 27, 2], [1, 19, 3, 20, 4], [22, 24, 29, 7, 35], [33, 37, 15, 21, 28], [18, 9, 14, 17, 10], [34, 5, 13, 30]]
32: [[8, 32, 23, 6], [26, 25, 11, 31], [12, 16, 36, 27, 2], [1, 19, 3, 20, 4], [22, 24, 29, 7, 35], [33, 37, 15, 21, 28], [18, 9, 14, 17, 10], [34, 5, 13, 30]]
33: [[8, 32, 23, 6], [26, 25, 11, 31], [12, 16, 36, 27, 2], [1, 19, 3, 20, 4], [22, 24, 29, 7, 35], [33, 37, 15, 21, 28], [18, 9, 14, 17, 10], [34, 5, 13, 30]]
34: [[8, 32, 23, 6], [26, 25, 11, 31], [12, 16, 36, 27, 2], [1, 19, 3, 20, 4], [22, 24, 29, 7, 35], [33, 37, 15, 21, 28], [18, 9, 14, 17, 10], [34, 5, 13, 30]]
35: [[8, 32, 23, 6], [26, 25, 11, 31], [12, 16, 36, 27, 2], [1, 19, 3, 20, 4], [22, 24, 29, 7, 35], [33, 37, 15, 21, 28], [18, 9, 14, 17, 10], [34, 5, 13, 30]]
36: [[8, 32, 23, 6], [26, 25, 11, 31], [12, 16, 36, 27, 2], [1, 19, 3, 20, 4], [22, 24, 29, 7, 35], [33, 37, 15, 21, 28], [18, 9, 14, 17, 10], [34, 5, 13, 30]]
37: [[8, 32, 23, 6], [26, 25, 11, 31], [12, 16, 36, 27, 2], [1, 19, 3, 20, 4], [22, 24, 29, 7, 35], [33, 37, 15, 21, 28], [18, 9, 14, 17, 10], [34, 5, 13, 30]]
38: [[8, 32, 23, 6], [26, 25, 11, 31], [12, 16, 36, 27, 2], [1, 19, 3, 20, 4], [22, 24, 29, 7, 35], [33, 37, 15, 21, 28], [18, 9, 14, 17, 10], [34, 5, 13, 30]]
39: [[8, 32, 23, 6], [26, 25, 11, 31], [12, 16, 36, 27, 2], [1, 19, 3, 20, 4], [22, 24, 29, 7, 35], [33, 37, 15, 21, 28], [18, 9, 14, 17, 10], [34, 5, 13, 30]]
40: [[8, 32, 23, 6], [26, 25, 11, 31], [12, 16, 36, 27, 2], [1, 19, 3, 20, 4], [22, 24, 29, 7, 35], [33, 37, 15, 21, 28], [18, 9, 14, 17, 10], [34, 5, 13, 30]]
41: [[8, 32, 23, 6], [26, 25, 11, 31], [12, 16, 36, 27, 2], [1, 19, 3, 20, 4], [22, 24, 29, 7, 35], [33, 37, 15, 21, 28], [18, 9, 14, 17, 10], [34, 5, 13, 30]]
42: [[8, 32, 23, 6], [26, 25, 11, 31], [12, 16, 36, 27, 2], [1, 19, 3, 20, 4], [22, 24, 29, 7, 35], [33, 37, 15, 21, 28], [18, 9, 14, 17, 10], [34, 5, 13, 30]]
43: [[8, 32, 23, 6], [26, 25, 11, 31], [12, 16, 36, 27, 2], [1, 19, 3, 20, 4], [22, 24, 29, 7, 35], [33, 37, 15, 21, 28], [18, 9, 14, 17, 10], [34, 5, 13, 30]]
44: [[8, 32, 23, 6], [26, 25, 11, 31], [12, 16, 36, 27, 2], [1, 19, 3, 20, 4], [22, 24, 29, 7, 35], [33, 37, 15, 21, 28], [18, 9, 14, 17, 10], [34, 5, 13, 30]]
45: [[8, 32, 23, 6], [26, 25, 11, 31], [12, 16, 36, 27, 2], [1, 19, 3, 20, 4], [22, 24, 29, 7, 35], [33, 37, 15, 21, 28], [18, 9, 14, 17, 10], [34, 5, 13, 30]]
