0: [[16, 2, 6, 9, 4, 3, 1, 5, 13], [18, 20, 14, 10, 12, 17], [7, 8, 11, 22, 15, 19], [21, 23, 24]]
1: [[16, 5, 1, 2, 6, 9, 4, 3], [18, 20, 14, 10, 12, 17], [7, 8, 11, 22, 13, 15, 19], [21, 23, 24]]
2: [[16, 5, 1, 2, 6, 9, 4, 3], [18, 20, 14, 10, 12, 17], [7, 8, 11, 22, 13, 15, 19], [21, 23, 24]]
3: [[16, 5, 1, 2, 6, 9, 4, 3], [18, 20, 14, 10, 12, 17], [7, 8, 11, 22, 13, 15, 19], [21, 23, 24]]
4: [[16, 5, 1, 2, 6, 9, 4, 3], [18, 20, 14, 10, 12, 17], [7, 8, 11, 22, 13, 15, 19], [21, 23, 24]]
5: [[16, 5, 1, 2, 6, 9, 4, 3], [18, 20, 14, 10, 12, 17], [7, 8, 11, 22, 13, 15, 19], [21, 23, 24]]
6: [[16, 5, 1, 2, 6, 9, 4, 3], [18, 20, 14, 10, 12, 17], [7, 8, 11, 22, 13, 15, 19], [21, 23, 24]]
7: [[16, 5, 1, 2, 6, 9, 4, 3], [18, 20, 14, 10, 12, 17], [7, 8, 11, 22, 13, 15, 19], [21, 23, 24]]
8: [[16, 5, 1, 2, 6, 9, 4, 3], [18, 20, 14, 10, 12, 17], [7, 8, 11, 22, 13, 15, 19], [21, 23, 24]]
9: [[16, 5, 1, 2, 6, 9, 4, 3], [18, 20, 14, 10, 12, 17], [7, 8, 11, 22, 13, 15, 19], [21, 23, 24]]
10: [[16, 5, 1, 2, 6, 9, 4, 3], [18, 20, 14, 10, 12, 17], [7, 8, 11, 22, 13, 15, 19], [21, 23, 24]]
11: [[16, 5, 1, 2, 6, 9, 4, 3], [18, 20, 14, 10, 12, 17], [7, 8, 11, 22, 13, 15, 19], [21, 23, 24]]
12: [[16, 5, 1, 2, 6, 9, 4, 3], [18, 20, 14, 10, 12, 17], [7, 8, 11, 22, 13, 15, 19], [21, 23, 24]]
13: [[16, 5, 1, 2, 6, 9, 4, 3], [18, 20, 14, 10, 12, 17], [7, 8, 11, 22, 13, 15, 19], [21, 23, 24]]
14: [[16, 5, 1, 2, 6, 9, 4, 3], [18, 20, 14, 10, 12, 17], [7, 8, 11, 22, 13, 15, 19], [21, 23, 24]]
15: [[16, 5, 1, 2, 6, 9, 4, 3], [18, 20, 14, 10, 12, 17], [7, 8, 11, 22, 13, 15, 19], [21, 23, 24]]
16: [[16, 5, 1, 2, 6, 9, 4, 3], [18, 20, 14, 10, 12, 17], [7, 8, 11, 22, 13, 15, 19], [21, 23, 24]]
17: [[16, 5, 1, 2, 6, 9, 4, 3], [18, 20, 14, 10, 12, 17], [7, 8, 11, 22, 13, 15, 19], [21, 23, 24]]
18: [[16, 5, 1, 2, 6, 9, 4, 3], [18, 20, 14, 10, 12, 17], [7, 8, 11, 22, 13, 15, 19], [21, 23, 24]]
19: [[16, 5, 1, 2, 6, 9, 4, 3], [18, 20, 14, 10, 12, 17], [7, 8, 11, 22, 13, 15, 19], [21, 23, 24]]
20: [[16, 5, 1, 2, 6, 9, 4, 3], [18, 20, 14, 10, 12, 17], [7, 8, 11, 22, 13, 15, 19], [21, 23, 24]]
21: [[16, 5, 1, 2, 6, 9, 4, 3], [18, 20, 14, 10, 12, 17], [7, 8, 11, 22, 13, 15, 19], [21, 23, 24]]
22: [[16, 5, 1, 2, 6, 9, 4, 3], [18, 20, 14, 10, 12, 17], [7, 8, 11, 22, 13, 15, 19], [21, 23, 24]]
23: [[16, 5, 1, 2, 6, 9, 4, 3], [18, 20, 14, 10, 12, 17], [7, 8, 11, 22, 13, 15, 19], [21, 23, 24]]
24: [[16, 5, 1, 2, 6, 9, 4, 3], [18, 20, 14, 10, 12, 17], [7, 8, 11, 22, 13, 15, 19], [21, 23, 24]]
25: [[16, 5, 1, 2, 6, 9, 4, 3], [18, 20, 14, 10, 7, 12, 17], [8, 11, 22, 13, 15, 19], [21, 23, 24]]
26: [[16, 5, 1, 2, 6, 9, 4, 3, 12], [18, 20, 14, 10, 17], [7, 8, 11, 22, 13, 15, 19], [21, 23, 24]]
27: [[16, 5, 1, 2, 6, 9, 4], [3, 18, 20, 14, 10, 12, 17], [7, 8, 11, 22, 13, 15, 19], [21, 23, 24]]
28: [[16, 5, 1, 2, 6, 9, 4], [3, 18, 20, 14, 10, 12, 17], [7, 8, 11, 22, 13, 15, 19], [21, 23, 24]]
29: [[16, 5, 1, 2, 6, 9, 4], [3, 18, 20, 14, 10, 12, 17], [7, 8, 11, 22, 13, 15, 19], [21, 23, 24]]
30: [[16, 5, 1, 2, 6, 9, 4], [3, 18, 20, 14, 10, 12, 17], [7, 8, 11, 22, 13, 15, 19], [21, 23, 24]]
31: [[16, 5, 1, 2, 6, 9, 4], [3, 18, 20, 14, 10, 12, 17], [7, 8, 11, 22, 13, 15, 19], [21, 23, 24]]
32: [[16, 5, 1, 2, 6, 9, 4, 3, 12], [18, 20, 14, 10, 17], [7, 8, 11, 22, 13, 15, 19], [21, 23, 24]]
33: [[16, 5, 1, 2, 6, 9, 4, 3, 12], [18, 20, 14, 10, 17], [7, 8, 11, 22, 13, 15, 19], [21, 23, 24]]
34: [[16, 5, 1, 2, 6, 9, 4, 3], [18, 20, 14, 12, 17], [10, 7, 8, 11, 22, 13, 15, 19], [21, 23, 24]]
35: [[16, 5, 1, 2, 6, 9, 4, 3, 12], [18, 20, 14, 10, 7, 17], [8, 11, 22, 13, 15, 19], [21, 23, 24]]
36: [[16, 5, 1, 2, 6, 9, 4, 3, 12], [18, 20, 14, 10, 7, 17], [8, 11, 22, 13, 15, 19], [21, 23, 24]]
37: [[16, 5, 1, 2, 6, 9, 4, 3, 12], [18, 20, 14, 10, 7, 17], [8, 11, 22, 13, 15, 19], [21, 23, 24]]
38: [[16, 5, 1, 2, 6, 9, 4, 3, 12], [18, 20, 14, 10, 7, 17], [8, 11, 22, 13, 15, 19], [21, 23, 24]]
39: [[16, 5, 1, 2, 6, 9, 4], [3, 18, 20, 14, 10, 7, 12, 17], [8, 11, 22, 13, 15, 19], [21, 23, 24]]
40: [[16, 5, 1, 2, 6, 9, 4], [3, 18, 20, 14, 12, 17], [10, 7, 8, 11, 22, 13, 15, 19], [21, 23, 24]]
41: [[16, 5, 1, 2, 6, 9, 4], [3, 18, 20, 14, 12, 17], [10, 7, 8, 11, 22, 13, 15, 19], [21, 23, 24]]
42: [[16, 5, 1, 2, 6, 9, 4, 3], [12, 18, 20, 14, 17, 10], [7, 8, 11, 22, 13, 15, 19, 21], [23, 24]]
43: [[16, 5, 1, 2, 6, 9, 4, 3], [12, 18, 20, 14, 17, 10, 7], [8, 11, 22, 13, 15, 19, 21], [23, 24]]
44: [[16, 5, 1, 2, 6, 9, 4, 3, 12], [18, 20, 14, 17, 10, 7], [8, 11, 22, 13, 15, 19, 21], [23, 24]]
45: [[16, 5, 1, 2, 6, 9, 4, 3, 12], [18, 20, 14, 17, 10, 7], [8, 11, 22, 13, 15, 19, 21], [23, 24]]
46: [[16, 5, 2, 6, 9, 3, 1, 4], [12, 18, 20, 14, 17, 10], [7, 8, 11, 22, 13, 15], [19, 21, 23, 24]]
47: [[16, 5, 2, 6, 9, 3, 1, 4], [12, 18, 20, 14, 17, 10], [7, 8, 11, 22, 13, 15], [19, 21, 23, 24]]
48: [[16, 5, 2, 6, 9, 3, 1, 4], [12, 18, 20, 14, 17, 10], [7, 8, 11, 22, 13, 15], [19, 21, 23, 24]]
49: [[16, 5, 2, 6, 9, 3, 1, 4], [12, 18, 20, 14, 17], [10, 7, 8, 11, 22, 13, 15], [19, 21, 23, 24]]
