0: [[18, 19, 24, 7, 9, 2, 1], [6, 3, 12, 5, 20, 10, 4, 8, 11, 14, 15], [13, 16, 17, 22, 23, 28], [21, 26, 25, 27, 29]]
1: [[18, 19, 24, 7, 9, 2, 1], [6, 3, 12, 5, 20, 10, 4, 11, 8, 14, 15], [13, 16, 17, 22, 23, 28], [21, 26, 25, 27, 29]]
2: [[18, 19, 24, 7, 9, 2, 1], [6, 3, 12, 5, 20, 10, 4, 11, 8, 14, 15], [13, 16, 17, 22, 23, 28], [21, 26, 25, 27, 29]]
3: [[18, 19, 24, 7, 9, 2, 1], [6, 3, 12, 5, 20, 10, 4, 8, 11, 14, 15], [13, 17, 16, 22, 23, 28], [21, 26, 25, 27, 29]]
4: [[18, 19, 24, 7, 9, 2, 1], [6, 3, 12, 5, 20, 10, 4, 8, 11, 14, 15], [13, 16, 17, 22, 23, 28], [21, 26, 25, 27, 29]]
5: [[18, 19, 24, 7, 9, 2, 1], [6, 3, 12, 5, 20, 10, 4, 8, 11, 15, 14], [13, 16, 17, 22, 23, 28], [21, 26, 25, 27, 29]]
6: [[18, 19, 24, 7, 9, 2, 1], [6, 3, 12, 5, 20, 10, 4, 8, 11, 14, 15], [13, 16, 17, 22, 23, 28], [21, 26, 25, 27, 29]]
7: [[18, 19, 24, 7, 9, 2, 1], [6, 3, 12, 5, 20, 10, 4, 8, 11, 15, 14], [13, 16, 17, 22, 23, 28], [21, 26, 25, 27, 29]]
8: [[18, 19, 24, 7, 9, 2, 1], [6, 3, 12, 5, 20, 10, 4, 8, 11, 15, 14], [13, 16, 17, 22, 23, 28], [21, 26, 25, 27, 29]]
9: [[18, 19, 24, 7, 9, 2, 1], [6, 3, 12, 5, 20, 10, 4, 11, 8, 14, 15], [13, 16, 17, 22, 23, 28], [21, 26, 25, 27, 29]]
10: [[18, 19, 24, 7, 9, 2, 1], [6, 3, 12, 5, 20, 10, 4, 8, 11, 15, 14], [13, 16, 17, 22, 23, 28], [21, 26, 25, 27, 29]]
