0: [[4, 6, 5, 16, 3], [9, 2, 8, 1, 13], [7, 14, 11, 10], [12, 15, 17, 18, 19, 20, 22], [23, 24, 21]]
1: [[4, 6, 16, 3], [1, 13, 9, 2, 5, 8], [7, 14, 11, 10], [12, 15, 17, 18, 19, 20, 22], [23, 24, 21]]
2: [[4, 6, 16, 3], [1, 13, 9, 2, 5, 8], [7, 14, 11, 10], [12, 15, 17, 18, 19, 20, 22], [23, 24, 21]]
3: [[4, 6, 16, 3], [1, 13, 9, 2, 5, 8], [7, 14, 11, 10], [12, 15, 17, 18, 19, 20, 22], [23, 24, 21]]
4: [[4, 6, 16, 3], [1, 13, 9, 2, 5, 8], [7, 14, 11, 10], [12, 15, 17, 18, 19, 20, 22], [23, 24, 21]]
5: [[4, 6, 16, 3], [1, 13, 9, 2, 5, 8], [7, 14, 11, 10], [12, 15, 17, 18, 19, 20, 22], [23, 24, 21]]
6: [[4, 6, 16, 3], [1, 13, 9, 2, 5, 8], [7, 14, 11, 10], [12, 15, 17, 18, 19, 20, 22], [23, 24, 21]]
7: [[4, 6, 16, 3], [1, 13, 9, 2, 5, 8], [7, 14, 11, 10], [12, 15, 17, 18, 19, 20, 22], [23, 24, 21]]
8: [[4, 6, 16, 3], [1, 13, 9, 2, 5, 8], [7, 14, 11, 10], [12, 15, 17, 18, 19, 20, 22], [23, 24, 21]]
9: [[4, 6, 16, 3], [1, 13, 9, 2, 5, 8], [7, 14, 11, 10], [12, 15, 17, 18, 19, 20, 22], [23, 24, 21]]
10: [[4, 6, 16, 3], [1, 13, 9, 2, 5, 8], [7, 14, 11, 10], [12, 15, 17, 18, 19, 20, 22], [23, 24, 21]]
11: [[4, 6, 16, 3], [1, 13, 9, 2, 5, 8], [7, 14, 11, 10], [12, 15, 17, 18, 19, 20, 22], [23, 24, 21]]
12: [[4, 6, 16, 3], [1, 13, 9, 2, 5, 8], [7, 14, 11, 10], [12, 15, 17, 18, 19, 20, 22], [23, 24, 21]]
13: [[4, 6, 16, 3], [1, 13, 9, 2, 5, 8], [7, 14, 11, 10], [12, 15, 17, 18, 19, 20, 22], [23, 24, 21]]
14: [[4, 6, 16, 3], [1, 13, 9, 2, 5, 8], [7, 14, 11, 10], [12, 15, 17, 18, 19, 20, 22], [23, 24, 21]]
