0: [[11, 7], [20, 9, 1, 13, 2, 8], [3, 10, 16], [4, 5, 14, 6, 12], [17, 15, 18, 19, 22], [21, 24, 23]]
1: [[11, 7], [20, 9, 1, 13, 8], [2, 3, 10, 4, 16], [5, 14, 6, 12], [17, 15, 18, 19, 22], [21, 24, 23]]
2: [[16, 7, 8, 11], [20, 9, 1, 13, 2], [3, 10], [4, 5, 14, 6, 12], [17, 15, 18], [19, 22], [21, 24, 23]]
3: [[16, 7, 8, 11, 20], [9, 1, 13, 2], [3, 10], [4, 5, 14, 6, 12], [17, 15, 18], [19, 22], [21, 24, 23]]
4: [[16, 7, 8, 11, 20], [9, 1, 13, 2], [3, 10], [4, 5, 14, 6, 12], [17, 15, 18], [19, 22], [21, 24, 23]]
5: [[16, 7, 8, 11, 20], [9, 1, 13, 2], [3, 10], [4, 5, 14, 6, 12], [17, 15, 18], [19, 22], [21, 24, 23]]
6: [[16, 7, 8, 11, 20], [9, 1, 13, 2], [3, 10], [4, 5, 14, 6, 12], [17, 15, 18], [19, 22], [21, 24, 23]]
7: [[11, 7], [20, 9, 1, 8], [13, 2, 3, 10, 4, 16], [5, 14, 6, 12], [17, 15, 18, 19, 22], [21, 24, 23]]
8: [[11, 7], [20, 9, 1, 13], [2, 3, 10, 4], [5, 14, 8], [6, 12, 17, 15, 18, 16], [19, 22], [21, 24, 23]]
9: [[7, 20, 8, 11], [9, 1, 13], [2, 3, 16], [10, 4, 5, 14, 6, 12], [17, 15, 18], [19, 22], [21, 24, 23]]
10: [[7, 20, 8, 11], [9, 1, 13, 2], [3, 10, 4, 5, 14], [6, 12, 17, 16], [15, 18], [19, 22], [21, 24, 23]]
11: [[7, 16, 8, 11], [20, 9, 1, 13], [2, 3, 10, 4, 5], [14, 6, 12, 17], [15, 18], [19, 22], [21, 24, 23]]
12: [[7, 16, 8, 11], [20, 9, 1, 13], [2, 3, 10, 4, 5], [14, 6, 12, 17], [15, 18], [19, 22], [21, 24, 23]]
13: [[11, 16, 7, 8], [20, 9], [1, 13], [2, 3, 10], [4, 5, 14, 6, 12], [17, 15, 18, 19, 22], [21, 24, 23]]
14: [[11, 16, 7, 8], [20, 9], [1, 13], [2, 3, 10], [4, 5, 14, 6, 12], [17, 15, 18, 19, 22], [21, 24, 23]]
15: [[7, 8, 11], [20, 9, 1, 13], [2, 3, 16], [10, 4, 5, 14], [6, 12, 17, 15, 18], [19, 22], [21, 24, 23]]
16: [[11, 20, 7, 8], [9, 1, 13, 2], [3, 10, 4, 5, 14], [6, 12, 16], [17, 15, 18], [19, 22], [21, 24, 23]]
17: [[7, 8, 11], [20, 9, 1, 13], [2, 3, 10, 4, 5, 14], [6, 12, 17, 16], [15, 18], [19, 22], [21, 24, 23]]
18: [[11], [20, 9, 1, 13, 8], [2, 3, 10, 4, 16], [5, 14, 6, 7], [12, 17, 15, 18, 19, 22], [21, 24, 23]]
19: [[16, 7, 8, 11], [20, 9, 1, 13], [2, 3, 10, 4, 5], [14, 6], [12, 17, 15, 18], [19, 22], [21, 24, 23]]
