0: [[3, 1], [6, 14, 4], [2, 5, 8, 7, 10], [11, 9, 12, 13], [15, 16], [18, 20, 19, 17]]
1: [[3, 1], [6, 14, 4], [2, 5, 8, 7, 10], [11, 9, 12, 13], [15, 16], [18, 20, 19, 17]]
2: [[3, 1], [6, 14, 4], [2, 5], [8, 7, 10], [11, 9, 12, 13], [15, 16, 18, 20, 19, 17]]
3: [[3, 1], [6, 14, 4], [2, 5], [8, 7, 10], [11, 9, 12, 13], [15, 16, 18, 20, 19, 17]]
4: [[3, 1], [6, 14, 4], [2, 5, 8, 7, 10], [11, 9, 12, 13, 15], [16, 18, 20, 19, 17]]
5: [[3, 1], [6, 14, 4], [2, 5, 8], [7, 10], [11, 9, 12, 13], [15, 16, 18, 20, 19, 17]]
6: [[3, 1], [6, 14, 4], [2, 5, 8], [7, 10], [11, 9, 12, 13], [15, 16, 18, 20, 19, 17]]
7: [[3, 1], [6, 14, 4], [2, 5], [8, 7, 10], [11, 9, 12, 13], [15, 16, 18], [20, 19, 17]]
8: [[3, 1], [6, 14, 4], [2, 5], [8, 7, 10], [11, 9, 12, 13], [15, 16, 18], [20, 19, 17]]
9: [[3, 1], [6, 14, 4], [2, 5], [8, 7, 10], [11, 9, 12, 13, 15, 16], [18, 20, 19, 17]]
10: [[3, 1], [6, 14], [4, 2, 5], [8, 7, 10], [11, 9, 12], [13, 15, 16], [18, 20, 19, 17]]
11: [[3, 1], [6, 14], [4, 2, 5], [8, 7, 10], [11, 9, 12], [13, 15, 16], [18, 20, 19, 17]]
12: [[3, 1], [6, 14, 4], [2, 5], [8, 7, 10], [11, 9, 12], [13, 15, 16], [18, 20, 19, 17]]
13: [[3, 1], [6, 14], [4, 2, 5], [8, 7, 10], [11, 9], [12, 13, 15, 16], [18, 20, 19, 17]]
14: [[3, 1], [6, 14], [4, 2, 5], [8, 7, 10], [11, 9], [12, 13, 15, 16], [18, 20, 19, 17]]
15: [[3, 1], [6, 14, 4], [2, 5], [8, 7, 10], [11, 9, 12, 13], [15, 16, 18, 20], [19, 17]]
16: [[3, 1], [6, 14], [4, 2, 5], [8, 7, 10], [11, 9, 12], [13, 15, 16, 18], [20, 19, 17]]
17: [[3, 1], [6, 14, 4], [2, 5], [8, 7, 10], [11, 9, 12], [13, 15, 16, 18, 20, 19, 17]]
18: [[3, 1], [6, 14, 4], [2, 5], [8, 7, 10], [11, 9, 12], [13, 15, 16, 18], [20, 19, 17]]
19: [[3, 1], [6, 14, 4], [2, 5, 8, 7], [10, 11, 9], [12, 13, 15], [16, 18, 20, 19, 17]]
20: [[3, 1], [6, 14, 4, 2, 5, 8, 7, 10], [11, 9, 12, 13, 15], [16, 18, 20, 19, 17]]
21: [[3, 1], [6, 14, 4], [2, 5, 8], [7, 10, 11, 9], [12, 13, 15], [16, 18, 20, 19, 17]]
22: [[3, 1], [6, 14, 4], [2, 5, 8], [7, 10, 11], [9, 12, 13], [15, 16, 18, 20], [19, 17]]
23: [[3, 1], [6, 14, 4], [2, 5, 8], [7, 10, 11], [9, 12, 13, 15], [16, 18, 20, 19, 17]]
24: [[3, 1], [6, 14, 4], [2, 5], [8, 7], [10, 11, 9], [12, 13], [15, 16, 18], [20, 19, 17]]
25: [[3, 1], [6, 14, 4], [2, 5], [8, 7, 10], [11, 9, 12, 13, 15, 16, 18, 20, 19, 17]]
26: [[3, 1], [6, 14, 4], [2, 5], [8, 7, 10], [11, 9], [12, 13, 15], [16, 18], [20, 19, 17]]
27: [[3, 1], [6, 14], [4, 2, 5], [8, 7], [10, 11], [9, 12, 13], [15, 16], [18, 20, 19, 17]]
28: [[3, 1], [6, 14], [4, 2, 5], [8, 7, 10], [11, 9, 12], [13, 15], [16, 18, 20], [19, 17]]
29: [[3, 1], [6, 14, 4], [2, 5], [8, 7], [10, 11, 9], [12, 13, 15], [16, 18, 20, 19, 17]]
30: [[3, 1, 6, 14], [4, 2, 5, 8, 7, 10, 11, 9], [12, 13, 15, 16, 18, 20, 19, 17]]
31: [[3, 1, 6, 14, 4, 2], [5, 8, 7, 10, 11, 9, 12], [13, 15, 16, 18, 20, 19, 17]]
32: [[3, 1, 6, 14], [4, 2, 5, 8, 7, 10], [11, 9, 12, 13, 15, 16, 18, 20, 19, 17]]
33: [[3, 1, 6], [14, 4], [2, 5, 8, 7], [10, 11, 9], [12, 13, 15], [16, 18], [20, 19, 17]]
34: [[3, 1, 6, 14], [4, 2, 5, 8, 7, 10], [11, 9, 12, 13, 15, 16, 18, 20, 19, 17]]
35: [[3, 1], [6, 14, 4], [2, 5], [8, 7, 10, 11], [9, 12], [13, 15], [16, 18, 20, 19, 17]]
36: [[3, 1, 6], [14, 4, 2, 5], [8, 7, 10, 11, 9, 12], [13, 15, 16, 18, 20, 19, 17]]
37: [[3, 1], [6, 14, 4, 2, 5, 8, 7, 10], [11, 9, 12], [13, 15], [16, 18, 20], [19, 17]]
38: [[3, 1], [6, 14, 4], [2, 5], [8, 7], [10, 11, 9], [12, 13, 15], [16, 18], [20, 19, 17]]
39: [[3, 1, 6, 14, 4, 2, 5, 8], [7, 10, 11, 9, 12], [13, 15, 16, 18, 20], [19, 17]]
