0: [[11, 2, 1, 3], [4, 16, 14, 6], [7, 5, 10, 8], [13, 9, 12], [15, 17, 18, 19, 20]]
1: [[11, 2, 1, 3], [4, 16, 14, 6], [7, 5, 10, 8], [13, 9, 12], [15, 17, 18, 19, 20]]
2: [[11, 2, 1, 3], [4, 16, 14, 6], [7, 5, 10, 8], [13, 9, 12], [15, 17, 18, 19, 20]]
3: [[11, 2, 1, 3], [4, 16, 14, 6], [7, 5, 10, 8], [13, 9, 12], [15, 17, 18, 19, 20]]
4: [[11, 2, 1, 3], [4, 16, 14, 6], [7, 5, 10, 8], [13, 9, 12], [15, 17, 18, 19, 20]]
5: [[11, 2, 1, 3], [4, 16, 14, 6], [7, 5, 10, 8], [13, 9, 12], [15, 17, 18, 19, 20]]
6: [[11, 2, 1, 3], [4, 16, 14, 6], [7, 5, 10, 8], [13, 9, 12], [15, 17, 18, 19, 20]]
7: [[11, 2, 1, 3], [4, 16, 14, 6], [7, 5, 10, 8], [13, 9, 12], [15, 17, 18, 19, 20]]
8: [[11, 2, 1, 3], [4, 16, 14, 6], [7, 5, 10, 8], [13, 9, 12], [15, 17, 18, 19, 20]]
9: [[11, 2, 1, 3], [4, 16, 14, 6], [7, 5, 10, 8], [13, 9, 12], [15, 17, 18, 19, 20]]
10: [[11, 2, 1, 3], [4, 16, 14, 6], [7, 5, 10, 8], [13, 9, 12], [15, 17, 18, 19, 20]]
11: [[11, 2, 1, 3], [4, 16, 14, 6], [7, 5, 10, 8], [13, 9, 12], [15, 17, 18, 19, 20]]
12: [[11, 2, 1, 3], [4, 16, 14, 6], [7, 5, 10, 8], [13, 9, 12], [15, 17, 18, 19, 20]]
13: [[11, 2, 1, 3], [4, 16, 14, 6], [7, 5, 10, 8], [13, 9, 12], [15, 17, 18, 19, 20]]
14: [[11, 2, 1, 3], [4, 16, 14, 6], [7, 5, 10, 8], [13, 9, 12], [15, 17, 18, 19, 20]]
15: [[11, 2, 1, 3], [4, 16, 14, 6], [7, 5, 10, 8], [13, 9, 12], [15, 17, 18, 19, 20]]
16: [[11, 2, 1, 3], [4, 16, 14, 6], [7, 5, 10, 8], [13, 9, 12], [15, 17, 18, 19, 20]]
17: [[11, 2, 1, 3], [4, 16, 14, 6], [7, 5, 10, 8], [13, 9, 12], [15, 17, 18, 19, 20]]
18: [[11, 2, 1, 3], [4, 16, 14, 6], [7, 5, 10, 8], [13, 9, 12], [15, 17, 18, 19, 20]]
19: [[11, 2, 1, 3], [4, 16, 14, 6], [7, 5, 10, 8], [13, 9, 12, 15], [17, 18, 19, 20]]
20: [[11, 2, 1, 3], [4, 16, 14, 6], [7, 5, 10, 8], [13, 9, 12, 15], [17, 18, 19, 20]]
21: [[11, 2, 1, 3], [4, 16, 14, 6], [7, 5, 10], [8, 13, 9, 12], [15, 17, 18, 19, 20]]
22: [[11, 2, 1, 3], [4, 16, 14, 6], [7, 5, 10], [8, 13, 9, 12], [15, 17, 18, 19, 20]]
23: [[11, 2, 1], [3, 4, 16, 14, 6], [7, 5, 10, 8], [13, 9, 12], [15, 17, 18, 19, 20]]
24: [[11, 2, 1], [3, 4, 16, 14, 6], [7, 5, 10, 8], [13, 9, 12], [15, 17, 18, 19, 20]]
25: [[11, 2, 1, 3], [4, 16, 14, 6, 7], [5, 10, 8], [13, 9, 12], [15, 17, 18, 19, 20]]
26: [[11, 2, 1, 3], [4, 16, 14, 6, 7], [5, 10, 8], [13, 9, 12], [15, 17, 18, 19, 20]]
27: [[11, 2, 1, 3], [4, 16, 14, 6, 7], [5, 10, 8], [13, 9, 12], [15, 17, 18, 19, 20]]
28: [[11, 2, 1, 3], [4, 16, 14], [6, 7, 5, 10, 8], [13, 9, 12], [15, 17, 18, 19, 20]]
29: [[11, 2, 1, 3], [4, 16, 14], [6, 7, 5, 10, 8], [13, 9, 12], [15, 17, 18, 19, 20]]
30: [[11, 2, 1, 3], [4, 16, 14], [6, 7, 5, 10], [8, 13, 9, 12], [15, 17, 18, 19, 20]]
31: [[11, 2, 1, 3], [4, 16, 14], [6, 7, 5, 10], [8, 13, 9, 12], [15, 17, 18, 19, 20]]
32: [[11, 2, 1], [3, 4, 16, 14, 6], [7, 5, 10], [8, 13, 9], [12, 15, 17, 18, 19, 20]]
33: [[11, 2, 1], [3, 4, 16, 14], [6, 7, 5, 10, 8], [13, 9, 12], [15, 17, 18, 19, 20]]
34: [[11, 2, 1], [3, 4, 16, 14], [6, 7, 5, 10, 8], [13, 9, 12], [15, 17, 18, 19, 20]]
35: [[11, 2, 1], [3, 4, 16, 14, 6], [7, 5, 10, 8, 13], [9, 12, 15], [17, 18, 19, 20]]
36: [[11, 2, 1, 3], [4, 16, 14, 6, 7], [5, 10, 8, 13], [9, 12, 15], [17, 18, 19, 20]]
37: [[11, 2, 1, 3], [4, 16, 14, 6, 7], [5, 10, 8, 13], [9, 12, 15], [17, 18, 19, 20]]
38: [[11, 2, 1, 3], [4, 16, 14], [6, 7, 5, 10], [8, 13, 9], [12, 15, 17, 18, 19, 20]]
39: [[11, 2, 1, 3], [4, 16, 14], [6, 7, 5, 10], [8, 13, 9], [12, 15, 17, 18, 19, 20]]
40: [[11, 2, 1, 3, 4], [16, 14, 6, 7], [5, 10, 8, 13], [9, 12], [15, 17, 18, 19, 20]]
41: [[11, 2, 1], [3, 4, 16, 14], [6, 7, 5, 10], [8, 13, 9, 12], [15, 17, 18, 19, 20]]
