It No., Best MQ, No clusters, max clus, min clus
1,2.8037511748656128,22,6,2
2,3.281764062230261,31,4,1
3,3.3554920563533166,29,4,2
4,3.3912574952971197,30,8,2
5,2.8981213858447314,22,7,2
6,3.2871538630306616,37,6,1
7,3.321423503878923,29,9,2
8,3.5923763793502723,30,7,2
9,3.6890234942306965,20,32,2
10,3.7743410927406327,27,4,1
11,3.326662687093187,36,6,2
12,3.546997084816525,36,11,1
13,3.321485097870488,23,6,1
14,3.523421893315052,26,6,1
15,3.8877992955065572,28,8,2
16,3.0187149511983877,31,4,1
17,3.184312974047308,31,6,2
18,2.608361627115358,17,9,3
19,3.2144151879197413,23,10,2
20,2.7690577077974847,22,8,2
21,3.429247526472858,31,4,2
22,3.1587434573114814,27,9,2
23,2.808919470414087,21,7,1
24,3.5615948245122775,36,8,2
25,3.147808731964589,29,5,2
26,3.2198849289403357,26,10,2
27,2.835316537220823,28,5,2
28,3.741749041167846,40,6,2
29,3.1485287980305032,25,6,2
30,2.9279924766985257,32,12,2
31,2.7531098702903827,26,11,2
