0: [[1, 2], [3, 6, 4], [5, 7, 10, 8], [9, 11, 13, 12], [14, 15, 16], [17, 19, 18, 20]]
1: [[1, 3, 6], [4, 5], [7, 10, 8, 2], [9, 11, 13, 12], [14, 15, 16], [17, 19, 18, 20]]
2: [[1, 3, 6], [4, 5], [7, 10, 8, 2], [9, 11, 13, 12], [14, 15, 16], [17, 19, 18, 20]]
3: [[1, 3, 6], [4, 5], [7, 10, 8, 2], [9, 11, 13, 12], [14, 15, 16], [17, 19, 18, 20]]
4: [[1, 3, 6], [4, 5], [7, 10, 8, 2], [9, 11, 13, 12], [14, 15, 16], [17, 19, 18, 20]]
5: [[1, 2], [3, 6, 4], [5, 7, 10, 8, 9], [11, 13, 12], [14, 15, 16], [17, 19, 18, 20]]
6: [[1, 2], [5, 3, 4], [7, 10, 8, 9], [11, 13, 12], [14, 15, 16, 6], [17, 19, 18, 20]]
7: [[1, 2], [3, 6, 4, 5], [7, 10, 8], [9, 11, 13, 12], [14, 15, 16], [17, 19, 18, 20]]
8: [[1, 2, 3], [4, 5, 7, 6], [10, 8], [9, 11, 13, 12], [14, 15, 16], [17, 19, 18, 20]]
9: [[1, 2, 3], [4, 5, 7, 6], [10, 8], [9, 11, 13, 12], [14, 15, 16], [17, 19, 18, 20]]
10: [[1, 2, 3, 6], [4, 5, 7], [10, 8], [9, 11, 13, 12], [14, 15, 16], [17, 19, 18, 20]]
11: [[1, 2, 3, 6], [4, 5, 7], [10, 8], [9, 11, 13, 12], [14, 15, 16], [17, 19, 18, 20]]
12: [[1, 2], [3, 6, 4], [5, 7, 10, 8], [9, 11, 13, 12, 14], [15, 16], [17, 19, 18, 20]]
13: [[1, 2], [3, 6, 4], [5, 7, 10, 8], [9, 11, 13, 12, 14], [15, 16], [17, 19, 18, 20]]
14: [[1, 2], [3, 6, 4], [5, 7, 10, 8], [9, 11, 13, 12], [14, 15], [16, 17, 19, 18, 20]]
15: [[1, 2, 3, 6], [5, 4], [7, 10, 8, 9], [11, 13, 12], [14, 15, 16], [17, 19, 18, 20]]
16: [[1, 3, 6], [4, 5], [7, 10, 8, 2], [9, 11, 13, 12, 14], [15, 16], [17, 19, 18, 20]]
17: [[1, 2, 3, 6], [5, 4], [7, 10, 8, 9], [11, 13, 12], [14, 15, 16], [17, 19, 18, 20]]
18: [[1, 2], [4, 5, 7, 10, 6], [8, 9, 11, 13, 12, 3], [14, 15, 16], [17, 19, 18, 20]]
19: [[1, 3, 6], [5, 2, 4], [7, 10], [8, 9, 11, 13, 12], [14, 15, 16], [17, 19, 18, 20]]
20: [[1, 2, 6], [5, 7, 10, 4], [8, 9, 3], [11, 13, 12], [14, 15, 16], [17, 19, 18, 20]]
21: [[1, 2], [3, 6, 4], [5, 7, 10, 8], [9, 11, 13, 12, 14], [15, 16, 17], [19, 18, 20]]
22: [[1, 2, 3], [5, 7, 6, 4], [10, 8, 11, 9], [13, 12], [14, 15, 16], [17, 19, 18, 20]]
23: [[1, 2, 3], [5, 7, 6, 4], [10, 8, 11, 9], [13, 12], [14, 15, 16], [17, 19, 18, 20]]
24: [[1, 2, 3], [5, 7, 6, 4], [10, 8, 11, 9], [13, 12], [14, 15, 16], [17, 19, 18, 20]]
25: [[1, 2, 3, 6], [5, 7, 4], [10, 8, 11, 9], [13, 12], [14, 15, 16], [17, 19, 18, 20]]
26: [[1, 2, 3, 6], [5, 7, 4], [10, 8, 11, 9], [13, 12], [14, 15, 16], [17, 19, 18, 20]]
27: [[1, 2, 3], [6, 4], [5, 7, 10, 8, 9], [11, 13, 12, 14], [15, 16], [17, 19, 18, 20]]
28: [[1, 2, 3, 6], [5, 7, 10, 4], [8, 11, 9], [13, 12], [14, 15, 16], [17, 19, 18, 20]]
29: [[1, 2, 3, 6, 4], [5, 7], [10, 8, 9], [11, 13, 12, 14], [15, 16], [17, 19, 18, 20]]
30: [[1], [4, 3, 6], [5, 7, 10, 8, 2], [9, 11, 13], [12, 14, 15], [16, 17, 19, 18, 20]]
31: [[1, 2, 3, 6, 4], [5, 7, 10, 8], [11, 13, 9], [12, 14], [15, 16], [17, 19, 18, 20]]
32: [[1, 2], [5, 3, 6, 4], [7, 10, 8, 9], [11, 13, 12, 14], [15, 16], [17, 19, 18, 20]]
33: [[1, 2], [5, 7, 6, 4], [10, 8, 9, 3], [11, 13, 12, 14], [15, 16], [17, 19, 18, 20]]
34: [[1, 2], [4, 5, 7, 6], [10, 8, 9, 11, 13, 3], [12, 14, 15, 16], [17, 19, 18, 20]]
35: [[1, 3], [5, 2, 6, 4], [7, 10], [8, 9, 11], [13, 12, 14, 15, 16], [17, 19, 18, 20]]
36: [[1, 2], [4, 5, 7, 10, 6], [8, 9, 11, 3], [13, 12, 14, 15], [16, 17, 19, 18, 20]]
37: [[1], [4, 5, 6], [7, 10, 8, 2], [9, 11, 3], [13, 12, 14, 15], [16, 17, 19, 18, 20]]
38: [[1, 2], [5, 6, 4], [7, 10, 8, 9], [11, 13, 3], [12, 14, 15, 16], [17, 19, 18, 20]]
39: [[1, 2, 3], [5, 7, 6, 4], [10, 8, 11, 9], [13, 12, 14], [15, 16], [17, 19, 18, 20]]
40: [[1, 6], [4, 5], [7, 10, 8, 2], [9, 11, 3], [13, 12, 14, 15], [16, 17, 19, 18, 20]]
41: [[1, 2, 6], [5, 7, 10, 4], [8, 9, 3], [11, 13], [12, 14, 15, 16], [17, 19, 18, 20]]
