0: [[6, 3, 2, 4, 9, 1, 5, 13], [7, 11, 8, 14, 10], [15, 16, 19, 18, 22, 20, 12, 17], [21, 23, 24]]
1: [[6, 1, 3, 2, 4, 5, 9], [7, 11, 8, 14, 10, 13], [15, 16, 19, 18, 22, 20, 12, 17], [21, 23, 24]]
2: [[6, 1, 3, 2, 4, 5, 9], [7, 11, 8, 14, 10, 13], [15, 16, 19, 18, 22, 20, 12, 17], [21, 23, 24]]
3: [[6, 1, 3, 2, 4, 5, 9], [7, 11, 8, 14, 10, 13], [15, 16, 19, 18, 22, 20, 12, 17], [21, 23, 24]]
4: [[6, 1, 3, 2, 4, 5, 9], [7, 11, 8, 14, 10, 13], [15, 16, 19, 18, 22, 20, 12, 17], [21, 23, 24]]
5: [[6, 1, 3, 2, 4, 5, 9], [7, 11, 8, 14, 10, 13], [15, 16, 19, 18, 22, 20, 12, 17], [21, 23, 24]]
6: [[6, 1, 3, 2, 4, 5, 9], [7, 11, 8, 14, 10, 13], [15, 16, 19, 18, 22, 20, 12, 17], [21, 23, 24]]
7: [[6, 1, 3, 2, 4, 5, 9], [7, 11, 8, 14, 10, 13], [15, 16, 19, 18, 22, 20, 12, 17], [21, 23, 24]]
8: [[6, 1, 3, 2, 4, 5, 9], [7, 11, 8, 14, 10, 13], [15, 16, 19, 18, 22, 20, 12, 17], [21, 23, 24]]
9: [[6, 1, 3, 2, 4, 5, 9], [7, 11, 8, 14, 10, 13], [15, 16, 19, 18, 22, 20, 12, 17], [21, 23, 24]]
10: [[6, 1, 3, 2, 4, 5, 9], [7, 11, 8, 14, 10], [13, 15, 16, 19, 18, 22, 20, 12, 17], [21, 23, 24]]
11: [[6, 1, 3, 2, 4, 5, 9], [7, 11, 8, 14, 10], [13, 15, 16, 19, 18, 22, 20, 12, 17], [21, 23, 24]]
12: [[6, 1, 3, 2, 4, 5], [9, 7, 11, 8, 14, 10], [13, 15, 16, 19, 18, 22, 20, 12, 17], [21, 23, 24]]
13: [[6, 1, 3, 2, 4, 5], [9, 7, 11, 8, 14, 10, 13], [15, 16, 19, 18, 22, 20, 12, 17], [21, 23, 24]]
14: [[6, 1, 3, 2, 4, 5], [9, 7, 11, 8, 14, 10, 13], [15, 16, 19, 18, 22, 20, 12, 17], [21, 23, 24]]
15: [[6, 1, 3, 2, 4, 5], [9, 7, 11, 8, 14, 10, 13], [15, 16, 19, 18, 22, 20, 12, 17], [21, 23, 24]]
16: [[6, 1, 3, 2, 4, 5], [9, 7, 11, 8, 14, 10, 13], [15, 16, 19, 18, 22, 20, 12, 17], [21, 23, 24]]
17: [[6, 1, 3, 2, 4, 5], [9, 7, 11, 8, 14, 10], [13, 15, 16, 19, 18, 22, 20, 12, 17], [21, 23, 24]]
18: [[6, 1, 3, 2, 4, 5, 9], [7, 11, 8, 14, 10, 13, 12], [15, 16, 19, 18, 22, 20, 17], [21, 23, 24]]
19: [[6, 1, 3, 2, 4, 5, 9], [7, 11, 8, 14, 10, 13, 12], [15, 16, 19, 18, 22, 20, 17], [21, 23, 24]]
20: [[6, 1, 3, 2, 4, 5, 9], [7, 11, 8, 14, 10, 13, 12], [15, 16, 19, 18, 22, 20, 17], [21, 23, 24]]
21: [[6, 1, 3, 2, 4, 5, 9], [7, 11, 8, 14, 10, 13, 12], [15, 16, 19, 18, 22, 20, 17], [21, 23, 24]]
22: [[6, 1, 3, 2, 4, 5, 9], [7, 11, 8, 14, 10, 13, 12], [15, 16, 19, 18, 22, 20, 17], [21, 23, 24]]
23: [[6, 1, 3, 2, 4, 5, 9], [7, 11, 8, 14, 10, 13, 12], [15, 16, 19, 18, 22, 20, 17], [21, 23, 24]]
24: [[6, 1, 3, 2, 4, 5, 9], [7, 11, 8, 14, 10, 13, 12], [15, 16, 19, 18, 22, 20, 17], [21, 23, 24]]
25: [[6, 1, 3, 2, 4, 5, 9], [7, 11, 8, 14, 10, 13, 15, 12], [16, 19, 18, 22, 20, 17], [21, 23, 24]]
26: [[6, 1, 3, 2, 4, 5, 9], [7, 11, 8, 14, 10, 13, 15, 12], [16, 19, 18, 22, 20, 17], [21, 23, 24]]
27: [[6, 1, 3, 2, 4, 5, 9], [7, 11, 8, 14], [10, 13, 15, 16, 19, 18, 22, 20, 12, 17], [21, 23, 24]]
28: [[6, 1, 3, 2, 4], [5, 9, 7, 11, 8, 14, 10, 13], [15, 16, 19, 18, 22, 20, 12, 17], [21, 23, 24]]
29: [[6, 1, 3, 2, 4], [5, 9, 7, 11, 8, 14, 10], [13, 15, 16, 19, 18, 22, 20, 12, 17], [21, 23, 24]]
30: [[6, 1, 3, 2, 4], [5, 9, 7, 11, 8, 14, 10], [13, 15, 16, 19, 18, 22, 20, 12, 17], [21, 23, 24]]
31: [[6, 1, 3, 2, 4, 5], [9, 7, 11, 8, 14, 10, 13, 12], [15, 16, 19, 18, 22, 20, 17], [21, 23, 24]]
32: [[6, 1, 3, 2, 4, 5], [9, 7, 11, 8, 14, 10, 13, 12], [15, 16, 19, 18, 22, 20, 17], [21, 23, 24]]
33: [[6, 1, 3, 2, 4, 5], [9, 7, 11, 8, 14, 10, 13, 12], [15, 16, 19, 18, 22, 20, 17], [21, 23, 24]]
34: [[6, 1, 3, 2, 4, 5], [9, 7, 11, 8, 14, 10, 13, 15, 12], [16, 19, 18, 22, 20, 17], [21, 23, 24]]
35: [[6, 1, 3, 2, 4, 5, 9, 7], [11, 8, 14, 10, 13], [15, 16, 19, 18, 22, 20, 12, 17], [21, 23, 24]]
36: [[6, 1, 3, 2, 4, 5, 9, 7], [11, 8, 14, 10, 13], [15, 16, 19, 18, 22, 20, 12, 17], [21, 23, 24]]
37: [[6, 1, 3, 2, 4, 5, 9, 7, 11], [8, 14, 10, 13, 15, 12], [16, 19, 18, 22, 20, 17], [21, 23, 24]]
38: [[6, 1, 3, 2, 4, 5, 9, 7], [11, 8, 14, 10, 13, 12], [15, 16, 19, 18, 22, 20, 17], [21, 23, 24]]
39: [[6, 1, 3, 2, 4, 5, 9, 7], [11, 8, 14, 10, 13, 15, 12], [16, 19, 18, 22, 20, 17], [21, 23, 24]]
40: [[6, 1, 3, 2, 4, 5, 9, 7], [11, 8, 14, 10, 13, 15, 16, 12], [19, 18, 22, 20, 17], [21, 23, 24]]
