0: [[18, 17, 20], [3, 1], [2, 10, 8, 5], [14, 4, 6], [19, 16, 15], [12, 13, 11], [7, 9]]
1: [[18, 17, 20], [3, 1], [2, 10, 8, 5], [14, 4, 6], [19, 16, 15], [12, 13, 11], [7, 9]]
2: [[18, 17, 20], [3, 1], [2, 10, 8], [5, 14, 4], [19, 16, 6, 15], [12, 13], [11, 7, 9]]
3: [[18, 17, 20], [3, 1], [2, 10, 8], [5, 14, 4], [19, 16, 6, 15], [12, 13], [11, 7, 9]]
4: [[18, 17, 20], [3, 1], [2, 10, 8], [5, 14, 4], [19, 16, 6, 15], [12, 13], [11, 7, 9]]
5: [[18, 17, 20], [3, 1], [2, 10, 8], [5, 14, 4], [19, 16, 6, 15], [12, 13], [11, 7, 9]]
6: [[18, 17, 20], [3, 1], [2, 10, 8], [5, 14, 4], [19, 16, 6, 15], [12, 13], [11, 7, 9]]
7: [[18, 17, 20], [3, 1], [2, 10, 8], [5, 14, 4], [19, 16, 6, 15], [12, 13], [11, 7, 9]]
8: [[18, 17, 20], [3, 1, 2], [10, 8], [5, 14, 4], [19, 16, 15], [12, 13, 11], [7, 9, 6]]
9: [[18, 17, 20], [3, 1, 2], [10, 8, 5], [14, 4, 6], [19, 16, 15], [12, 13, 11], [7, 9]]
10: [[18, 17, 20], [3, 1, 2], [10, 8, 5], [14, 4, 6], [19, 16, 15], [12, 13, 11], [7, 9]]
11: [[18, 17, 20], [3, 1, 2], [10, 8, 5], [14, 4, 6], [19, 16, 15], [12, 13, 11], [7, 9]]
12: [[18, 17, 20], [3, 1, 2], [10, 8, 5], [14, 4, 6], [19, 16, 15], [12, 13, 11], [7, 9]]
13: [[18, 17, 20], [3, 1, 2], [10, 8, 5], [14, 4, 6], [19, 16, 15], [12, 13, 11], [7, 9]]
14: [[18, 17, 20], [3, 1, 2], [10, 8, 5], [14, 4, 6], [19, 16, 15], [12, 13, 11], [7, 9]]
15: [[18, 17, 20], [3, 1, 2], [10, 8, 5], [14, 4, 6], [19, 16, 15], [12, 13], [11, 7, 9]]
16: [[18, 17, 20], [3, 1, 2], [10, 8, 5], [14, 4, 6], [19, 16, 15], [12, 13], [11, 7, 9]]
17: [[18, 17, 20], [3, 1, 2], [10, 8, 5], [14, 4, 6], [19, 16, 15], [12, 13], [11, 7, 9]]
18: [[18, 17, 20], [3, 1, 2], [10, 8, 5], [14, 4, 6], [19, 16, 15], [12, 13], [11, 7, 9]]
19: [[18, 17, 20], [3, 1, 2], [10, 8, 5], [14, 4, 6], [19, 16, 15], [12, 13, 11, 7, 9]]
20: [[18, 17, 20], [3, 1, 2], [10, 8, 5], [14, 4, 6], [19, 16, 15], [12, 13, 11, 7, 9]]
21: [[18, 17, 20], [3, 1, 2], [10, 8], [5, 14, 4], [19, 16, 6, 15], [12, 13], [11, 7, 9]]
22: [[18, 17, 20], [3, 1, 2], [10, 8], [5, 14, 4], [19, 16, 6, 15], [12, 13], [11, 7, 9]]
23: [[18, 17, 20], [3, 1, 2], [10, 8, 5], [14, 4], [19, 16, 6, 15], [12, 13, 11, 7, 9]]
24: [[18, 17, 20], [3, 1, 2], [10, 8, 5], [14, 4], [19, 16, 6, 15], [12, 13, 11, 7, 9]]
25: [[18, 17], [20, 3, 1], [2, 10, 8], [5, 14, 4], [19, 16, 15], [12, 13, 11], [7, 9, 6]]
26: [[18, 17], [20, 3, 1], [2, 10, 8], [5, 14, 4], [19, 16, 6, 15], [12, 13], [11, 7, 9]]
27: [[18, 17], [20, 3, 1], [2, 10, 8], [5, 14, 4], [19, 16, 6, 15], [12, 13], [11, 7, 9]]
28: [[18, 17], [20, 3, 1], [2, 10, 8], [5, 14, 4], [19, 16, 6, 15], [12, 13], [11, 7, 9]]
29: [[18, 17, 20], [3, 1], [2, 10, 8], [5, 14, 4, 6, 19, 16, 15, 12, 13, 11, 7, 9]]
30: [[18, 17, 20], [3, 1, 2], [10, 8, 5], [14, 4, 6], [19, 16], [12, 13, 11, 7, 9, 15]]
31: [[18, 17, 20], [3, 1, 2], [10, 8, 5], [14, 4], [19, 16, 15, 12, 13, 11, 7, 9, 6]]
32: [[18, 17], [20, 3, 1], [2, 10, 8], [5, 14, 4], [19, 16, 6, 15], [12], [13, 11, 7, 9]]
33: [[18, 17, 20], [3, 1, 2], [10, 8, 5], [14, 4, 6, 19, 16, 15, 12, 13, 11, 7, 9]]
34: [[18, 17, 20], [3, 1, 2], [10, 8, 5], [14, 4, 6, 19, 16, 15, 12, 13, 11, 7, 9]]
35: [[18, 17, 20, 3], [1, 2, 10], [8, 5], [14, 4, 6], [19, 16, 15], [12, 13], [11, 7, 9]]
36: [[18, 17, 20], [3, 1, 2], [10, 8, 5, 14, 4], [6, 19, 16, 15, 12, 13, 11, 7, 9]]
37: [[18, 17, 20], [3, 1, 2, 10, 6], [8, 5, 14, 4], [19], [16, 12, 15], [13, 11, 7, 9]]
38: [[18, 17, 20], [3, 1], [2, 10, 8, 5, 14, 4, 6, 19, 16, 15, 12, 13, 11, 7, 9]]
39: [[18, 17, 20], [3, 1, 2], [10, 8, 5, 14, 4, 6, 19, 16, 15, 12, 13, 11, 7, 9]]
40: [[18, 17, 20], [3, 1, 2], [10, 8, 5, 14, 4, 6, 19, 16, 15, 12, 13, 11, 7, 9]]
41: [[18, 17], [20, 3, 1], [2, 10, 6], [8, 5, 14, 4], [19], [16, 12, 13, 15], [11, 7, 9]]
