0: [[2, 4, 1], [5, 9, 15, 8, 13, 6], [7, 11], [14, 12, 20, 19, 17, 22, 10], [16, 18, 3], [23, 21, 24]]
1: [[2, 4, 1, 5, 6], [9, 15, 8, 13], [7, 11], [14, 12, 20, 19, 17, 22, 10], [16, 18, 3], [23, 21, 24]]
2: [[2, 4, 1, 13, 6, 10], [9, 15, 8], [7, 11], [14, 12, 20, 19, 17, 22, 5], [16, 18, 3], [23, 21, 24]]
3: [[2, 4, 1, 5, 9, 15, 6], [8, 13], [7, 11], [14, 12, 20, 19, 17, 22, 10], [16, 18, 3], [23, 21, 24]]
4: [[2, 4, 1], [5, 9, 15, 8, 13, 6], [7, 11, 14, 12, 20, 19, 17, 22, 10], [16, 18, 3], [23, 21, 24]]
5: [[2, 4, 1], [5, 9, 15, 8, 13, 6], [7, 11, 14, 12, 20, 19, 17, 22, 10], [16, 18, 3], [23, 21, 24]]
6: [[2, 4, 1, 5, 9, 6], [15, 8, 13], [7, 11, 14, 12, 20, 19, 17, 22, 10], [16, 18, 3], [23, 21, 24]]
7: [[2, 4, 1], [5, 9, 15, 8, 13, 7, 11, 6], [14, 12, 20, 19, 17, 22, 10], [16, 18, 3], [23, 21, 24]]
8: [[2, 4, 1], [5, 9, 15, 8, 13, 7, 11, 6], [14, 12, 20, 19, 17, 22, 10], [16, 18, 3], [23, 21, 24]]
9: [[2, 4, 1, 5, 9, 6], [15, 8], [13, 7, 11, 14, 12, 20, 19, 17, 10], [22, 16, 18, 3], [23, 21, 24]]
10: [[2, 4, 1, 5, 9, 6, 10], [15, 8], [13, 7, 11, 14, 12], [20, 19, 17, 22], [16, 18, 3], [23, 21, 24]]
11: [[10, 2, 1, 4], [5, 9, 6], [15, 8, 13, 7, 11, 14, 12], [20, 19, 17, 22], [16, 18, 3], [23, 21, 24]]
12: [[10, 2, 1, 4], [5, 9, 6], [15, 8, 13, 7, 11, 14, 12], [20, 19, 17, 22], [16, 18, 3], [23, 21, 24]]
13: [[10, 2, 1, 4], [5, 9, 6], [15, 8, 13, 7, 11, 14, 12], [20, 19, 17, 22], [16, 18, 3], [23, 21, 24]]
14: [[2, 4, 1, 5, 9, 6, 10], [15, 8], [13, 7, 11, 14, 12], [20, 19, 17, 22], [16, 18, 3], [23, 21, 24]]
15: [[2, 4, 1, 5], [9, 15, 8, 13, 7, 11, 6], [14, 12, 10], [20, 19, 17, 22], [16, 18, 3], [23, 21, 24]]
