0: [[7, 4, 5, 24, 9, 1, 6, 2, 3, 10, 14], [8, 11, 13, 12, 15, 16, 17, 18, 19, 22], [23, 28, 29], [20, 25], [26, 21, 27]]
1: [[7, 4, 5, 24, 9, 1, 6, 2, 3, 10, 14], [8, 11, 15, 12, 13, 17, 16, 18, 22, 19], [23, 28, 29], [20, 25], [26, 21, 27]]
2: [[7, 4, 5, 24, 9, 1, 6, 2, 3, 10, 14], [8, 11, 13, 12, 15, 17, 16, 18, 19, 22], [23, 28, 29], [20, 25], [26, 21, 27]]
3: [[7, 4, 5, 24, 9, 1, 6, 2, 3, 10, 14], [8, 11, 13, 15, 17, 18, 16, 19, 22, 12], [23, 28, 29], [20, 25], [26, 21, 27]]
4: [[7, 4, 5, 24, 9, 1, 6, 2, 3, 10, 14], [8, 11, 13, 12, 15, 16, 17, 22, 18, 19], [23, 28, 29], [20, 25], [26, 21, 27]]
5: [[7, 4, 5, 24, 9, 1, 6, 2, 3, 10, 14], [8, 11, 12, 13, 15, 17, 18, 16, 19, 22], [23, 28], [29, 20, 25], [26, 21, 27]]
6: [[7, 4, 5, 24, 9, 1, 6, 2, 3, 10], [14, 8, 15, 11, 13, 12, 17, 19, 16, 18, 22], [23, 28, 29], [20, 25], [26, 21, 27]]
7: [[7, 4, 5, 24, 9, 1, 6, 2, 3, 10], [8, 14, 15, 12, 13, 11, 16, 19, 18, 17, 22], [23, 28, 29], [20, 25], [26, 21, 27]]
8: [[7, 4, 5, 24, 9, 1, 6, 2, 3, 10, 12], [8, 15, 11], [13, 14, 17, 18, 16, 19, 22, 23, 28, 29], [20, 25], [26, 21, 27]]
9: [[7, 4, 5, 24, 9, 1, 6, 2, 3, 10, 14], [8, 11, 15], [12, 13, 17, 16, 18, 19, 23, 22, 28, 29], [20, 25], [26, 21, 27]]
10: [[7, 4, 5, 24, 9, 1, 6, 2, 3, 10], [12, 8, 11], [13, 17, 22, 19, 18, 14, 15, 16, 23, 28, 29], [20, 25], [26, 21, 27]]
11: [[7, 4, 5, 24, 9, 1, 6, 2, 3, 10, 14], [8, 11, 13], [12, 15, 17, 16, 18, 19, 22, 23, 28, 29], [20, 25], [26, 21, 27]]
12: [[7, 4, 5, 24, 9, 1, 6, 2, 3, 10, 14], [8, 11, 13], [12, 22, 16, 17, 19, 15, 18, 23, 28, 29], [20, 25], [26, 21, 27]]
13: [[7, 4, 5, 24, 9, 1, 6, 2, 3, 10, 14], [8, 11], [15, 12, 13, 17, 16, 18, 22, 23, 19, 28], [29, 20, 25], [26, 21, 27]]
14: [[7, 4, 5, 24, 9, 1, 6, 2, 3, 10, 14], [8, 11], [15, 12, 13, 17, 16, 18, 22, 23, 19, 28], [29, 20, 25], [26, 21, 27]]
15: [[7, 4, 5, 24, 9, 1, 6, 2, 3, 10], [14, 8, 11], [13, 12, 23, 18, 17, 19, 15, 16, 22, 28, 29], [20, 25], [26, 21, 27]]
16: [[7, 4, 5, 24, 9, 1, 6, 2, 3, 10], [14, 8, 11, 13, 15, 12, 16, 17, 22, 19, 23], [18, 28, 29], [20, 25], [26, 21, 27]]
17: [[7, 4, 5, 24, 9, 1, 6, 2, 3, 10], [14, 8, 11, 13, 12, 15, 16, 17, 22, 18, 23], [19, 28], [29, 20, 25], [26, 21, 27]]
18: [[7, 4, 5, 24, 9, 1, 6, 2, 3, 10, 14], [8, 11, 15, 12, 13, 17, 18, 16, 19, 23], [22, 28, 29], [20, 25], [26, 21, 27]]
19: [[7, 4, 5, 24, 9, 1, 6, 2, 3, 10, 14], [8, 11, 15, 12, 13, 16, 18, 23, 19, 17], [22, 28, 29], [20, 25], [26, 21, 27]]
20: [[7, 4, 5], [24, 9, 1, 6, 2, 3, 10, 12, 11, 8], [15, 13, 16, 19, 18, 14, 17, 22, 23, 28, 29], [20, 25], [26, 21, 27]]
21: [[7, 4, 5, 24, 9, 1, 6, 2, 3, 10], [14, 8, 11, 13, 15, 23, 16, 19, 18, 12, 17], [22, 29, 28], [20, 25], [26, 21, 27]]
22: [[7, 4, 5, 24, 9, 1, 6, 2, 3, 10], [14, 8, 11, 15, 12, 13, 17, 16, 18, 19, 23], [22, 28, 29], [20, 25], [26, 21, 27]]
23: [[7, 4, 5, 24, 9, 1, 6, 2, 3, 10], [14, 8, 11, 13, 12, 15, 16, 19, 23, 17, 18], [22, 28, 29], [20, 25], [26, 21, 27]]
24: [[7, 4, 5, 24, 9, 1, 6, 2, 3, 10], [14, 8, 15, 11, 12, 13, 19, 16, 17, 18, 23], [22, 28, 29], [20, 25], [26, 21, 27]]
25: [[7, 4, 5, 24, 9, 1, 6, 2, 3, 10], [14, 8, 11, 13, 12, 15, 17, 18, 22, 16, 28], [23, 19, 29], [20, 25], [26, 21, 27]]
26: [[7, 4, 5], [24, 9, 1, 6, 2, 3, 10, 8, 11, 15, 13], [12, 14, 16, 17, 19, 18, 22, 23, 28, 29], [20, 25], [26, 21, 27]]
27: [[7, 4, 5], [24, 9, 1, 6, 2, 3, 10, 14, 8, 11, 15], [12, 29, 17, 16, 19, 13, 22, 23, 28, 18], [20, 25], [26, 21, 27]]
28: [[7, 4, 5], [24, 9, 1, 6, 2, 3, 10, 14, 8, 11, 15], [13, 12, 17, 16, 18, 19, 22, 23, 28, 29], [20, 25], [26, 21, 27]]
29: [[7, 4, 5], [24, 9, 1, 6, 2, 3, 10, 14, 8, 11, 15], [12, 13, 16, 17, 18, 22, 19, 23, 28, 29], [20, 25], [26, 21, 27]]
30: [[7, 4, 5], [24, 9, 1, 6, 2, 3, 10, 14, 8, 11], [13, 12, 15, 17, 16, 18, 19, 23, 22, 28, 29], [20, 25], [26, 21, 27]]
31: [[7, 4, 5], [24, 9, 1, 6, 2, 3, 10, 14, 8, 11], [13, 12, 15, 17, 16, 19, 18, 22, 23, 28, 29], [20, 25], [26, 21, 27]]
32: [[7, 4, 5, 24, 9, 1, 6, 2, 3, 10], [14, 8], [11, 15, 12, 13, 17, 18, 16, 23, 22, 19, 28], [29, 20, 25], [26, 21, 27]]
33: [[7, 4, 5, 24, 9, 1, 6, 2, 3, 10], [14, 8], [11, 13, 12, 15, 17, 18, 16, 19, 22, 23, 28], [29, 20, 25], [26, 21, 27]]
34: [[7, 4], [5, 24, 9, 1, 6, 2, 3, 10, 14, 8], [11, 12, 13, 15, 17, 18, 16, 19, 22, 23, 28], [29, 20, 25], [26, 21, 27]]
35: [[7, 4], [5, 24, 9, 1, 6, 2, 3, 10, 14, 8], [11, 13, 12, 15, 17, 16, 22, 18, 19, 23, 28], [29, 20, 25], [26, 21, 27]]
36: [[7, 4], [5, 24, 9, 1, 6, 2, 3, 10, 14, 8], [11, 13, 12, 15, 17, 16, 18, 19, 22, 23, 28], [29, 20, 25], [26, 21, 27]]
37: [[7, 4], [5, 24, 9, 1, 6, 2, 3, 10, 14, 8], [11, 12, 13, 15, 17, 18, 16, 19, 22, 23, 28], [29, 20, 25], [26, 21, 27]]
38: [[7, 4, 5], [24, 9, 1, 6, 2, 3, 10, 14, 8, 11, 13], [12, 15, 17, 16, 23, 19, 18, 22, 28, 29], [20, 25], [26, 21, 27]]
39: [[7, 4], [5, 24, 9, 1, 6, 2, 3, 8, 10, 14, 11], [13, 12, 23, 17, 19, 15, 16, 18, 22, 29], [28, 20, 25], [26, 21, 27]]
40: [[7, 4, 5, 24, 9, 1, 6, 2, 3, 10, 14], [8, 11, 15, 12, 13, 17, 16, 20, 19, 18], [23, 28, 29], [22, 25], [26, 21, 27]]
41: [[7, 4, 5, 24, 9, 1, 6, 2, 3, 10, 14], [8, 11, 15], [13, 12], [18, 16, 22, 17, 19, 23, 29, 28, 20, 25], [26, 21, 27]]
42: [[7, 4, 5, 24, 9, 1, 6, 2, 3, 10, 14], [8, 11, 15, 12, 17, 16, 18, 19, 21, 22], [23, 28, 13], [20, 25], [26, 29, 27]]
43: [[7, 4, 5, 24, 9, 1, 6, 2, 3, 10, 8], [11, 15, 12], [13, 14, 18, 19, 16, 17, 20, 22, 28, 29], [23, 25], [26, 21, 27]]
44: [[7, 4], [5, 24, 9, 1, 6, 2, 3, 10, 14, 8, 11], [15, 12, 13], [17, 16, 18, 19, 22, 23, 28, 29, 20, 25], [26, 21, 27]]
45: [[7, 4], [5, 24, 9, 1, 6, 2, 3, 10, 14, 8, 11], [13, 12, 15], [16, 17, 19, 18, 22, 23, 28, 29, 20, 25], [26, 21, 27]]
46: [[7, 4], [5, 24, 9], [1, 6, 2, 3, 10, 15, 8, 14, 13, 11, 12], [16, 23, 18, 22, 17, 20, 28, 29, 19, 25], [26, 21, 27]]
47: [[7, 4], [5, 24, 9], [1, 6, 2, 3, 10, 14, 8, 11, 15, 12, 13], [17, 16, 22, 19, 18, 23, 28, 29, 20, 25], [26, 21, 27]]
48: [[7, 4], [5, 24, 9], [1, 6, 2, 3, 10, 14, 8, 11, 15, 12], [13, 17, 19, 16, 18, 22, 23, 28, 29, 20, 25], [26, 21, 27]]
49: [[7, 4], [5, 24, 9], [1, 6, 2, 3, 10, 14, 8, 15, 11, 12], [13, 17, 16, 18, 19, 22, 23, 28, 29, 20, 25], [26, 21, 27]]
50: [[7, 4], [5, 24, 9], [1, 6, 2, 3, 10, 14, 8, 11, 15, 12], [13, 17, 16, 18, 19, 22, 23, 28, 29, 20, 25], [26, 21, 27]]
51: [[7, 4], [5, 24, 9], [1, 6, 2, 3, 10, 14, 8, 11, 15, 12], [13, 17, 16, 22, 18, 19, 23, 28, 29, 20, 25], [26, 21, 27]]
52: [[7, 4, 5], [24, 9], [1, 6, 2, 3, 10, 14, 8, 11, 12, 13], [15, 17, 18, 16, 19, 22, 23, 28, 29, 20, 25], [26, 21, 27]]
53: [[7, 4], [5, 24, 9], [1, 6, 2, 3, 10, 14, 8, 11, 13, 12], [15, 16, 17, 18, 22, 19, 23, 28, 29, 20, 25], [26, 21, 27]]
54: [[7, 4], [5, 24, 9], [1, 6, 2, 3, 10, 14, 8, 11, 13, 12], [15, 17, 16, 18, 22, 19, 23, 28, 29, 20, 25], [26, 21, 27]]
55: [[7, 4], [5, 24, 9], [1, 6, 2, 3, 10, 14, 8, 11, 13, 12], [29, 16, 18, 19, 15, 23, 17, 28, 22, 20, 25], [26, 21, 27]]
56: [[7, 4, 5, 24, 9, 1, 6, 2, 3, 10, 14], [8, 15, 13, 11, 21, 16, 12, 19, 22, 17], [23, 28, 29], [20, 25], [26, 18, 27]]
57: [[7, 4, 5], [24, 9, 1, 6, 2, 3, 10, 14, 8, 11], [12, 13], [15, 17, 16, 19, 18, 23, 22, 28, 29, 20, 25], [26, 21, 27]]
58: [[7, 4, 5], [24, 9, 1, 6, 2, 3, 10, 14, 8, 11], [15, 12], [13, 17, 18, 16, 19, 22, 23, 28, 29, 20, 25], [26, 21, 27]]
59: [[7, 4, 5, 24, 9, 1, 6, 2, 3, 10], [11, 8, 15, 13, 21, 12, 16, 17, 22, 14, 26], [18, 28, 29], [20, 25], [19, 23, 27]]
