0: [[59], [14, 54, 33], [23, 25, 5], [11, 1, 27], [35, 2], [46, 52], [19, 20, 26], [3, 30], [31, 4, 7], [24, 42], [8, 39, 34], [60, 45, 9, 58, 12, 29], [13, 6, 21], [15, 16, 10, 18], [22, 28, 40], [32, 17], [36, 37, 43], [38, 44], [53, 47, 50], [41, 51, 56], [48, 55], [57, 49]]
1: [[59], [14, 54, 33], [23, 25, 5], [11, 1, 27], [35, 2], [46, 52], [19, 20, 26], [3, 30], [31, 4, 7], [24, 42], [8, 39, 34], [60, 45, 9, 58, 12, 29], [13, 6, 21], [15, 16, 10, 18], [22, 28, 40], [32, 17], [36, 37, 43], [38, 44], [53, 47, 50], [41, 51, 56], [48, 55], [57, 49]]
2: [[59], [14, 54, 33], [23, 25, 5], [11, 1, 27], [35, 2], [46, 52], [19, 20, 26], [3, 30], [31, 4, 7], [24, 42], [8, 39, 34], [60, 45, 9, 58, 12, 29], [13, 21, 6], [10, 15, 16, 18], [22, 28, 40], [32, 17], [36, 37, 43], [38, 44, 53], [47, 50, 41], [51, 56, 48, 55, 57, 49]]
3: [[59, 14], [54, 33], [23, 25], [5, 11, 1], [27, 35, 2], [46, 52], [19, 20, 26], [3, 30, 31], [4, 7, 24], [42, 8, 39], [34, 60], [45, 9], [58, 12, 29], [13, 6, 21], [15, 16, 10], [18, 22, 28], [40, 32, 17], [36, 37, 43], [38, 44, 53], [47, 50, 41], [51, 56, 48], [55, 57, 49]]
4: [[59, 14], [54, 33], [23, 25], [5, 11, 1], [27, 35, 2], [46, 52], [19, 20, 26], [3, 30, 31], [4, 7, 24], [42, 8, 39], [34, 60], [45, 9], [58, 12, 29], [13, 6, 21], [15, 16, 10], [18, 22, 28], [40, 32, 17], [36, 37, 43], [38, 44, 53], [47, 50, 41], [51, 56, 48], [55, 57, 49]]
5: [[59, 14], [54, 33], [23, 25, 5], [11, 1, 27], [35, 2, 46], [52, 19, 20], [26, 3, 30], [31, 4, 7], [24, 42, 8], [39, 34, 60], [45, 9, 58], [12, 29], [13, 6, 21], [15, 16, 10], [18, 22, 28], [56, 32, 17], [36, 37], [43, 38, 44], [53, 47, 50], [41, 51], [40, 48], [55, 57, 49]]
6: [[59, 14], [54, 33], [23, 25], [5, 11], [1, 27], [35, 2, 46], [52, 19, 20], [26, 3, 30], [31, 4, 7], [24, 42, 8], [39, 34, 60], [45, 9, 40], [12, 29, 13], [6, 21, 15], [16, 10, 18], [22, 28, 56], [32, 17], [37, 43, 36], [38, 44, 53], [47, 50, 41], [51, 58, 48], [55, 57, 49]]
7: [[59, 14], [54, 33], [23, 25], [5, 11, 1, 27], [35, 2, 46], [52, 19, 20], [26, 3, 30], [31, 4, 7], [24, 42, 8], [39, 34], [60, 45, 9], [40, 12, 29], [13, 6, 21], [15, 16], [10, 18, 22], [28, 58, 32], [17, 36, 37], [38, 43, 44], [53, 47, 50], [41, 51], [56, 48, 55], [57, 49]]
8: [[59, 14], [54, 33], [23, 25], [5, 11], [1, 27], [35, 2, 46], [52, 19, 20], [26, 3, 30], [31, 4, 7], [24, 40], [39, 8, 34], [60, 45, 9], [42, 12, 29], [13, 6, 21], [15, 16, 10], [18, 22, 28], [58, 32], [17, 36, 37], [43, 38, 44], [53, 47], [50, 41, 51], [56, 48], [55, 57, 49]]
9: [[59], [14, 54, 33], [23, 25, 5], [11, 1, 27], [35, 2, 46], [52, 19, 20], [26, 3, 30], [31, 4], [7, 24, 40], [39, 8], [34, 60], [45, 9, 58], [12, 29, 13], [21, 6, 10], [15, 18, 16], [22, 28, 42], [17, 36, 37], [43, 38, 32], [44, 53, 47], [50, 41, 51], [56, 48], [55, 57, 49]]
10: [[59, 14], [54, 33], [23, 25], [5, 11], [1, 27], [35, 46, 2], [52, 19, 20], [26], [3, 30, 31], [4, 7], [24, 42, 8], [39, 34, 60], [45, 9], [58, 12, 29], [13, 21], [15, 6, 10], [22, 16], [28, 40, 18], [32, 17], [43, 38], [44, 53, 47], [50, 36, 37], [41, 51], [56, 48, 55], [57, 49]]
