0: [[13, 4], [3, 1], [7, 2, 10, 5, 8], [11, 12, 9], [14, 16, 6, 15], [18, 17, 19, 20]]
1: [[13, 3, 4], [1, 7, 2], [10, 5, 8], [12, 11], [14, 16, 9, 6, 15], [18, 17, 19, 20]]
2: [[13, 4], [1, 7, 2], [10, 5, 8], [3, 12, 11], [14, 16, 9, 6, 15], [18, 17, 19, 20]]
3: [[13, 4], [1, 7, 2], [10, 5, 8], [3, 12, 11], [14, 16, 9, 6, 15], [18, 17, 19, 20]]
4: [[13], [3, 1], [7, 2, 10], [5, 8], [12, 11, 9], [14, 16, 4, 6, 15], [18, 17, 19, 20]]
5: [[13, 4], [3, 1], [7, 2], [10, 5, 8], [12, 9], [11, 14, 16, 6, 15], [18, 17, 19, 20]]
6: [[13, 4, 3], [1, 7, 2, 10, 5, 8, 6], [12, 11, 9], [14, 16, 18, 17, 19, 20, 15]]
7: [[13, 1], [7, 2, 10], [5, 8, 3], [12, 11, 9], [14, 16, 4, 6, 15], [18, 17, 19, 20]]
8: [[13, 1], [7, 2, 10], [5, 8, 3], [12, 11, 9], [14, 16, 4, 6, 15], [18, 17, 19, 20]]
9: [[13, 1], [7, 2, 10], [5, 8, 3], [12, 11, 9], [14, 16, 4, 6, 15], [18, 17, 19, 20]]
10: [[13, 1], [7, 2, 10], [5, 8, 3], [12, 11, 9], [14, 16, 4, 6, 15], [18, 17, 19, 20]]
11: [[13, 1], [7, 2, 10], [5, 8, 3], [12, 11, 9], [14, 16, 4, 6, 15], [18, 17, 19, 20]]
12: [[13], [1], [7, 2, 10], [5, 8, 3], [12, 11, 9], [14, 16, 4, 6, 15], [18, 17, 19, 20]]
13: [[13, 4], [6, 1, 7], [2, 10, 5, 8], [3, 12, 11, 9], [14, 16, 18, 17, 19, 20, 15]]
14: [[13, 4], [6, 1, 7], [2, 10, 5, 8], [3, 12, 11, 9], [14, 16, 18, 17, 19, 20, 15]]
15: [[13, 4], [3, 1], [7, 6], [10, 5, 8, 11], [2, 9], [12, 15, 16, 14], [18, 17, 19, 20]]
16: [[13, 4], [3, 1], [7, 2], [10, 5], [8, 12], [14, 11, 16, 9, 6, 15], [18, 17, 19, 20]]
17: [[13], [3, 1], [7, 2, 10], [5, 8, 11], [12, 9], [14, 16, 4, 6, 15], [18, 17, 19, 20]]
18: [[13, 4], [3, 1], [7, 2], [10, 5], [8], [14, 11, 9], [12, 16, 6, 15], [18, 17, 19, 20]]
19: [[13], [1], [7, 2], [10, 5, 8], [11, 3, 12, 9], [14, 4, 6], [16, 18, 15], [19, 17, 20]]
20: [[13, 4], [3, 1], [7, 2, 10], [5, 8, 6], [12, 14, 11, 16, 9, 15], [18, 17, 19, 20]]
21: [[13], [1], [7, 2, 10], [5, 8, 3], [12, 11, 9], [14, 16, 6, 15], [18, 17, 19], [20, 4]]
22: [[13, 4], [1], [7, 2], [10, 5, 8, 3, 11], [14, 12, 16, 9, 6, 15], [18, 17, 19, 20]]
23: [[13, 4], [3, 1], [7, 10, 5, 8, 6], [11, 2, 12, 14, 9], [16, 18, 17, 15], [19, 20]]
24: [[13, 3, 9, 4], [1, 7, 2], [10, 5], [8, 12], [11, 14, 16, 6, 15], [18, 17, 19, 20]]
25: [[13], [1, 7, 2], [10, 5, 8], [3, 12, 11], [14, 9, 6], [16, 18, 17, 19, 15], [20, 4]]
26: [[13], [1, 7, 2], [10, 5, 8], [3, 12, 11, 14, 16, 9, 6, 15], [18, 17, 19], [20, 4]]
27: [[13], [3, 1], [7, 2, 10], [5, 8, 6], [12, 11, 9], [14, 4], [16, 18, 17, 15], [19, 20]]
28: [[13, 3, 1, 4], [7, 2, 10], [5, 8, 6], [14, 11, 12, 16, 9, 15], [18, 17, 19, 20]]
29: [[13, 3, 4], [1, 7, 2, 10], [5, 8, 6], [12, 11, 14, 16, 9, 15], [18, 17, 19, 20]]
30: [[13], [3, 1], [7], [10, 5, 8, 11], [2, 12, 9], [16, 6, 15], [14, 18, 17, 4], [19, 20]]
31: [[13], [1, 7], [2, 10], [5, 8, 3], [12, 11, 9], [14, 16, 18, 4, 6, 15], [17, 19, 20]]
32: [[13, 4], [3, 1], [7, 2, 10], [5, 8, 6], [14, 9, 11], [12, 15, 16, 18, 17, 19], [20]]
33: [[13, 4, 6], [1, 7, 2, 10], [5, 8, 3], [12, 11, 14, 15, 16, 18, 17, 19, 20, 9]]
34: [[13, 3, 1, 4], [7, 2, 10, 6], [5, 8, 11], [12, 14, 9], [20, 18, 17], [19, 16, 15]]
35: [[13, 6], [1, 7, 2, 10], [5, 8, 14, 4], [12, 11], [17, 3, 9, 15], [18, 16, 19, 20]]
36: [[13], [1], [7, 2, 6], [10, 5], [8, 3, 12], [11, 14, 9], [16, 18, 4, 15], [17, 19, 20]]
37: [[13], [3, 1, 7, 6], [2, 10], [5, 8], [12, 11, 9], [18, 14, 4], [16, 17, 15], [19, 20]]
38: [[13, 4], [3, 1], [7, 2], [10, 5], [8, 12, 6], [11, 14, 20, 9], [18, 17, 19, 16, 15]]
39: [[13], [1, 6], [7, 2, 10], [5, 8, 14, 4], [12, 11, 9], [3, 17, 18], [16, 19, 20, 15]]
40: [[13, 3, 9], [1, 7, 2, 10], [5, 8, 6], [12], [20, 11, 14, 4], [18, 17, 19, 16, 15]]
41: [[13, 4], [3, 1, 7, 2, 10], [5, 8, 11, 12, 9, 14, 16, 6, 15, 18, 17, 19, 20]]
