0: [[5, 1, 2, 7], [3, 6, 10, 8, 9], [15, 11, 4, 12, 13, 16, 14], [19, 17, 18, 20]]
1: [[5, 1, 2, 7], [3, 6, 10, 8, 9], [15, 11, 4, 12, 13, 16, 14], [19, 17, 18, 20]]
2: [[5, 1, 2, 7], [3, 6, 10, 8, 9], [15, 11, 4, 12, 13, 16, 14], [19, 17, 18, 20]]
3: [[5, 1, 2, 7], [3, 6, 10, 8, 9], [15, 11, 4, 12, 13, 16, 14], [19, 17, 18, 20]]
4: [[5, 1, 2, 7], [3, 6, 10, 8, 9], [15, 11, 4, 12, 13, 16, 14], [19, 17, 18, 20]]
5: [[5, 1, 2, 7], [3, 6, 10, 8, 9], [15, 11, 4, 12, 13, 16, 14], [19, 17, 18, 20]]
6: [[5, 1, 2, 7], [3, 6, 10, 8, 9], [15, 11, 4, 12, 13, 16, 14], [19, 17, 18, 20]]
7: [[5, 1, 2, 7], [3, 6, 10, 8, 9], [15, 11, 4, 12, 13, 16, 14], [19, 17, 18, 20]]
8: [[5, 1, 2, 7], [3, 6, 10, 8, 9], [15, 11, 4, 12, 13, 16, 14], [19, 17, 18, 20]]
9: [[5, 1, 2, 7], [3, 6, 10, 8, 9], [15, 11, 4, 12, 13, 16, 14], [19, 17, 18, 20]]
10: [[5, 1, 2, 7], [3, 6, 10, 8, 9], [15, 11, 4, 12, 13, 16, 14], [19, 17, 18, 20]]
11: [[5, 1, 2, 7], [3, 6, 10, 8, 9], [15, 11, 4, 12, 13, 16, 14], [19, 17, 18, 20]]
12: [[5, 1, 2, 7], [3, 6, 10, 8, 9], [15, 11, 4, 12, 13, 16, 14], [19, 17, 18, 20]]
13: [[5, 1, 2, 7], [3, 6, 10, 8, 9], [15, 11, 4, 12, 13, 16, 14], [19, 17, 18, 20]]
14: [[5, 1, 2, 7], [3, 6, 10, 8, 9], [15, 11, 4, 12, 13, 16, 14], [19, 17, 18, 20]]
15: [[5, 1, 2, 7], [3, 6, 10, 8, 9], [15, 11, 4, 12, 13, 16, 14], [19, 17, 18, 20]]
16: [[5, 1, 2, 7], [3, 6, 10, 8, 9], [15, 11, 4, 12, 13, 16, 14], [19, 17, 18, 20]]
17: [[5, 1, 2, 7], [3, 6, 10, 8, 9], [15, 11, 4, 12, 13, 16, 14], [19, 17, 18, 20]]
18: [[5, 1, 2, 7], [3, 6, 10, 8, 9], [15, 11, 4, 12, 13, 16, 14], [19, 17, 18, 20]]
19: [[5, 1, 2, 7], [3, 6, 10, 8, 9], [15, 11, 4, 12, 13, 16, 14], [19, 17, 18, 20]]
20: [[5, 1, 2, 7], [3, 6, 10, 8, 9], [15, 11, 4, 12, 13, 16, 14], [19, 17, 18, 20]]
21: [[5, 1, 2, 7], [3, 6, 10, 8, 9], [15, 11, 4, 12, 13, 16, 14], [19, 17, 18, 20]]
22: [[5, 1, 2, 7], [3, 6, 10, 8, 9], [15, 11, 4, 12, 13, 16, 14], [19, 17, 18, 20]]
23: [[5, 1, 2, 7], [3, 6, 10, 8, 9], [15, 11, 4, 12, 13, 16, 14], [19, 17, 18, 20]]
24: [[5, 1, 2, 7], [3, 6, 10, 8, 9], [15, 11, 4, 12, 13, 16, 14], [19, 17, 18, 20]]
25: [[5, 1, 2, 7], [3, 6, 10, 8, 9], [15, 11, 4, 12, 13, 16, 14], [19, 17, 18, 20]]
26: [[5, 1, 2, 7], [3, 6, 10, 8, 9], [15, 11, 4, 12, 13, 16, 14], [19, 17, 18, 20]]
27: [[5, 1, 2, 7], [3, 6, 10, 8, 9], [15, 11, 4, 12, 13, 16, 14], [19, 17, 18, 20]]
28: [[5, 1, 2, 7], [3, 6, 10, 8, 9], [15, 11, 4, 12, 13, 16, 14], [19, 17, 18, 20]]
29: [[5, 1, 2, 7], [3, 6, 10, 8, 9], [15, 11, 4, 12, 13, 16, 14], [19, 17, 18, 20]]
30: [[5, 1, 2, 7], [3, 6, 10, 8, 9], [15, 11, 4, 12, 13, 16, 14], [19, 17, 18, 20]]
31: [[5, 1, 2, 7], [3, 6, 10, 8, 9], [15, 11, 4, 12, 13, 16, 14], [19, 17, 18, 20]]
32: [[5, 1, 2, 7], [3, 6, 10, 8, 9], [15, 11, 4, 12, 13, 16, 14], [19, 17, 18, 20]]
33: [[5, 1, 2, 7], [3, 6, 10, 8, 9], [15, 11, 4, 12, 13, 16, 14], [19, 17, 18, 20]]
34: [[5, 1, 2, 7], [3, 6, 10, 8, 9], [15, 11, 4, 12, 13, 16, 14], [19, 17, 18, 20]]
35: [[5, 1, 2, 7], [3, 6, 10, 8, 9], [15, 11, 4, 12, 13, 16, 14], [19, 17, 18, 20]]
36: [[5, 1, 2, 7], [3, 6, 10, 8, 9], [15, 11, 4, 12, 13, 16, 14], [19, 17, 18, 20]]
37: [[5, 1, 2, 7], [3, 6, 10, 8, 9], [15, 11, 4, 12, 13, 16, 14], [19, 17, 18, 20]]
38: [[5, 1, 2, 7], [3, 6, 10, 8, 9], [15, 11, 4, 12, 13, 16, 14], [19, 17, 18, 20]]
39: [[5, 1, 2, 7], [3, 6, 10, 8, 9], [15, 11, 4, 12, 13, 16, 14], [19, 17, 18, 20]]
40: [[5, 1, 2, 7], [3, 6, 10, 8, 9], [15, 11, 4, 12, 13, 16, 14], [19, 17, 18, 20]]
41: [[5, 1, 2, 7], [3, 6, 10, 8, 9], [15, 11, 4, 12, 13, 16, 14], [19, 17, 18, 20]]
