0: [[24, 18], [11, 5], [2, 22, 1, 6, 4, 3, 12, 10, 7], [15, 13, 8], [9, 29, 14, 16, 17], [19, 20, 21, 27, 23], [25, 26, 28], [31, 30, 32, 35, 33, 34], [37, 36]]
1: [[24, 18], [11, 5], [2, 22, 1], [6, 4, 3], [12, 10, 7], [15, 13], [8, 9], [29, 14, 16], [17, 19], [20, 21], [27, 23], [25, 26, 28], [31, 30, 32], [35, 33, 34], [37, 36]]
2: [[24, 18], [11, 5], [2, 22, 1], [6, 4], [3, 12], [10, 7, 15], [13, 8, 9], [29, 14, 16], [17, 19], [20, 21], [27, 23], [25, 26, 28], [31, 30, 32], [35, 33, 34, 37, 36]]
3: [[24, 18], [11, 5], [2, 22, 1], [6, 4], [3, 12, 10, 7], [15, 13, 8], [9, 29, 14], [16, 17, 19], [20, 21, 27, 23], [25, 26, 28], [31, 30, 32], [35, 33, 34], [37, 36]]
4: [[24, 18], [11, 5], [2, 22], [1, 6, 4], [3, 12], [10, 7], [15, 13], [8, 9, 29], [14, 16, 17], [19, 20, 21], [27, 23], [25, 26, 28], [31, 30, 32, 35], [33, 34], [37, 36]]
5: [[24, 18], [11, 5], [2, 22], [1, 6, 4], [3, 12], [10, 7], [15, 13], [8, 9, 29], [14, 16, 17], [19, 20, 21], [27, 23], [25, 26, 28], [31, 30, 32, 35], [33, 34, 37, 36]]
6: [[24, 18], [11, 5], [2, 22, 1, 6], [4, 3, 12], [10, 7, 15, 13], [8, 9, 29], [14, 16, 17], [19, 20, 21], [27, 23], [25, 26, 28], [31, 30], [32, 35, 33, 34], [37, 36]]
7: [[24, 18], [11, 5, 2], [22, 1, 6, 4], [3, 12, 10], [7, 15, 13], [8, 9, 29], [14, 16, 17], [19, 20, 21], [27, 23], [25, 26, 28], [31, 30, 32, 35, 33, 34, 37, 36]]
8: [[24, 18], [11, 5], [2, 22, 1], [6, 4], [3, 12, 10], [7, 15, 13, 8], [9, 29, 14, 16], [17, 19, 20], [21, 27, 23], [25, 26, 28, 31], [30, 32, 35], [33, 34], [37, 36]]
9: [[24, 18], [11, 5], [2, 22, 1], [6, 4, 3], [12, 10], [7, 15], [13, 8, 9], [29, 14, 16], [17, 19, 20], [21, 27, 23], [25, 26, 28], [31, 30], [32, 35, 33, 34, 37, 36]]
10: [[24, 18], [11, 5], [2, 22], [1, 6], [4, 3, 12], [10, 7, 15], [13, 8, 9], [29, 14, 16], [17, 19, 20], [21, 27, 23], [25, 26, 28, 31], [30, 32], [35, 33, 34], [37, 36]]
11: [[24, 18], [11, 5], [2, 22, 1], [6, 4], [3, 12, 10, 7, 15, 13], [8, 9, 29, 14, 16, 17], [19, 20, 21, 27, 23, 25, 26, 28, 31, 30, 32, 35, 33, 34, 37, 36]]
12: [[24, 18], [11, 5, 2], [22, 1], [6, 4, 3], [12, 10], [7, 15, 13], [8, 9, 29], [14, 16], [17, 19, 20], [21, 27, 23], [25, 26, 28], [31, 30, 32], [35, 33, 34], [37, 36]]
13: [[24, 18], [11, 5], [2, 22, 1, 6], [4, 3, 12, 10, 7, 15, 13, 8, 9, 29, 14, 16, 17, 19, 20, 21], [27, 23, 25, 26, 28, 31, 30, 32, 35, 33, 34, 37, 36]]
14: [[24, 18], [11, 5, 2], [22, 1], [6, 4], [3, 12], [10, 7, 15], [13, 8, 9], [29, 14], [16, 17], [19, 20, 21, 27, 23], [25, 26, 28], [31, 30, 32], [35, 33, 34, 37, 36]]
15: [[24, 18], [11, 5], [2, 22], [1, 6, 4], [3, 12, 10], [7, 15, 13], [8, 9, 29], [14, 16], [17, 19, 20], [21, 27, 23], [25, 26, 28, 31], [30, 32, 35], [33, 34], [37, 36]]
16: [[24, 18], [11, 5], [2, 22, 1], [6, 4, 3], [12, 10, 7], [15, 13, 8], [9, 29, 14], [16, 17], [19, 20, 21], [27, 23], [25, 26, 28, 31], [30, 32], [35, 33, 34, 37, 36]]
17: [[24, 18], [11, 5], [2, 22, 1, 6, 4, 3, 12, 10, 7, 15, 13], [8, 9, 29, 14, 16, 17, 19, 20], [21, 27], [23, 25, 26, 28], [31, 30], [32, 35, 33, 34, 37, 36]]
18: [[24, 18], [11, 5, 2], [22, 1, 6], [4, 3, 12, 10], [7, 15, 13], [8, 9, 29, 14, 16, 17], [19, 20, 21, 27], [23, 25, 26, 28], [31, 30, 32], [35, 33], [34, 37, 36]]
19: [[24, 18], [11, 5], [2, 22, 1, 6, 4, 3], [12, 10, 7], [15, 13, 8, 9, 29], [14, 16, 17, 19, 20], [21, 27, 23, 25, 26, 28, 31, 30], [32], [35, 33, 34, 37, 36]]
20: [[24, 18], [11, 5], [2, 22, 1], [6, 4], [3, 12, 10], [7, 15, 13, 8, 9, 29, 14, 16, 17], [19, 20, 21, 27, 23, 25, 26, 28, 31, 30, 32, 35, 33, 34, 37, 36]]
21: [[24, 18], [11, 5], [2, 22, 1], [6, 4], [3, 12, 10], [7, 15, 13, 8], [9, 29], [14, 16, 17], [19, 20, 21, 27, 23, 25], [26, 28], [31, 30, 32], [35, 33, 34, 37, 36]]
22: [[24, 18], [11, 5], [2, 22, 1], [6, 4, 3, 12], [10, 7, 15], [13, 8, 9, 29], [14, 16], [17, 19, 20], [21, 27, 23], [25, 26, 28, 31], [30, 32, 35], [33, 34], [37, 36]]
23: [[24, 18], [11, 5], [2, 22, 1], [6, 4, 3], [12, 10], [7, 15, 13, 8, 9, 29, 14, 16, 17], [19, 20, 21, 27, 23, 25, 26, 28, 31, 30, 32, 35, 33, 34, 37, 36]]
24: [[24, 18], [11, 5], [2, 22], [1, 6], [4, 3, 12], [10, 7], [15, 13], [8, 9, 29], [14, 16, 17], [19, 20, 21], [27, 23, 25], [26, 28], [31, 30, 32], [35, 33], [34, 37, 36]]
25: [[24, 18], [11, 5], [2, 22, 1, 6], [4, 3], [12, 10], [7, 15, 13, 8, 9, 29, 14, 16, 17, 19, 20, 21, 27, 23, 25, 26, 28, 31, 30, 32, 35, 33, 34, 37, 36]]
26: [[24, 18], [11, 5], [2, 22], [1, 6, 4], [3, 12, 10], [7, 15, 13], [8, 9, 29], [14, 16], [17, 19, 20], [21, 27], [23, 25, 26, 28, 31, 30, 32, 35, 33, 34, 37, 36]]
27: [[24, 18], [11, 5], [2, 22], [1, 6, 4], [3, 12, 10, 7], [15, 13, 8], [9, 29, 14], [16, 17, 19, 20], [21, 27, 23], [25, 26], [28, 31], [30, 32, 35, 33, 34, 37, 36]]
28: [[24, 18], [11, 5], [2, 22, 1], [6, 4, 3, 12, 10], [7, 15, 13, 8, 9, 29, 14, 16, 17, 19, 20, 21, 27, 23, 25, 26, 28, 31, 30, 32, 35, 33, 34, 37, 36]]
29: [[24, 18], [11, 5], [2, 22, 1, 6], [4, 3], [12, 10, 7, 15], [13, 8, 9], [29, 14, 16], [17, 19, 20, 21, 27, 23, 25, 26, 28], [31, 30], [32], [35, 33, 34, 37, 36]]
30: [[24, 18], [11, 5], [2, 22], [1, 6, 4, 3], [12, 10], [7, 15, 13, 8, 9], [29, 14, 16, 17, 19, 20, 21, 27, 23, 25, 26, 28, 31, 30, 32, 35, 33, 34, 37, 36]]
31: [[24, 18], [11, 5], [2, 22], [1, 6, 4], [3, 12, 10], [7, 15], [13, 8, 9], [29, 14, 16], [17, 19, 20], [21, 27, 23, 25], [26, 28, 31, 30, 32], [35, 33, 34], [37, 36]]
32: [[24, 18], [11, 5], [2, 22], [1, 6, 4], [3, 12, 10], [7, 15], [13, 8, 9], [29, 14, 16], [17, 19, 20], [21, 27, 23, 25], [26, 28, 31, 30, 32], [35, 33, 34], [37, 36]]
33: [[24, 18], [11, 5], [2, 22], [1, 6, 4], [3, 12, 10], [7, 15, 13], [8, 9, 29], [14, 16, 17], [19, 20], [21, 27], [23, 25, 26, 28], [31, 30, 32, 35], [33, 34, 37, 36]]
34: [[24, 18], [11, 5], [2, 22, 1], [6, 4], [3, 12, 10], [7, 15, 13], [8, 9, 29], [14, 16, 17], [19, 20], [21, 27, 23, 25, 26, 28, 31, 30, 32], [35, 33, 34, 37, 36]]
35: [[24, 18], [11, 5], [2, 22, 1], [6, 4, 3], [12, 10], [7, 15], [13, 8, 9, 29, 14, 16, 17, 19, 20], [21, 27, 23, 25, 26, 28, 31, 30, 32, 35, 33, 34, 37, 36]]
36: [[24, 18], [11, 5], [2, 22, 1, 6, 4], [3, 12, 10, 7, 15, 13, 8], [9, 29, 14, 16, 17, 19, 20, 21, 27, 23, 25, 26, 28, 31, 30, 32, 35, 33, 34, 37, 36]]
37: [[24, 18], [11, 5], [2, 22, 1], [6, 4, 3, 12, 10], [7, 15, 13, 8, 9], [29, 14, 16], [17, 19, 20, 21], [27, 23, 25], [26, 28, 31, 30], [32, 35], [33, 34, 37, 36]]
38: [[24, 18], [11, 5], [2, 22, 1, 6], [4, 3, 12], [10, 7, 15, 13], [8, 9, 29], [14, 16, 17, 19], [20, 21, 27, 23], [25, 26, 28, 31, 30, 32, 35, 33, 34, 37, 36]]
39: [[24, 18], [11, 5], [2, 22], [1, 6], [4, 3, 12], [10, 7], [15, 13, 8, 9, 29], [14, 16, 17, 19, 20, 21, 27, 23, 25, 26, 28, 31, 30, 32, 35, 33, 34, 37, 36]]
40: [[24, 18], [11, 5, 2], [22, 1, 6, 4], [3, 12, 10], [7, 15, 13], [8, 9, 29], [14, 16, 17], [19, 20, 21], [27, 23, 25], [26, 28, 31], [30, 32, 35, 33, 34], [37, 36]]
41: [[24, 18], [11, 5], [2, 22], [1, 6], [4, 3, 12], [10, 7, 15], [13, 8, 9], [29, 14, 16], [17, 19, 20, 21], [27, 23, 25, 26, 28, 31, 30, 32, 35, 33, 34, 37, 36]]
42: [[24, 18], [11, 5], [2, 22, 1], [6, 4, 3], [12, 10, 7], [15, 13, 8, 9, 29], [14, 16, 17, 19, 20, 21, 27, 23, 25, 26, 28, 31, 30, 32, 35, 33], [34, 37, 36]]
43: [[24, 18], [11, 5], [2, 22], [1, 6, 4], [3, 12], [10, 7], [15, 13], [8, 9, 29], [14, 16, 17], [19, 20, 21], [27, 23, 25], [26, 28, 31, 30], [32, 35, 33, 34], [37, 36]]
44: [[24, 18, 11, 5, 2, 22, 1, 6], [4, 3, 12, 10, 7, 15, 13, 8, 9, 29, 14, 16, 17, 19], [20, 21, 27, 23, 25, 26, 28, 31, 30, 32, 35, 33, 34, 37, 36]]
45: [[24, 18], [11, 5, 2], [22, 1, 6], [4, 3, 12], [10, 7], [15, 13], [8, 9, 29], [14, 16], [17, 19, 20, 21, 27], [23, 25, 26, 28, 31, 30, 32, 35, 33, 34, 37, 36]]
46: [[24, 18, 11, 5, 2], [22, 1, 6, 4, 3, 12, 10], [7, 15, 13, 8, 9, 29, 14, 16, 17], [19, 20, 21, 27, 23, 25, 26, 28, 31, 30, 32, 35, 33, 34, 37, 36]]
47: [[24, 18], [11, 5], [2, 22, 1], [6, 4, 3, 12], [10, 7, 15, 13], [8, 9, 29, 14, 16, 17, 19, 20, 21, 27, 23, 25, 26, 28, 31, 30, 32, 35, 33, 34, 37, 36]]
48: [[24, 18], [11, 5, 2, 22], [1, 6, 4, 3], [12, 10], [7, 15, 13], [8, 9, 29, 14], [16, 17, 19, 20], [21, 27, 23, 25], [26, 28, 31, 30, 32, 35, 33, 34, 37, 36]]
49: [[24, 18], [11, 5], [2, 22, 1], [6, 4], [3, 12], [10, 7, 15], [13, 8, 9, 29], [14, 16], [17, 19, 20], [21, 27, 23, 25, 26, 28, 31, 30, 32, 35], [33, 34, 37, 36]]
50: [[24, 18], [11, 5], [2, 22, 1], [6, 4, 3], [12, 10, 7], [15, 13, 8], [9, 29, 14], [16, 17, 19], [20, 21, 27, 23], [25, 26, 28, 31, 30, 32, 35, 33, 34, 37, 36]]
51: [[24, 18, 11], [5, 2], [22, 1, 6, 4, 3, 12, 10, 7, 15], [13, 8, 9, 29, 14], [16, 17, 19, 20, 21], [27, 23, 25, 26, 28, 31, 30, 32, 35, 33, 34, 37, 36]]
52: [[24, 18], [11, 5], [2, 22, 1], [6, 4, 3, 12, 10, 7, 15, 13], [8, 9, 29], [14, 16, 17], [19, 20, 21], [27, 23, 25], [26, 28, 31, 30], [32, 35, 33, 34, 37, 36]]
53: [[24, 18], [11, 5], [2, 22, 1, 6], [4, 3, 12], [10, 7, 15], [13, 8, 9], [29, 14, 16, 17, 19, 20, 21, 27], [23, 25, 26, 28, 31], [30, 32, 35, 33, 34, 37, 36]]
54: [[24, 18], [11, 5], [2, 22, 1], [6, 4], [3, 12, 10], [7, 15, 13, 8], [9, 29], [14, 16, 17], [19, 20, 21, 27], [23, 25, 26, 28], [31, 30, 32, 35], [33, 34], [37, 36]]
