0: [[10, 14], [16, 11], [2, 1], [4, 6, 3], [9, 8, 13], [5, 7, 12], [15, 18], [22], [19, 17, 20], [21, 23, 24]]
1: [[10, 14], [16, 11], [2, 1], [4, 6, 3], [9, 8, 13], [5, 7, 12], [15, 18], [22], [19, 17, 20], [21, 23, 24]]
2: [[10, 14], [16, 11], [2, 1], [4, 6, 3], [9, 8, 13], [5, 7, 12], [15, 18], [22], [19, 17, 20], [21, 23, 24]]
3: [[10, 14], [16, 11], [2, 1], [4, 6, 3], [9, 8, 13], [5, 7, 12], [15, 18, 22], [19, 17, 20], [21, 23, 24]]
4: [[10, 14], [16, 11], [2, 1], [4, 6, 3], [9, 8, 13], [5, 7, 12], [15, 18, 22], [19, 17], [20], [21, 23, 24]]
5: [[10, 14], [16, 11], [2, 1], [4, 6, 3], [9], [8, 13, 5], [7, 12], [15, 18, 22], [19, 17, 20], [21, 23, 24]]
6: [[10, 14], [16, 11], [2, 1], [4], [6, 3, 9], [8, 13, 5], [7, 12], [15, 18, 22], [19, 17, 20], [21, 23, 24]]
7: [[10, 14], [16, 11], [2, 1], [4, 6], [3, 9], [8, 13], [5, 7, 12], [15, 18], [22], [19, 17, 20], [21, 23, 24]]
8: [[10, 14], [16, 11], [2, 1], [4, 6], [3, 9], [8, 13], [5, 7, 12], [15, 18], [22], [19, 17, 20], [21, 23, 24]]
9: [[10, 14], [16, 11], [2, 1], [4, 6], [3, 9], [8, 13], [5, 7, 12], [15, 18, 22], [19, 17, 20], [21, 23, 24]]
10: [[10, 14], [16, 11], [2, 1], [4, 6], [3, 9], [8, 13], [5, 7, 12], [15, 18, 22], [19, 17, 20], [21, 23, 24]]
11: [[10, 14], [16, 11], [2, 1], [4, 6, 3], [9, 8], [13, 5, 7], [12, 15, 18], [22, 19, 17], [20], [21, 23, 24]]
12: [[10, 14], [16, 11], [2, 1], [4, 6], [3, 9, 8], [13, 5], [7, 12], [15, 18, 22], [19, 17, 20], [21, 23, 24]]
13: [[10, 14], [16, 11], [2, 1], [4, 6], [3, 9, 8], [13, 5, 7], [12, 15, 18], [22], [19, 17, 20], [21, 23, 24]]
14: [[10, 14], [16, 11], [2, 1], [4, 6], [3, 9, 8], [13, 5, 7], [12, 15, 18], [22], [19, 17, 20], [21, 23, 24]]
15: [[10, 14], [16, 11], [2, 1], [4, 6], [3, 9, 8], [13, 5, 7], [12, 15, 18], [22, 19, 17], [20], [21, 23, 24]]
