0: [[3, 5, 1, 2, 6, 7, 10, 8, 14, 4, 9], [11, 13, 12], [15, 16, 17, 18, 19, 20]]
1: [[3, 5, 1, 2, 4, 6, 7, 10, 8, 9, 14], [11, 13, 12], [15, 16, 17, 18, 19, 20]]
2: [[3, 5, 1, 2, 4, 6, 7, 10, 8, 9, 14], [11, 13, 12], [15, 16, 17, 18, 19, 20]]
3: [[3, 5, 1, 2, 4, 6, 7, 10, 8, 9, 14], [11, 13, 12], [15, 16, 17, 18, 19, 20]]
4: [[3, 5, 1, 2, 4, 6, 7, 10, 8, 9, 14], [11, 13, 12], [15, 16, 17, 18, 19, 20]]
5: [[3, 5, 1, 2, 4, 6, 7, 10, 8], [9, 14, 11, 13, 12], [15, 16, 17, 18, 19, 20]]
6: [[3, 5, 1, 2, 4, 6, 7, 10, 8], [9, 14, 11, 13, 12], [15, 16, 17, 18, 19, 20]]
7: [[3, 5, 1, 2, 4, 6, 7, 10, 8], [9, 14, 11, 13, 12, 15, 16], [17, 18, 19, 20]]
8: [[3, 5, 1, 2, 4, 6, 7, 10, 8], [9, 14, 11, 13, 12, 15, 16], [17, 18, 19, 20]]
9: [[3, 5, 1, 2, 4, 6, 7, 10, 8, 9], [14, 11, 13, 12, 15, 16], [17, 18, 19, 20]]
10: [[3, 5, 1, 2, 4, 6, 7, 10, 8, 9], [14, 11, 13, 12, 15, 16], [17, 18, 19, 20]]
11: [[3, 5, 1, 2, 4, 6, 7, 10, 8, 9], [14, 11, 13, 12], [15, 16, 17, 18, 19, 20]]
12: [[3, 5, 1, 2, 4, 6, 7, 10, 8], [9, 14, 11, 13, 12, 15, 16, 17], [18, 19, 20]]
13: [[3, 5, 1, 2, 4, 6, 7, 10], [8, 9, 14, 11, 13, 12], [15, 16, 17, 18, 19, 20]]
14: [[3, 5, 1, 2, 4, 6, 7, 10, 8], [9, 14, 11, 13], [12, 15, 16, 17, 18, 19, 20]]
15: [[3, 5, 1, 2, 4, 6, 7, 10, 8], [9, 14, 11, 13], [12, 15, 16, 17, 18, 19, 20]]
16: [[3, 5, 1, 2, 4, 6, 7, 10, 8, 9], [14, 11, 13, 12, 15], [16, 17, 18, 19, 20]]
17: [[3, 5, 1, 2, 4, 6, 7], [10, 8, 9, 14, 11, 13, 12], [15, 16, 17, 18, 19, 20]]
18: [[3, 5, 1, 2, 4, 6, 7], [10, 8, 9, 14, 11, 13, 12], [15, 16, 17, 18, 19, 20]]
19: [[3, 5, 1, 2, 4, 6, 7], [10, 8, 9, 14, 11, 13, 12], [15, 16, 17, 18, 19, 20]]
20: [[3, 5, 1, 2, 4, 6, 7], [10, 8, 9, 14, 11, 13, 12], [15, 16, 17, 18, 19, 20]]
21: [[3, 5, 1, 2, 4, 6, 7, 10, 8, 9, 14], [11, 13, 12, 15], [16, 17, 18, 19, 20]]
22: [[3, 5, 1, 2, 4, 6, 7, 10, 8, 9, 14], [11, 13, 12, 15], [16, 17, 18, 19, 20]]
23: [[3, 5, 1, 2, 4], [6, 7, 10, 8, 9, 14, 11, 13, 12, 15, 16], [17, 18, 19, 20]]
24: [[3, 5, 1, 2, 4], [6, 7, 10, 8, 9, 14, 11, 13], [12, 15, 16, 17, 18, 19, 20]]
25: [[3, 5, 1, 2, 4], [6, 7, 10, 8, 9, 14, 11, 13, 12, 15, 16], [17, 18, 19, 20]]
26: [[3, 5, 1, 2, 4, 6], [7, 10, 8, 9, 14, 11, 13, 12], [15, 16, 17, 18, 19, 20]]
27: [[3, 5, 1, 2, 4, 6, 7, 10], [8, 9, 14, 11, 13, 12, 15], [16, 17, 18, 19, 20]]
28: [[3, 5, 1, 2, 4, 6, 7, 10], [8, 9, 14, 11, 13, 12, 15, 16, 17], [18, 19, 20]]
29: [[3, 5, 1, 2, 4, 6, 7, 10, 8, 9, 14, 11], [13, 12, 15], [16, 17, 18, 19, 20]]
30: [[3, 5, 1, 2, 4, 6, 7], [10, 8, 9, 14, 11, 13], [12, 15, 16, 17, 18, 19, 20]]
31: [[3, 5, 1, 2, 4, 6], [7, 10, 8, 9, 14, 11, 13, 12, 15, 16], [17, 18, 19, 20]]
32: [[3, 5, 1, 2], [4, 6, 7, 10, 8, 9, 14, 11, 13], [12, 15, 16, 17, 18, 19, 20]]
33: [[3, 5, 1, 2, 4], [6, 7, 10, 8, 9, 14, 11, 13, 12, 15], [16, 17, 18, 19, 20]]
34: [[3, 5, 1], [2, 4, 6, 7, 10, 8, 9, 14, 11, 13, 12], [15, 16, 17, 18, 19, 20]]
35: [[3, 5, 1], [2, 4, 6, 7, 10, 8, 9, 14, 11, 13, 12], [15, 16, 17, 18, 19, 20]]
36: [[3, 5, 1, 2, 4, 6, 7], [10, 8, 9, 14, 11, 13, 12, 15, 16, 17], [18, 19, 20]]
37: [[3, 5, 1, 2, 4, 6], [7, 10, 8, 9, 14, 11, 13, 12, 15], [16, 17, 18, 19, 20]]
38: [[3, 5, 1, 2], [4, 6, 7, 10, 8, 9, 14, 11, 13, 12, 15], [16, 17, 18, 19, 20]]
39: [[3, 5, 1, 2], [4, 6, 7, 10, 8, 9, 14, 11, 13, 12, 15], [16, 17, 18, 19, 20]]
40: [[3, 5, 1, 2], [4, 6, 7, 10, 8, 9, 14, 11, 13, 12, 15], [16, 17, 18, 19, 20]]
41: [[3, 5, 1], [2, 4, 6, 7, 10, 8, 9, 14, 11, 13, 12, 15], [16, 17, 18, 19, 20]]
