0: [[9, 13, 11, 1], [4, 6, 2, 19, 3, 10], [5, 7, 12, 8, 14, 15, 20, 17], [18, 16, 22], [21, 23, 24]]
1: [[9, 13, 11, 1], [4, 6, 2, 19, 3, 10], [5, 7, 12, 8, 14, 15, 20, 17], [18, 16, 22], [21, 23, 24]]
2: [[13], [4, 6], [2, 19, 3, 10, 1], [5, 7, 11], [12, 8, 14, 15], [20, 17, 9], [18, 16, 22], [21, 23, 24]]
3: [[13], [4, 6], [2, 19, 3, 10, 1], [5, 7, 12, 8, 14, 15, 11], [20, 17, 9], [18, 16, 22], [21, 23, 24]]
4: [[1, 4], [6, 2, 19, 9, 13], [3, 10], [5, 7, 12, 11], [8, 14, 15], [20, 17], [18, 16, 22], [21, 23, 24]]
5: [[1, 4], [6, 2, 19, 9, 13], [3, 10], [5, 7, 12, 11], [8, 14, 15], [20, 17], [18, 16, 22], [21, 23, 24]]
6: [[1, 4], [6, 2, 19, 9, 13], [3, 10], [5, 7, 12, 11], [8, 14, 15, 20], [17, 18, 16, 22], [21, 23, 24]]
7: [[9, 13, 11, 1], [4, 6, 2, 19, 3, 10], [5, 7, 12], [8, 14, 15], [20, 17, 18, 16], [22, 21, 23, 24]]
8: [[13], [4, 6, 2, 19, 3, 1], [10, 5, 7, 12, 8, 14, 11], [15, 20], [17, 18, 16, 22, 9], [21, 23, 24]]
9: [[13], [4, 6, 2, 19, 3, 1], [10, 5, 7, 12, 8, 14, 11], [15, 20], [17, 18, 16, 22, 9], [21, 23, 24]]
10: [[13], [4, 6, 2, 19, 9, 1], [3, 10, 5], [7, 12, 8, 11], [14, 15, 20, 17], [18, 16, 22], [21, 23, 24]]
11: [[1, 13], [4, 6, 2, 19, 9], [3, 10, 5, 7, 12, 8, 11], [14, 15, 20, 17], [18, 16, 22], [21, 23, 24]]
12: [[1, 4], [6, 2, 9, 13], [19, 3, 10], [5, 7, 12, 11], [8, 14], [15, 20, 17, 18, 16], [22, 21, 23, 24]]
13: [[13], [4, 6, 9], [2, 19, 3, 10, 1], [5, 7, 12, 8, 14, 11], [15, 20], [17, 18, 16], [22, 21, 23, 24]]
14: [[1], [4, 6, 2, 19, 3], [10, 5], [7, 12, 13, 11], [8, 14, 15, 20], [17, 18, 16, 22, 9], [21, 23, 24]]
15: [[9], [4, 6, 2, 13, 1], [19, 3], [10, 5, 7, 12, 11], [8, 14, 15, 20, 17], [18, 16], [22, 21, 23, 24]]
16: [[13], [4, 6, 9], [2, 19, 3, 10, 1], [5, 7, 11], [12, 8], [14, 15, 20], [17, 18, 16, 22], [21, 23, 24]]
17: [[13], [4, 6, 9], [2, 19, 3, 10, 1], [5, 7, 11], [12, 8], [14, 15, 20], [17, 18, 16, 22], [21, 23, 24]]
18: [[13], [4, 6, 2, 19, 3, 10], [5, 7, 12, 8, 14, 15, 11], [20, 17, 9, 1], [18, 16, 22, 21], [23, 24]]
19: [[13], [4, 6, 2], [19, 3, 10], [5, 7, 12, 8, 11], [14, 15], [20, 17, 9, 1], [18, 16], [22, 21, 23, 24]]
20: [[13], [4, 6, 2, 9, 1], [19, 3, 10], [5, 7, 11], [12, 8], [14, 15, 20], [17, 18, 16, 22], [21, 23, 24]]
21: [[13], [4, 6, 9, 1], [2, 19], [3, 10, 5, 7, 11], [12, 8, 14, 15], [20, 17, 18, 16], [22, 21, 23, 24]]
22: [[1], [4, 6, 9], [2, 19], [3, 10, 5], [7, 12, 13, 11], [8, 14, 15, 20], [17, 18, 16], [22, 21, 23, 24]]
23: [[13], [4, 6, 9], [2, 19, 3, 10, 1], [5, 7, 12, 8, 14, 11], [15, 20, 17], [18, 16, 22, 21], [23, 24]]
24: [[1], [4, 6, 9, 13], [2, 19, 3], [10, 5, 7, 12, 11], [8, 14, 15], [20, 17, 18, 16], [22, 21, 23, 24]]
25: [[1, 4], [6, 2, 19, 3], [10, 5, 7, 11], [12, 8, 9, 13], [14, 15, 20], [17, 18, 16, 22], [21, 23, 24]]
26: [[13], [4, 6, 9], [2, 19, 3, 1], [10, 5, 7, 11], [12, 8, 14], [15, 20], [17, 18, 16], [22, 21, 23, 24]]
27: [[1, 4, 6, 9, 13], [2, 19, 3], [10, 5, 7, 12, 11], [8, 14], [15, 20], [17, 18, 16], [22, 21, 23, 24]]
28: [[13], [4, 6, 2, 19, 3, 1], [10, 5, 7, 11], [12, 8, 9], [14, 15, 20], [17, 18, 16], [22, 21, 23, 24]]
29: [[13], [4, 6, 9], [2, 19, 3, 1], [10, 5, 7, 11], [12, 8, 14, 15], [20, 17, 18, 16, 22, 21], [23, 24]]
30: [[1], [4, 6, 2, 13], [19, 3], [10, 5, 7, 12, 11], [8, 14, 9], [15, 20], [17, 18, 16, 22], [21, 23, 24]]
31: [[1, 4], [6, 2, 9, 13], [19, 3, 10, 5], [7, 12, 8, 14, 11], [15, 20, 17], [18, 16, 22, 21], [23, 24]]
32: [[13], [4, 6, 2, 9, 1], [19, 3], [10, 5, 7, 11], [12, 8], [14, 15, 20], [17, 18, 16, 22], [21, 23, 24]]
33: [[1, 4], [6, 2, 9], [19, 3], [10, 5, 7, 11], [12, 8, 14, 13], [15, 20], [17, 18, 16], [22, 21, 23, 24]]
34: [[9, 13, 11, 1], [4, 6, 2], [19, 3, 10, 5, 7], [12, 8, 14, 15, 20, 17, 18, 16, 22, 21], [23, 24]]
35: [[13], [4, 6, 2, 9, 1], [19, 3, 10], [5, 7, 12, 8, 11], [14, 15, 20, 17], [18, 16, 22, 21, 23, 24]]
36: [[1, 4, 9], [6, 2, 19, 3, 10], [5, 7, 11], [12, 8, 14, 15, 13], [20, 17, 18, 16, 22, 21, 23, 24]]
37: [[1, 4, 6, 9, 13], [2, 19, 3], [10, 5, 7, 12, 11], [8, 14, 15, 20], [17, 18, 16, 22, 21, 23, 24]]
38: [[9, 13, 11, 1], [4, 6], [2, 19, 3, 10], [5, 7, 12, 8, 14, 15, 20, 17, 18, 16, 22, 21, 23, 24]]
39: [[13], [4, 6, 2, 19, 9, 1], [3, 10], [5, 7, 12, 8, 11], [14, 15, 20], [17, 18, 16, 22, 21, 23, 24]]
40: [[9, 13], [4, 6], [2, 19, 3, 10, 1], [5, 7, 12, 8, 14, 15, 20, 17, 18, 16, 22, 21, 23, 24, 11]]
41: [[1, 4], [6, 2, 19, 9], [3, 10, 5], [7, 12, 8, 13, 11], [14, 15], [20, 17, 18], [16, 22, 21, 23, 24]]
42: [[9, 13, 11, 1], [4, 6, 2, 19], [3, 10, 5, 7, 12, 8, 14, 15, 20, 17, 18, 16, 22, 21, 23, 24]]
43: [[9, 13, 11, 1], [4, 6], [2, 19, 3, 10, 5, 7, 12, 8, 14, 15, 20, 17, 18, 16, 22, 21, 23, 24]]
44: [[9], [13, 11, 1, 4, 6, 2, 19, 3, 10, 5, 7, 12, 8, 14, 15, 20, 17, 18, 16, 22, 21, 23, 24]]
45: [[13, 1], [4, 6, 2, 19], [3, 10, 5], [7, 12, 8, 9, 11], [14, 15, 20, 17, 18, 16, 22, 21, 23, 24]]
46: [[9, 1], [4, 6], [2, 19, 3], [10, 5, 7, 12, 13, 11], [8, 14, 15, 20, 17, 18, 16, 22, 21, 23, 24]]
47: [[9, 13, 11], [1, 4, 6, 2], [19, 3, 10, 5, 7, 12, 8, 14, 15, 20, 17, 18, 16, 22, 21, 23, 24]]
48: [[13, 1], [4, 6], [2, 19, 3, 10, 5, 7, 11], [12, 8, 9], [14, 15, 20, 17, 18, 16, 22, 21, 23, 24]]
49: [[9, 13], [11, 1, 4], [6, 2, 19, 3, 10, 5, 7, 12, 8, 14, 15, 20, 17, 18, 16, 22, 21, 23, 24]]
