0: [[9, 11, 8, 6], [13, 2], [3, 5], [12, 7], [4, 10, 1]]
1: [[9, 11, 8, 6], [2, 13], [3, 5], [12, 7], [1, 4, 10]]
2: [[9, 11, 8, 6], [2, 13], [3, 5], [12, 7], [1, 4, 10]]
3: [[11, 8, 6], [2, 13, 9], [3, 5], [12, 7], [1, 4, 10]]
4: [[11, 8, 6], [2, 13, 9], [3, 5], [12, 7], [1, 4, 10]]
5: [[11, 8, 6], [2, 13, 9], [3, 5], [12, 7], [1, 4, 10]]
6: [[11, 8, 6], [2, 13, 9], [3, 5], [12, 7], [1, 4, 10]]
7: [[11, 8, 6], [2, 13, 9], [3, 5], [12, 7], [1, 4, 10]]
8: [[11, 8, 6], [2, 13, 9], [3, 5], [12, 7], [1, 4, 10]]
9: [[11, 8, 6], [2, 13, 9], [3, 5], [12, 7], [1, 4, 10]]
10: [[11, 8, 6], [2, 13, 9], [3, 5], [12, 7], [1, 4, 10]]
11: [[9, 11, 8, 6], [2, 13], [3, 5, 12, 7], [1, 4, 10]]
12: [[9, 11, 8, 6], [2, 13], [3, 5, 12, 7], [1, 4, 10]]
13: [[11, 8, 6], [2, 13, 9], [3, 5], [12, 7], [1], [4, 10]]
14: [[9, 11, 8, 6], [2, 13], [3, 5], [12, 7, 1], [4, 10]]
15: [[9, 11, 8, 6], [2, 13, 3, 5], [12, 7, 1], [4, 10]]
16: [[11, 6, 9], [2, 13], [3, 5], [12, 7, 1, 8], [4, 10]]
17: [[11, 6, 9], [2, 13], [3, 5], [12, 7, 1, 8], [4, 10]]
18: [[11, 6, 9], [2, 13], [3, 5], [12, 7, 1, 8], [4, 10]]
19: [[9], [11, 2, 8, 6], [13, 3, 5], [12, 7], [1, 4, 10]]
20: [[9, 11, 6], [2, 13], [3, 5], [12, 7, 1, 4, 10, 8]]
21: [[9, 11, 6], [2, 13, 3, 5, 12], [7, 1, 8], [4, 10]]
22: [[9, 11, 6], [2, 13], [3, 5, 12], [7, 1, 4, 10, 8]]
23: [[8, 6, 9, 11, 2], [13], [5, 12], [7, 1, 3], [4, 10]]
24: [[8, 6, 9, 11, 2], [13], [5, 12], [7, 1, 3], [4, 10]]
25: [[8, 6, 9, 11], [13], [5, 12, 3], [7, 1, 4, 2], [10]]
26: [[8, 6], [9, 11], [2, 13, 3], [5, 12], [7, 1], [4, 10]]
27: [[8], [9, 11, 6], [13, 3], [5, 12], [7, 1, 4, 10, 2]]
