0: [[2, 4, 3, 1, 19], [7, 14, 11, 10], [6, 8, 9, 15, 5, 13], [12, 20, 17, 22, 18, 16], [21, 23, 24]]
1: [[2, 4, 3, 13, 1, 19], [7, 14, 11, 10], [5, 6, 8, 9, 15, 12], [20, 17, 22, 18, 16], [21, 23, 24]]
2: [[2, 4, 3, 13, 1, 19], [7, 14, 11, 10], [6, 5, 8, 9, 12], [15, 20, 17, 22, 18, 16], [21, 23, 24]]
3: [[2, 4, 3, 13, 1, 19], [7, 14, 11, 10], [6, 5, 8, 9, 12], [15, 20, 17, 22, 18, 16], [21, 23, 24]]
4: [[2, 4, 3, 13, 1, 19], [7, 14, 11, 10], [6, 5, 8, 9, 12], [15, 20, 17, 22, 18, 16], [21, 23, 24]]
5: [[2, 4, 3, 1, 19], [13, 7, 14, 11, 10], [8, 5, 6, 9, 12, 15], [20, 17, 22, 18, 16], [21, 23, 24]]
6: [[2, 1], [4, 19], [3, 13, 7, 14, 11, 10, 5, 6, 8, 9], [12, 15, 20, 17, 22, 18, 16], [21, 23, 24]]
7: [[2, 1], [4, 19], [3, 13, 7, 14, 11, 6, 5, 10, 8, 9], [15, 12, 20, 17, 22, 18, 16], [21, 23, 24]]
8: [[2, 1], [4, 19], [3, 13, 7, 14, 8, 9, 5, 10, 6, 11], [12, 15, 20, 17, 22, 18, 16], [21, 23, 24]]
9: [[2, 1], [4, 19], [3, 13, 7, 14, 11, 6, 5, 10, 8, 9], [15, 12, 20, 17, 22, 18, 16], [21, 23, 24]]
10: [[2, 1], [4, 19], [3, 13, 7, 14, 9, 10, 8, 5, 6, 11], [12, 15, 20, 17, 22, 18, 16], [21, 23, 24]]
11: [[2, 1], [4, 19], [3, 13, 7, 14, 5, 6, 10, 9, 8, 11], [12, 15, 20, 17, 22, 18, 16], [21, 23, 24]]
12: [[1, 2], [19, 4], [3, 13, 7, 14, 10, 12, 6, 5, 8, 11], [15, 9, 20, 17, 22, 18, 16], [21, 23, 24]]
13: [[2, 1], [4, 19], [3, 13, 7, 14, 9, 5, 12, 6, 10, 11, 8], [15, 20, 17, 22, 18, 16], [21, 23, 24]]
14: [[2, 1], [4, 19], [3, 13, 7, 14, 5, 6, 9, 10, 8, 11, 12], [15, 20, 17, 22, 18, 16], [21, 23, 24]]
15: [[1, 2], [19, 4], [3, 13, 7, 14, 11, 10, 5, 6, 8, 9, 15], [12, 20, 17, 22, 18, 16], [21, 23, 24]]
16: [[2, 1], [4, 19], [3, 13, 7, 14, 9, 10, 12, 5, 6, 8], [11, 15, 20, 17, 22, 18, 16], [21, 23, 24]]
17: [[1, 2], [19, 4], [3, 13, 7, 14, 5, 6, 8, 11, 9, 10, 15], [12, 20, 17, 22, 18, 16], [21, 23, 24]]
18: [[2, 1], [4, 19], [3, 13, 7, 14, 6, 10, 5, 12, 9, 8], [11, 15, 20, 17, 22, 18, 16], [21, 23, 24]]
19: [[2, 1], [4, 19], [3, 13, 7, 14, 9, 12, 5, 6, 10, 8], [15, 11, 20, 17, 22, 18, 16], [21, 23, 24]]
20: [[1, 2], [19, 4], [3, 13, 7, 14, 15, 10, 6, 5, 8], [9, 12, 11, 20, 17, 22, 18, 16], [21, 23, 24]]
21: [[1, 2], [19, 4], [3, 13, 7, 14, 5, 9, 8, 6], [10, 11, 15, 12, 20, 17, 22, 18, 16], [21, 23, 24]]
22: [[1, 2], [19, 4], [3, 13, 7, 14, 5, 6, 12, 9], [10, 11, 15, 8, 20, 17, 22, 18, 16], [21, 23, 24]]
23: [[2, 4, 3, 13, 1, 19], [7, 14, 9, 10], [6, 5, 8, 11, 12], [15, 20, 17, 22, 18, 16], [21, 23, 24]]
24: [[2, 4, 3, 13, 1, 19], [7, 14, 9, 10], [5, 6, 8, 11, 12], [15, 20, 17, 22, 18, 16], [21, 23, 24]]
25: [[1, 2, 19, 4, 3], [13, 7, 14, 5, 10, 6], [11, 8, 9, 12, 15], [20, 17, 22, 18, 16], [21, 23, 24]]
26: [[2, 4, 3, 13, 1, 19], [7, 14, 9, 10, 5, 6], [8, 11, 12, 15], [20, 17, 22, 18, 16], [21, 23, 24]]
27: [[2, 19, 3, 13, 1, 4], [7, 14, 11, 6], [5, 8, 10, 9, 12], [15, 20, 17, 22, 18, 16], [21, 23, 24]]
28: [[2, 19, 3, 13, 1, 4], [7, 14, 11, 6], [5, 10, 8, 9, 12], [15, 20, 17, 22, 18, 16], [21, 23, 24]]
29: [[1, 2], [19, 4], [3, 13, 7, 14, 12, 5, 6, 9, 8, 11], [15, 10, 20, 17, 22, 18, 16], [21, 23, 24]]
30: [[1, 2], [19, 4], [3, 13, 7, 14, 9, 12, 6, 5, 8, 11], [15, 10, 20, 17, 22, 18, 16], [21, 23, 24]]
31: [[2, 4, 3, 13, 1, 19], [7, 14, 11, 10], [5, 6, 8, 9, 15], [12, 20, 17, 22, 18, 16, 21], [23, 24]]
32: [[1, 2, 19, 4, 3], [13, 7, 14, 9, 6], [5, 10, 8, 11, 15, 12], [20, 17, 22, 18, 16], [21, 23, 24]]
33: [[2, 19, 3, 13, 1, 4], [7, 14, 9, 6], [5, 10, 8, 11, 15], [12, 20, 17, 22, 18, 16], [21, 23, 24]]
34: [[1, 2, 19, 4, 3], [13, 7, 14], [5, 6, 9, 10, 8, 11], [12, 15, 20, 17, 22, 18, 16], [21, 23, 24]]
35: [[2, 19, 3, 13, 1], [7, 14, 5, 6, 4], [10, 11, 8, 9, 12], [15, 20, 17, 22, 18, 16], [21, 23, 24]]
36: [[2, 19, 3, 13, 1, 4], [7, 14, 8, 12], [5, 6, 11, 9], [15, 10, 20, 17, 22, 18, 16], [21, 23, 24]]
