0: [[7, 6], [1, 3], [2, 10, 5, 8, 4], [11, 12, 13, 9], [14, 15, 16, 17, 19, 18, 20]]
1: [[7, 6], [1, 3], [2, 10, 5, 4, 8], [11, 9, 12, 13], [14, 15, 16, 17, 19, 18, 20]]
2: [[7, 6], [1, 3], [2, 10, 5, 4, 8], [11, 9, 12, 13], [14, 15, 16, 17, 19, 18, 20]]
3: [[7, 6], [1, 3], [2, 10, 5, 4, 8], [11, 9, 12, 13], [14, 15, 16, 17, 19, 18, 20]]
4: [[7, 6], [1, 3], [2, 10, 5, 4, 8], [11, 9, 12, 13], [14, 15, 16, 17, 19, 18, 20]]
5: [[7, 6], [1, 3], [2, 10, 5, 4, 8], [11, 9, 12, 13], [14, 15, 16, 17, 19, 18, 20]]
6: [[7, 1, 2, 10, 6], [5, 4], [8, 11, 3], [9, 12, 13], [14, 15, 16, 17, 19, 18, 20]]
7: [[7, 1, 2, 10, 6], [5, 4], [8, 11, 3], [9, 12, 13], [14, 15, 16, 17, 19, 18, 20]]
8: [[7, 6], [1, 3], [2, 10, 5, 4, 8], [11, 9, 12, 13, 14], [15, 16, 17, 19, 18, 20]]
9: [[7, 6], [1, 3], [2, 10, 5, 4, 8], [11, 9, 12, 13, 14], [15, 16, 17, 19, 18, 20]]
10: [[7, 6], [1, 3], [2, 10, 5, 4, 8], [11, 9, 12, 13, 14], [15, 16, 17, 19, 18, 20]]
11: [[6, 7], [1, 3], [2, 10, 5, 4], [8, 11, 9, 12, 13], [14, 15, 16, 17, 19, 18, 20]]
12: [[6, 7], [1, 3], [2, 10, 5, 4], [8, 11, 9, 12, 13], [14, 15, 16, 17, 19, 18, 20]]
13: [[6, 7], [1, 3], [2, 10, 5, 4], [8, 11, 9, 12, 13], [14, 15, 16, 17, 19, 18, 20]]
14: [[6, 7], [1, 3], [2, 10, 5, 4], [8, 11, 9, 12, 13], [14, 15, 16, 17, 19, 18, 20]]
15: [[6, 7], [1, 3], [2, 10, 5, 4], [8, 11, 9, 12, 13], [14, 15, 16, 17, 19, 18, 20]]
16: [[6, 7], [1, 3], [2, 10, 5, 4, 8, 11], [9, 12, 13], [14, 15, 16, 17, 19, 18, 20]]
17: [[6, 7], [1, 3], [2, 10, 5, 4, 8, 11], [9, 12, 13], [14, 15, 16, 17, 19, 18, 20]]
18: [[6, 7], [1, 3], [2, 10, 5, 4, 8, 11], [9, 12, 13], [14, 15, 16, 17, 19, 18, 20]]
19: [[6, 7], [1, 3], [2, 10, 5, 4], [8, 11, 9, 12, 13, 14], [15, 16, 17, 19, 18, 20]]
20: [[6, 7], [1, 3], [2, 10, 5, 4, 8], [11, 9, 12], [13, 14, 15, 16, 17, 19, 18, 20]]
21: [[7, 1, 3, 6], [10, 5], [4, 8, 2], [11, 9, 12, 13], [14, 15, 16, 17, 19, 18, 20]]
22: [[7, 1, 3, 6], [2, 10, 5, 8, 4], [11, 9], [12, 13], [14, 15, 16, 17, 19, 18, 20]]
23: [[7, 1, 3, 6], [2, 10, 5, 8, 4], [11, 9], [12, 13], [14, 15, 16, 17, 19, 18, 20]]
24: [[7, 1, 3, 6], [2, 10, 5, 8, 4], [11, 9], [12, 13], [14, 15, 16, 17, 19, 18, 20]]
25: [[7, 1, 3, 6], [2, 10, 5, 8, 4], [11, 9], [12, 13], [14, 15, 16, 17, 19, 18, 20]]
26: [[7, 1, 3, 6], [2, 10, 5, 8, 4], [11, 9], [12, 13], [14, 15, 16, 17, 19, 18, 20]]
27: [[1, 3, 6], [2, 10, 7], [5, 4], [8, 11, 9, 12, 13], [14, 15, 16, 17, 19, 18, 20]]
28: [[1, 3, 6], [2, 10, 7], [5, 4], [8, 11, 9, 12, 13], [14, 15, 16, 17, 19, 18, 20]]
29: [[6, 7], [1, 3], [2, 10, 5, 4, 8, 11], [9, 12, 13, 14], [15, 16, 17, 19, 18, 20]]
30: [[6, 7], [1, 3], [2, 10, 5, 4, 8, 11], [9, 12, 13, 14], [15, 16, 17, 19, 18, 20]]
31: [[7, 1, 3, 6], [10, 5], [4, 8, 2], [11, 9, 12, 13, 14], [15, 16, 17, 19, 18, 20]]
32: [[7, 1, 3, 6], [10, 5], [4, 8, 2], [11, 9, 12, 13, 14], [15, 16, 17, 19, 18, 20]]
33: [[7, 1, 3, 2, 6], [10, 5, 8, 4], [11, 9], [12, 13], [14, 15, 16, 17, 19, 18, 20]]
34: [[7, 1, 3, 2, 6], [10, 5, 8, 4], [11, 9], [12, 13], [14, 15, 16, 17, 19, 18, 20]]
35: [[7, 1, 3, 6], [10, 5], [4, 8, 2], [11, 9, 12, 13, 14, 15], [16, 17, 19, 18, 20]]
36: [[7, 1, 2, 6], [10, 5, 4], [8, 11, 3], [9, 12], [13, 14, 15, 16, 17, 19, 18, 20]]
37: [[7, 1, 3, 2, 10, 6], [5, 8, 11, 9, 4], [12, 13], [14, 15], [16, 17, 19, 18, 20]]
38: [[7, 1, 3, 6], [10, 5], [4, 8, 2], [11, 9, 12], [13, 14, 15, 16, 17, 19, 18, 20]]
39: [[7, 1, 6], [2, 10, 5, 4], [8, 11, 3], [9, 12], [13, 14, 15, 16, 17, 19, 18, 20]]
40: [[7, 6], [1, 3], [10, 5, 2], [4, 8, 11, 9, 12], [13, 14, 15, 16, 17, 19, 18, 20]]
41: [[7, 1, 3, 2, 6], [10, 5, 8, 11, 4], [9, 12], [13, 14], [15, 16, 17, 19, 18, 20]]
