0: [[3, 5, 1], [4, 10], [6, 9], [12, 2, 13], [11, 7, 8]]
1: [[3, 5, 1], [4, 10], [6, 9], [12, 2, 13], [11, 7, 8]]
2: [[3, 5, 1], [4, 10], [6, 9], [12, 2, 13], [11, 7, 8]]
3: [[3, 5, 1], [4, 10], [6, 9], [12, 2, 13], [11, 7, 8]]
4: [[3, 5, 1], [4, 10], [6, 9], [12, 2, 13], [11, 7, 8]]
5: [[3, 5, 1], [4, 10], [6, 9], [12, 2, 13], [11, 7, 8]]
6: [[3, 5, 1], [4, 10], [6, 9], [12, 2, 13], [11, 7, 8]]
7: [[3, 5, 1], [4, 10], [6, 9], [12, 2, 13], [11, 7, 8]]
8: [[3, 5, 1], [4, 10], [6, 9], [12, 2, 13], [11, 7, 8]]
9: [[3, 5, 1], [4, 10], [6, 9], [12, 2, 13], [11, 7, 8]]
10: [[3, 5, 1], [4, 10], [6, 9], [12, 2, 13], [11, 7, 8]]
11: [[3, 5, 1], [4, 10], [6, 9], [12, 2, 13], [11, 7, 8]]
12: [[3, 5, 1], [4, 10], [6, 9], [12, 2, 13], [11, 7, 8]]
13: [[3, 5, 1], [4, 10], [6, 9], [12, 2, 13], [11, 7, 8]]
14: [[3, 5, 1], [4, 10], [6, 9], [12, 2, 13], [11, 7, 8]]
15: [[3, 5, 1], [4, 10], [6, 9], [12, 2, 13], [11, 7, 8]]
16: [[3, 5, 1], [4, 10], [6, 9], [12, 2, 13], [11, 7, 8]]
17: [[3, 5, 1], [4, 10], [6, 9], [12, 2, 13], [11, 7, 8]]
18: [[3, 5, 1], [4, 10], [6, 9], [12, 2, 13], [11, 7, 8]]
19: [[3, 5, 1], [4, 10], [6, 9], [12, 2, 13], [11, 7, 8]]
20: [[3, 5, 1], [4, 10], [6, 9], [12, 2, 13], [11, 7, 8]]
21: [[3, 5, 1], [4, 10], [6, 9], [12, 2, 13], [11, 7, 8]]
22: [[3, 5, 1], [4, 10], [6, 9], [12, 2, 13], [11, 7, 8]]
23: [[3, 5, 1], [4, 10], [6, 9], [12, 2, 13], [11, 7, 8]]
24: [[3, 5, 1], [4, 10], [6, 9], [12, 2, 13], [11, 7, 8]]
25: [[3, 5, 1], [4, 10], [6, 9], [12, 2, 13], [11, 7, 8]]
