0: [[19, 9, 2, 4, 3, 13, 10, 6, 14, 1], [7, 11], [8, 5, 15, 16, 18, 20, 22, 12, 17], [23, 21, 24]]
1: [[19, 9, 2, 4, 1, 3, 13, 10, 6, 14], [7, 11], [8, 5, 15, 16, 18, 20, 22, 12, 17], [23, 21, 24]]
2: [[19, 9, 2, 4, 1, 3, 13, 10, 6, 14], [7, 11], [8, 5, 15, 16, 18, 20, 22, 12, 17], [23, 21, 24]]
3: [[19, 9, 2, 4, 1, 3, 13, 10, 6, 14], [7, 11], [8, 5, 15, 16, 18, 20, 22, 12, 17], [23, 21, 24]]
4: [[19, 9, 2, 4, 1, 3, 13, 10, 6, 14], [7, 11], [8, 5, 15, 16, 18, 20, 22, 12, 17], [23, 21, 24]]
5: [[19, 9, 2, 4, 1, 3, 13, 10, 6, 14], [7, 11], [8, 5, 15, 16, 18, 20, 22, 12, 17], [23, 21, 24]]
6: [[19, 9, 2, 4, 1, 3, 13, 10, 6, 14], [7, 11], [8, 5, 15, 16, 18, 20, 22, 12, 17], [23, 21, 24]]
7: [[19, 9, 2, 4, 1, 3, 13, 10, 6, 14], [7, 11], [8, 5, 15, 16, 18, 20, 22, 12, 17], [23, 21, 24]]
8: [[19, 9, 2, 4, 1, 3, 13, 10, 6, 14], [7, 11], [8, 5, 15, 16, 18, 20, 22, 12, 17], [23, 21, 24]]
9: [[19, 9, 2, 4, 1, 3, 13, 10, 6, 14], [7, 11], [8, 5, 15, 16, 18, 20, 22, 12, 17], [23, 21, 24]]
10: [[19, 9, 2, 4, 1, 3, 13, 10, 6, 14], [7, 11], [8, 5, 15, 16, 18, 20, 22, 12, 17], [23, 21, 24]]
11: [[19, 9, 2, 4, 1, 3, 13, 10, 6, 14], [7, 11], [8, 5, 15, 16, 18, 20, 22, 12, 17], [23, 21, 24]]
12: [[19, 9, 2, 4, 1, 3, 13, 10, 6, 14], [7, 11], [8, 5, 15, 16, 18, 20, 22, 12, 17], [23, 21, 24]]
13: [[19, 9, 2, 4, 1, 3, 13, 10, 6], [14, 7], [11, 8, 5, 15, 16, 18, 20, 22, 12, 17], [23, 21, 24]]
