0: [[3], [5, 6], [17, 1, 9, 7], [24, 28, 2], [8, 4, 15, 13, 12], [11, 10, 14, 18, 16, 22, 19], [20, 25, 23], [21, 26, 27, 29]]
1: [[3], [5, 6], [17, 1, 9, 7], [24, 28, 2], [8, 4, 15, 13, 12], [11, 10, 14, 18, 16, 22, 19], [20, 25, 23], [21, 26, 27, 29]]
2: [[3], [5, 6], [17, 1, 9, 7], [24, 28, 2], [8, 4, 15, 13, 12], [11, 10, 14, 18, 16, 22, 19], [20, 25, 23], [21, 26, 27, 29]]
3: [[3], [5, 6], [17, 1, 9, 7], [24, 28, 2], [8, 4, 15, 13, 12], [11, 10, 14, 18, 16, 22, 19], [20, 25, 23], [21, 26, 27, 29]]
4: [[3], [5, 6], [17, 1, 9, 7], [24, 28, 2], [8, 4, 15, 13, 12], [11, 10, 14, 18, 16, 22, 19], [20, 25, 23], [21, 26, 27, 29]]
5: [[3], [5, 6], [17, 1, 9, 7], [24, 28, 2], [8, 4, 15, 13, 12], [11, 10, 14, 18, 16, 22, 19], [20, 25, 23], [21, 26, 27, 29]]
6: [[3], [5, 6], [17, 1, 9, 7], [24, 28, 2], [8, 4, 15, 13, 12], [11, 10, 14, 18, 16, 22, 19], [20, 25, 23], [21, 26, 27, 29]]
7: [[3], [5, 6], [17, 1, 9, 7], [24, 28, 2], [8, 4, 15, 13, 12], [11, 16, 14, 18, 19, 22, 10], [20, 25, 23], [21, 26, 27, 29]]
8: [[3], [5, 6], [17, 1, 9, 7], [24, 28, 2], [8, 4, 15, 13, 12], [11, 10, 14, 18, 16, 22, 19], [20, 25, 23], [21, 26, 27, 29]]
9: [[3], [5, 6], [17, 1, 9, 7], [24, 28, 2], [8, 4, 15, 13, 12], [11, 10, 14, 18, 16, 22, 19], [20, 25, 23], [21, 26, 27, 29]]
10: [[3], [5, 6], [17, 1, 9, 7], [24, 28, 2], [8, 4, 15, 13, 12], [11, 10, 14, 18, 16, 22, 19], [20, 25, 23], [21, 26, 27, 29]]
11: [[3], [5, 6], [17, 1, 9, 7], [24, 28, 2], [8, 4, 15, 13, 12], [11, 10, 14, 18, 16, 22, 19], [20, 25, 23], [21, 26, 27, 29]]
12: [[3], [5, 6], [17, 1, 9, 7], [24, 28, 2], [8, 4, 15, 13, 12], [11, 10, 14, 18, 16, 22, 19], [20, 25, 23], [21, 26, 27, 29]]
13: [[3], [5, 6], [17, 1, 9, 7], [24, 28, 2], [8, 4, 15, 13, 12], [11, 10, 14, 18, 16, 22, 19], [20, 25, 23], [21, 26, 27, 29]]
14: [[3], [5, 6], [17, 1, 9, 7], [24, 28, 2], [8, 4, 15, 13, 12], [11, 10, 14, 18, 16, 22, 19], [20, 25, 23], [21, 26, 27, 29]]
15: [[3], [5, 6], [17, 1, 9, 7], [24, 28, 2], [8, 4, 15, 13, 12], [11, 10, 14, 18, 16, 22, 19], [20, 25, 23], [21, 26, 27, 29]]
