0: [[9, 7, 1, 19, 2, 5, 22, 6], [3, 4, 11, 8, 12], [15, 13, 17, 18, 24, 23, 16, 10, 14], [21, 20, 29, 26, 27, 25, 28]]
1: [[9, 7, 1, 19, 2, 5, 22, 6], [3, 4, 11, 8, 12], [13, 15, 17, 18, 24, 23, 16, 10, 14], [21, 20, 29, 26, 27, 25, 28]]
2: [[9, 7, 1, 19, 2, 5, 22, 6], [3, 4, 11, 8, 12], [13, 15, 17, 18, 24, 23, 16, 10, 14], [21, 20, 29, 26, 27, 25, 28]]
3: [[9, 7, 1, 19, 2, 5, 22, 6], [3, 4, 11, 8, 12], [15, 13, 17, 18, 16, 23, 24, 10, 14], [21, 20, 29, 26, 27, 25, 28]]
4: [[9, 7, 1, 19, 2, 5, 22, 6], [3, 4, 11, 8, 12], [13, 15, 17, 18, 24, 23, 16, 10, 14], [21, 20, 29, 26, 27, 25, 28]]
5: [[9, 7, 1, 19, 2, 5, 22, 6], [3, 4, 11, 8, 12], [15, 13, 17, 18, 16, 23, 24, 10, 14], [21, 20, 29, 26, 27, 25, 28]]
6: [[9, 7, 1, 19, 2, 5, 22, 6], [3, 4, 11, 8, 12], [15, 13, 17, 18, 16, 23, 24, 10, 14], [21, 20, 29, 26, 27, 25, 28]]
7: [[9, 7, 1, 19, 2, 5, 22, 6], [3, 4, 11, 8, 12], [15, 13, 17, 18, 16, 23, 24, 10, 14], [21, 20, 29, 26, 27, 25, 28]]
8: [[9, 7, 1, 19, 2, 5, 22, 6], [3, 4, 11, 8, 12], [15, 13, 17, 18, 24, 23, 16, 10, 14], [21, 20, 29, 26, 27, 25, 28]]
9: [[9, 7, 1, 19, 2, 5, 22, 6], [3, 4, 11, 8, 12], [15, 13, 17, 18, 24, 23, 16, 10, 14], [21, 20, 29, 26, 27, 25, 28]]
10: [[9, 7, 1, 19, 2, 5, 22, 6], [3, 4, 11, 8, 12], [15, 13, 17, 18, 24, 23, 16, 10, 14], [21, 20, 29, 26, 27, 25, 28]]
11: [[9, 7, 1, 19, 2, 5, 22, 6], [3, 4, 11, 8, 12], [15, 13, 17, 18, 24, 23, 16, 10, 14], [21, 20, 29, 26, 27, 25, 28]]
12: [[9, 7, 1, 19, 2, 5, 22, 6], [3, 4, 11, 8, 12], [15, 13, 17, 18, 24, 23, 16, 10, 14], [21, 20, 29, 26, 27, 25, 28]]
13: [[9, 7, 1, 19, 2, 5, 22, 6], [3, 4, 11, 8, 12], [15, 13, 17, 18, 24, 23, 16, 10, 14], [21, 20, 29, 26, 27, 25, 28]]
14: [[9, 7, 1, 19, 2, 5, 22, 6], [3, 4, 11, 8, 12], [15, 13, 17, 18, 24, 23, 16, 10, 14], [21, 20, 29, 26, 27, 25, 28]]
15: [[9, 7, 1, 19, 2, 5, 22, 6], [3, 4, 11, 8, 12], [15, 13, 17, 18, 24, 23, 16, 10, 14], [21, 20, 29, 26, 27, 25, 28]]
16: [[9, 7, 1, 19, 2, 5, 22, 6], [3, 4, 11, 8, 12], [15, 13, 17, 18, 24, 23, 16, 10, 14], [21, 20, 29, 26, 27, 25, 28]]
17: [[9, 7, 1, 19, 2, 5, 22, 6], [3, 4, 11, 8, 12], [15, 13, 17, 18, 24, 23, 16, 10, 14], [21, 20, 29, 26, 27, 25, 28]]
18: [[9, 7, 1, 19, 2, 5, 22, 6], [3, 4, 11, 8, 12], [15, 13, 17, 18, 24, 23, 16, 10, 14], [21, 20, 29, 26, 27, 25, 28]]
19: [[9, 7, 1, 19, 2, 5, 22, 6], [3, 4, 11, 8, 12], [15, 13, 17, 18, 24, 23, 16, 10, 14], [21, 20, 29, 26, 27, 25, 28]]
20: [[9, 7, 1, 19, 2, 5, 22, 6], [3, 4, 11, 8, 12], [15, 13, 17, 18, 24, 23, 16, 10, 14], [21, 20, 29, 26, 27, 25, 28]]
21: [[9, 7, 1, 19, 2, 5, 22, 6], [3, 4, 11, 8, 12], [15, 13, 17, 18, 24, 23, 16, 10, 14], [21, 20, 29, 26, 27, 25, 28]]
22: [[9, 7, 1, 19, 2, 5, 22, 6], [3, 4, 11, 8, 12], [15, 13, 17, 18, 24, 23, 16, 10, 14], [21, 20, 29, 26, 27, 25, 28]]
23: [[9, 7, 1, 19, 2, 5, 22, 6], [3, 4, 11, 8, 12], [15, 13, 17, 18, 24, 23, 16, 10, 14], [21, 20, 29, 26, 27, 25, 28]]
24: [[9, 7, 1, 19, 2, 5, 22, 6], [3, 4, 11, 8, 12], [15, 13, 17, 18, 24, 23, 16, 10, 14], [21, 20, 29, 26, 27, 25, 28]]
25: [[9, 7, 1, 19, 2, 5, 22, 6], [3, 4, 11, 8, 12], [15, 13, 17, 18, 24, 23, 16, 10, 14], [21, 20, 29, 26, 27, 25, 28]]
26: [[9, 7, 1, 19, 2, 5, 22, 6], [3, 4, 11, 8, 12], [15, 13, 17, 18, 24, 23, 16, 10, 14], [21, 20, 29, 26, 27, 25, 28]]
27: [[9, 7, 1, 19, 2, 5, 22, 6], [3, 4, 11, 8, 12], [15, 13, 17, 18, 24, 23, 16, 10, 14], [21, 20, 29, 26, 27, 25, 28]]
28: [[9, 7, 1, 19, 2], [5, 22, 6, 3, 4, 11, 8, 12], [13, 15, 17, 18, 24, 23, 16, 10, 14], [21, 20, 29, 26, 27, 25, 28]]
29: [[9, 7, 1, 19, 2], [5, 22, 6, 3, 4, 11, 8, 12], [15, 13, 17, 18, 24, 23, 16, 10, 14], [21, 20, 29, 26, 27, 25, 28]]
30: [[9, 7, 1, 19, 2], [5, 22, 6, 3, 4, 11, 8, 12], [15, 13, 17, 18, 24, 23, 16, 10, 14], [21, 20, 29, 26, 27, 25, 28]]
31: [[9, 7, 1, 19, 2], [5, 22, 6, 3, 4, 11, 8, 12], [15, 13, 17, 18, 24, 23, 16, 10, 14], [21, 20, 29, 26, 27, 25, 28]]
32: [[9, 7, 1, 19, 2], [5, 22, 6, 3, 4, 11, 8, 12], [15, 13, 17, 18, 24, 23, 16, 10, 14], [21, 20, 29, 26, 27, 25, 28]]
33: [[9, 7, 1, 19, 2], [5, 22, 6, 3, 4, 11, 8, 12], [15, 13, 17, 18, 16, 23, 24, 10, 14], [21, 20, 29, 26, 27, 25, 28]]
34: [[9, 7, 1, 19, 2], [5, 22, 6, 3, 4, 11, 8, 12], [15, 13, 17, 18, 16, 23, 24, 10, 14], [21, 20, 29, 26, 27, 25, 28]]
35: [[9, 7, 1, 19, 2], [5, 22, 6, 3, 4, 11, 8, 12], [15, 13, 17, 18, 24, 23, 16, 10, 14], [21, 20, 29, 26, 27, 25, 28]]
