0: [[3], [4, 9, 17], [1, 22, 2, 35, 7], [5, 11, 12], [8, 14], [18, 6], [15, 13, 19], [10, 20, 23, 16, 21], [26, 25, 28], [24, 29], [27], [30, 31, 32, 34], [37, 33, 36]]
1: [[3], [4, 9, 17], [1, 22, 2, 35, 7], [5, 11, 12], [8, 14, 18], [6, 15, 13], [19, 10, 20], [23, 16, 21], [26, 25, 28], [24, 29], [27], [30, 31, 32], [34, 37, 33, 36]]
2: [[3], [4], [9, 17, 1], [22, 2, 35, 7], [5, 11, 12], [8, 14], [18, 6], [15, 13, 19], [10, 20, 23, 16, 21], [26, 25, 28], [24, 29], [27], [30, 31, 32, 34], [37, 33, 36]]
3: [[3], [4, 9, 17], [1, 22, 2, 35, 7], [5, 11, 12], [8, 14], [18, 6], [15, 13, 19], [10, 20, 23, 16, 21], [26, 25, 28], [24, 29, 27, 30, 31, 32, 34, 37, 33, 36]]
4: [[3], [4, 9, 17], [1, 22], [2, 35, 7], [5, 11, 12], [8, 14, 18], [6, 15, 13], [19, 10, 20], [23, 16, 21], [26, 25, 28], [24, 29, 27], [30, 31, 32], [34, 37], [33, 36]]
5: [[3], [4], [9, 17], [1, 22, 2], [35, 7], [5, 11, 12, 8], [14, 18, 6], [15, 13, 19], [10, 20], [23, 16], [21], [26, 25, 28], [24, 29], [27], [30, 31, 32, 34], [37, 33, 36]]
6: [[3, 4, 9], [17, 1, 22, 2, 35], [7, 5, 11], [12, 8, 14], [18, 6], [15, 13, 19], [10, 20, 23, 16, 21], [26, 25, 28], [24, 29, 27], [30, 31, 32], [34, 37, 33], [36]]
7: [[3], [4, 9, 17], [1, 22, 2], [35, 7], [5, 11], [12, 8, 14], [18, 6, 15, 13], [19, 10, 20], [23, 16, 21], [26, 25, 28], [24, 29, 27], [30, 31], [32, 34, 37, 33, 36]]
8: [[3], [4, 9, 17], [1, 22], [2, 35, 7], [5, 11], [12, 8, 14], [18, 6], [15, 13], [19, 10], [20, 23, 16], [21, 26], [25, 28], [24, 29, 27], [30, 31, 32, 34, 37, 33, 36]]
9: [[3, 4, 9], [17, 1, 22], [2, 35, 7], [5, 11, 12], [8, 14, 18], [6, 15, 13], [19, 10, 20], [23, 16, 21], [26, 25, 28], [24, 29], [27, 30, 31, 32, 34, 37, 33, 36]]
10: [[3], [4, 9, 17], [1, 22, 2], [35, 7], [5, 11, 12], [8, 14], [18, 6, 15, 13], [19, 10], [20, 23, 16], [21, 26, 25], [28, 24, 29, 27], [30, 31, 32, 34, 37, 33, 36]]
11: [[3], [4, 9, 17], [1, 22, 2, 35, 7], [5, 11, 12], [8, 14], [18, 6], [15, 13, 19], [10, 20, 23], [16, 21, 26], [25, 28, 24, 29], [27, 30, 31], [32, 34, 37], [33, 36]]
12: [[3], [4, 9, 17], [1, 22, 2], [35, 7, 5], [11, 12], [8, 14, 18], [6, 15, 13], [19, 10, 20], [23, 16], [21, 26, 25, 28], [24, 29, 27], [30, 31], [32], [34, 37], [33, 36]]
13: [[3], [4, 9, 17], [1, 22, 2], [35, 7, 5], [11, 12], [8], [14, 18], [6, 15, 13], [19, 10, 20], [23, 16, 21], [26, 25, 28], [24, 29, 27], [30, 31, 32], [34, 37], [33, 36]]
14: [[3], [4, 9, 17], [1, 22], [2, 35, 7], [5, 11, 12], [8, 14, 18], [6, 15, 13], [19], [10, 20, 23], [16, 21, 26], [25, 28, 24], [29, 27], [30], [31, 32, 34], [37, 33, 36]]
15: [[3, 4], [9, 17], [1, 22], [2, 35], [7, 5, 11], [12, 8, 14], [18, 6, 15], [13, 19], [10], [20, 23, 16], [21, 26, 25, 28], [24, 29, 27], [30, 31, 32, 34, 37, 33, 36]]
16: [[3], [4, 9, 17], [1, 22, 2], [35, 7], [5, 11, 12], [8, 14, 18], [6, 15, 13, 19], [10, 20, 23], [16, 21, 26], [25, 28, 24], [29, 27, 30, 31], [32, 34, 37, 33, 36]]
17: [[3], [4, 9, 17], [1, 22, 2, 35, 7], [5, 11, 12], [8, 14], [18, 6, 15, 13], [19, 10, 20, 23, 16, 21, 26, 25, 28, 24, 29, 27, 30, 31, 32, 34, 37, 33, 36]]
18: [[3], [4, 9, 17], [1, 22, 2], [35, 7], [5, 11, 12], [8, 14, 18, 6], [15, 13, 19], [10, 20, 23], [16, 21, 26, 25], [28, 24, 29, 27, 30, 31, 32, 34, 37, 33, 36]]
19: [[3], [4, 9, 17], [1, 22, 2], [35, 7], [5, 11, 12], [8, 14, 18], [6, 15, 13], [19, 10, 20], [23, 16], [21, 26], [25, 28, 24], [29, 27, 30, 31], [32, 34], [37, 33, 36]]
20: [[3], [4, 9, 17], [1, 22, 2], [35, 7], [5, 11, 12], [8, 14, 18], [6, 15, 13], [19, 10, 20], [23, 16], [21, 26], [25, 28, 24], [29, 27, 30, 31], [32, 34], [37, 33, 36]]
21: [[3, 4], [9, 17], [1, 22], [2, 35, 7], [5, 11, 12], [8, 14, 18], [6, 15, 13], [19, 10, 20], [23, 16], [21, 26], [25, 28, 24], [29, 27], [30, 31, 32], [34, 37], [33, 36]]
22: [[3, 4, 9], [17, 1, 22], [2, 35, 7], [5, 11, 12], [8, 14], [18, 6, 15], [13, 19, 10], [20, 23, 16], [21, 26, 25], [28, 24, 29, 27], [30, 31, 32], [34, 37], [33, 36]]
23: [[3], [4, 9, 17, 1], [22, 2, 35], [7], [5, 11, 12], [8, 14, 18, 6], [15, 13, 19], [10, 20, 23, 16, 21, 26, 25, 28, 24, 29], [27, 30, 31, 32, 34, 37, 33, 36]]
24: [[3], [4, 9], [17, 1], [22, 2], [35, 7, 5], [11, 12], [8, 14, 18], [6, 15, 13], [19, 10, 20], [23, 16, 21], [26, 25, 28], [24, 29], [27, 30], [31, 32, 34], [37, 33, 36]]
25: [[3], [4, 9, 17], [1, 22, 2, 35, 7], [5, 11, 12], [8, 14], [18, 6, 15, 13], [19, 10, 20, 23, 16, 21, 26, 25], [28, 24, 29, 27, 30, 31, 32, 34, 37, 33, 36]]
26: [[3], [4, 9, 17], [1, 22, 2, 35, 7], [5, 11], [12, 8, 14], [18, 6, 15, 13], [19, 10, 20, 23, 16, 21, 26, 25, 28, 24, 29, 27, 30, 31, 32, 34, 37, 33, 36]]
27: [[3], [4, 9, 17], [1, 22, 2], [35, 7, 5, 11], [12, 8], [14], [18, 6, 15, 13], [19, 10, 20, 23], [16, 21], [26, 25, 28], [24, 29, 27, 30, 31, 32, 34, 37, 33, 36]]
28: [[3], [4], [9, 17, 1], [22, 2, 35], [7, 5, 11], [12, 8], [14, 18, 6], [15, 13], [19, 10, 20], [23, 16, 21], [26, 25, 28], [24, 29, 27], [30, 31, 32], [34, 37, 33], [36]]
29: [[3], [4, 9, 17], [1, 22, 2], [35, 7, 5], [11, 12], [8, 14], [18], [6, 15, 13, 19], [10, 20, 23], [16, 21, 26], [25, 28, 24], [29, 27], [30, 31, 32], [34, 37, 33, 36]]
30: [[3], [4, 9, 17], [1, 22, 2], [35, 7, 5], [11, 12, 8], [14, 18, 6], [15, 13, 19], [10, 20, 23], [16, 21, 26], [25, 28], [24, 29, 27, 30, 31, 32, 34, 37, 33, 36]]
31: [[3], [4, 9, 17], [1, 22], [2, 35, 7], [5, 11, 12], [8, 14, 18], [6, 15, 13], [19], [10], [20, 23, 16, 21, 26, 25, 28, 24, 29, 27, 30, 31, 32, 34], [37, 33, 36]]
32: [[3, 4], [9, 17], [1, 22], [2, 35, 7], [5, 11, 12], [8, 14, 18, 6], [15, 13, 19, 10], [20, 23], [16, 21, 26], [25, 28, 24], [29, 27, 30], [31, 32, 34], [37, 33, 36]]
33: [[3], [4, 9, 17], [1, 22, 2], [35, 7], [5, 11, 12, 8, 14], [18, 6, 15], [13, 19, 10, 20, 23, 16, 21, 26, 25, 28], [24, 29, 27, 30, 31, 32, 34, 37, 33, 36]]
34: [[3, 4], [9, 17], [1, 22], [2, 35, 7], [5, 11, 12], [8, 14, 18], [6, 15, 13], [19, 10, 20], [23, 16, 21], [26], [25, 28], [24], [29, 27, 30, 31], [32, 34], [37, 33, 36]]
35: [[3], [4, 9, 17], [1, 22, 2], [35, 7, 5], [11, 12, 8], [14, 18, 6], [15, 13, 19], [10, 20, 23], [16, 21, 26], [25, 28, 24], [29], [27, 30, 31, 32], [34, 37, 33, 36]]
36: [[3], [4], [9, 17], [1, 22, 2], [35, 7], [5, 11], [12, 8], [14, 18, 6], [15, 13, 19], [10, 20, 23], [16, 21, 26], [25, 28, 24], [29, 27, 30, 31, 32, 34], [37, 33, 36]]
37: [[3], [4, 9], [17, 1, 22], [2, 35], [7, 5, 11], [12, 8, 14], [18, 6, 15], [13, 19, 10], [20, 23], [16, 21], [26, 25, 28], [24, 29, 27], [30, 31], [32, 34], [37, 33, 36]]
38: [[3], [4, 9, 17], [1, 22, 2], [35, 7, 5], [11, 12], [8, 14, 18], [6, 15, 13], [19, 10, 20, 23, 16, 21], [26, 25, 28, 24, 29, 27, 30], [31, 32, 34, 37, 33, 36]]
39: [[3, 4], [9, 17], [1, 22], [2, 35, 7], [5, 11, 12], [8, 14, 18], [6, 15, 13], [19, 10], [20, 23, 16], [21, 26, 25, 28, 24, 29, 27, 30, 31, 32, 34, 37, 33, 36]]
40: [[3], [4, 9, 17], [1, 22], [2, 35], [7, 5, 11], [12, 8, 14], [18], [6], [15, 13, 19], [10, 20, 23, 16, 21, 26, 25, 28, 24, 29, 27, 30, 31, 32, 34, 37, 33, 36]]
