0: [[33, 27, 26, 13, 23, 31, 10, 34, 30], [21, 15, 11, 8, 5, 6, 36], [37, 35, 19, 14, 20, 1, 2, 3], [4, 16, 9, 17], [7, 12, 22, 24, 18, 29], [28, 32, 25]]
1: [[33, 27, 26, 13, 23, 31, 10, 34, 30], [21, 15, 11, 8, 5, 6, 36], [37, 35, 19, 14, 20, 1, 2, 3], [4, 16, 9, 17], [7, 12, 22, 24, 18, 29], [28, 32, 25]]
2: [[33, 27, 26, 13], [23, 31, 10, 34], [30, 21], [15, 11, 8, 5], [6, 36, 37, 35], [19, 14, 20], [1, 2, 3], [4, 16, 9, 17], [7, 12, 22, 24, 18, 29], [28, 32, 25]]
3: [[33, 27, 26], [13, 23, 31], [10, 34, 30, 21], [15, 11, 8, 5], [6, 36, 37, 35], [19, 14, 20], [1, 2, 3], [4, 16, 9, 17], [7, 12, 22, 24, 18, 29], [28, 32, 25]]
4: [[33, 27, 26, 13, 23, 31, 10], [34, 30, 21, 15, 11, 8, 5], [6, 36, 37, 35, 19, 14], [20, 1, 2, 3], [4, 16], [9, 17, 7], [12, 22, 24, 18, 29], [28, 32, 25]]
5: [[33, 27, 26], [13, 23, 31], [10, 34], [30, 21, 15, 11], [8, 5, 6, 36], [37, 35, 19, 14], [20, 1, 2, 3], [4, 16, 9, 17], [7, 12, 22], [24, 18, 29], [28, 32, 25]]
6: [[33, 27, 26, 13], [23, 31, 10, 34], [30, 21], [15, 11, 8, 5], [6, 36, 37, 35], [19, 14, 20], [1, 2, 3], [4, 16, 9], [17, 7, 12], [22, 24, 18, 29], [28, 32, 25]]
7: [[33, 27, 26, 13, 23, 31, 10, 34, 30, 21, 15, 11, 8, 5, 6, 36, 37], [35, 19, 14, 20, 1, 2, 3, 4, 16, 9, 17, 7, 12, 22, 24, 18, 29], [28, 32, 25]]
8: [[33, 27, 26, 13, 23], [31, 10, 34, 30], [21, 15], [11, 8, 5], [6, 36, 37, 35, 19, 14, 20, 1, 2, 3, 4], [16, 9, 17], [7, 12, 22], [24, 18, 29, 28, 32, 25]]
9: [[33, 27], [26, 13], [23, 31], [10, 34, 30], [21, 15, 11, 8], [5, 6, 36, 37], [35, 19, 14], [20, 1, 2, 3], [4, 16, 9, 17], [7, 12], [22, 24, 18], [29, 28, 32, 25]]
10: [[33, 27], [26, 13, 23], [31, 10, 34, 30], [21, 15, 11], [8, 5, 6, 36], [37, 35, 19, 14], [20, 1, 2, 3], [4, 16, 9], [17, 7, 12], [22, 24, 18, 29], [28, 32, 25]]
11: [[33, 27], [26, 13, 23, 31, 10], [34, 30, 21], [15, 11, 8, 5], [6, 36, 37], [35, 19, 14], [20, 1, 2, 3, 4], [16, 9], [17, 7, 12, 22], [24, 18, 29], [28, 32, 25]]
12: [[33, 27, 26, 13], [23, 31, 10], [34, 30], [21, 15, 11, 8, 5], [6, 36, 37, 35], [19, 14, 20], [1, 2, 3], [4, 16], [9, 17, 7, 12], [22, 24, 18, 29], [28, 32, 25]]
