0: [[4, 15, 13, 12], [1, 11, 8], [25, 5, 6], [2, 28, 19], [7, 23, 22], [17, 16], [3, 20], [9, 18, 24, 10], [21, 27, 26], [29, 14]]
1: [[4, 15, 13, 12], [1, 11, 8], [25, 5, 6], [2, 28, 19], [7, 23, 22], [17, 16], [3, 20], [9, 18, 24, 10], [21, 27, 26], [29, 14]]
2: [[4, 15, 13], [12, 1, 11], [8, 25, 5, 6], [2, 28, 19], [7, 23, 22], [17, 16], [3, 20], [9, 18, 24, 10], [21, 27, 26], [29, 14]]
3: [[4, 15], [13, 12], [1, 11, 8, 25], [5, 6], [2, 28, 19], [7, 23], [17, 16], [3, 22, 20], [9], [18, 24, 10], [21, 27, 26], [29, 14]]
4: [[4, 15], [13, 12, 3], [11, 8], [25, 5, 6], [2, 28, 19], [7, 23, 22], [17, 16], [1, 20], [10, 18], [24, 9], [21, 27, 26], [29, 14]]
5: [[4, 15], [13, 3], [11, 8, 12], [25, 5, 6], [2, 28, 19], [7, 23], [17, 16, 1], [22, 20], [9, 18], [24, 10], [21, 27, 26], [29, 14]]
6: [[4], [15, 13], [12, 3], [8, 11], [25, 5, 6], [2, 28, 19], [7, 23], [17, 16], [1, 22, 20], [9, 18], [24, 10], [21, 27, 26], [29, 14]]
7: [[4, 15, 13, 12], [1, 11, 8], [25, 5, 6], [2, 28, 19], [7, 23, 22], [17, 16], [3, 20], [9, 18, 24, 10], [21, 27, 26, 29, 14]]
8: [[4, 15], [13], [12, 3], [8, 11], [25, 5, 6], [2, 28], [19, 7], [23, 22], [17, 1], [16, 20, 9], [18, 24, 10], [21, 27, 26], [29, 14]]
9: [[4, 15, 13, 3], [11, 8, 12], [25, 5, 6], [2, 28, 19], [7, 23, 17], [16], [1, 20, 9, 18, 22], [24], [21, 27, 26], [10, 29], [14]]
10: [[4, 15, 13, 12], [1, 11, 8], [25, 5, 6], [2, 28, 19], [7, 23, 22], [17, 16], [3, 20, 9], [18, 24, 10], [21, 27], [26, 29, 14]]
11: [[4, 15, 13], [12], [3, 11, 8], [25, 5, 6], [2], [28, 19], [7, 23, 22], [17, 16, 1], [20, 9], [18, 24, 10], [21, 27, 26], [29, 14]]
12: [[4, 15, 13, 12], [1, 11, 8], [25, 5, 6], [2, 28, 19], [7, 23, 22], [3, 16, 17], [20, 9, 18], [24, 10], [21, 27], [26, 29, 14]]
13: [[4, 15, 13, 12], [1, 11, 8], [25, 5, 6], [2, 28, 19], [7, 23, 22], [3, 16, 17], [20, 9, 18], [24, 10], [21, 27], [26, 29, 14]]
14: [[4, 15, 13, 12], [1, 11, 8], [25, 5, 6], [2, 28, 19], [7, 23, 22], [3, 16, 17], [20, 9, 18], [24, 10], [21, 27], [26, 29, 14]]
15: [[4, 15, 13, 12], [1, 11, 8], [25, 5, 6], [2, 28, 19], [7, 23, 22], [3, 16, 17], [20, 9, 18], [24, 10], [21, 27], [26, 29, 14]]
16: [[4, 15, 13], [3, 11], [8, 12, 25], [5, 6, 2], [28, 19], [7, 23], [22, 17, 16], [1, 20], [9, 18, 24, 10], [21, 27, 26], [29, 14]]
17: [[4, 15, 13], [12, 1], [11, 8], [25, 5, 6], [2, 28], [19, 7], [23, 17, 16], [3], [22, 20, 9], [18, 24, 10], [21, 27], [26, 29, 14]]
18: [[4, 15, 13], [12, 1, 11], [8, 25, 5], [6, 2], [28, 19, 7], [23, 22], [17], [16, 3, 20], [10], [18, 24, 9], [21, 27, 26], [29, 14]]
19: [[4, 15], [13, 12], [1, 11], [8, 25, 5], [6, 2, 28], [19, 7, 23], [17, 16, 3], [22, 20, 9], [18, 24, 10], [21, 27, 26], [29, 14]]
20: [[4, 15], [13, 12], [1, 11], [8, 25, 5], [6, 2, 28], [19, 7, 23], [22, 17, 16], [3, 20, 9], [18, 24, 10], [21, 27, 26], [29, 14]]
21: [[4, 15, 13, 12], [1, 11, 8], [25, 5, 6], [2, 28, 19], [7, 23, 22], [17, 16, 3], [20, 9, 18], [24, 10], [21, 27, 26, 29, 14]]
22: [[4, 15], [13, 12], [3, 8, 11], [25, 5, 6], [2, 28], [19, 7], [23, 22], [17, 1], [16, 20], [9, 18], [24, 10, 21], [27, 26], [29, 14]]
