0: [[6, 9], [5, 13, 1, 3, 4, 10, 2], [8, 7, 11, 12]]
1: [[6, 9], [5, 13, 1, 2, 3, 4, 10], [8, 7, 11, 12]]
2: [[6, 9], [5, 13, 1, 2, 3, 4, 10], [8, 7, 11, 12]]
3: [[6, 9], [5, 13, 1, 2, 3, 4, 10], [8, 7, 11, 12]]
4: [[6, 9], [5, 13, 1, 2, 3, 4, 10], [8, 7, 11, 12]]
5: [[6, 9], [5, 13, 1, 2, 3, 4, 10], [8, 7, 11, 12]]
6: [[6, 9], [5, 13, 1, 2, 3, 4, 10], [8, 7, 11, 12]]
7: [[6, 9], [5, 13, 1, 2, 3, 4, 10], [8, 7, 11, 12]]
8: [[6, 9], [5, 13, 1, 2, 3, 4, 10], [8, 7, 11, 12]]
9: [[6, 9], [5, 13, 1, 2, 3, 4, 10], [8, 7, 11, 12]]
10: [[6, 9], [5, 13, 1, 2, 3, 4, 10], [8, 7, 11, 12]]
11: [[6, 9], [5, 13, 1, 2, 3, 4, 10], [8, 7, 11, 12]]
12: [[6, 9], [5, 13, 1, 2, 3, 4, 10], [8, 7, 11, 12]]
13: [[6, 9], [5, 13, 1, 2, 3, 4, 10], [8, 7, 11, 12]]
14: [[6, 9], [5, 13, 1, 2, 3, 4, 10], [8, 7, 11, 12]]
15: [[6, 9], [5, 13, 1, 2, 3, 4, 10], [8, 7, 11, 12]]
16: [[6, 9], [5, 13, 1, 2, 3, 4, 10], [8, 7, 11, 12]]
17: [[6, 9], [5, 13, 1, 2, 3, 4, 10], [8, 7, 11, 12]]
18: [[6, 9], [5, 13, 1, 2, 3, 4, 10], [8, 7, 11, 12]]
19: [[6, 9], [5, 13, 1, 2, 3, 4, 10, 8], [7, 11, 12]]
20: [[6, 9], [5, 13, 1, 2, 3, 4, 10, 8], [7, 11, 12]]
21: [[6, 9], [5, 13, 1, 2, 3, 4, 10, 8], [7, 11, 12]]
22: [[6, 9], [5, 13, 1, 2, 3, 4, 10, 8], [7, 11, 12]]
23: [[6, 9], [5, 13, 1, 2, 3, 4, 10, 8], [7, 11, 12]]
24: [[6, 9], [5, 13, 1, 2, 3, 4], [10, 8, 7, 11, 12]]
25: [[6, 9], [5, 13, 1, 2, 3, 4], [10, 8, 7, 11, 12]]
26: [[6, 9], [5, 13, 1, 2, 3, 4], [10, 8, 7, 11, 12]]
27: [[6, 9], [5, 13, 1, 2, 3, 4], [10, 8, 7, 11, 12]]
