0: [[6, 16, 3, 18], [2, 13, 5, 8, 19, 1], [10, 14], [7, 9, 11], [15, 12, 4, 17, 20, 22], [21, 23, 24]]
1: [[6, 16, 3], [18, 2, 13], [5, 8, 19], [1, 10, 14], [7, 9, 11], [15, 12, 4], [17, 20, 22], [21, 23, 24]]
2: [[6, 16, 3], [18, 2, 13], [5, 8, 19], [1, 10, 14], [7, 9, 11], [15, 12, 4], [17, 20, 22], [21, 23, 24]]
3: [[6, 16, 3], [18, 2, 13], [5, 8, 19], [1, 10, 14], [7, 9, 11], [15, 12, 4], [17, 20, 22], [21, 23, 24]]
4: [[6, 16, 3], [18, 2, 13], [5, 8, 19], [1, 10, 14], [7, 9, 11], [15, 12, 4], [17, 20, 22], [21, 23, 24]]
5: [[6, 16, 3], [18, 2, 13], [5, 8, 19], [1, 10, 14], [7, 9, 11], [15, 12, 4], [17, 20, 22], [21, 23, 24]]
6: [[6, 16, 3], [18, 2, 13], [5, 8, 19], [1, 10, 14], [7, 9, 11], [15, 12, 4], [17, 20, 22], [21, 23, 24]]
7: [[6, 16, 3], [18, 2, 13], [5, 8, 19], [1, 10, 14], [7, 9, 11], [15, 12, 4], [17, 20, 22], [21, 23, 24]]
8: [[6, 16, 3], [18, 2, 13], [5, 8, 19], [1, 10, 14], [7, 9, 11], [15, 12, 4], [17, 20, 22], [21, 23, 24]]
9: [[6, 16, 3, 18], [2, 13, 5, 8, 19, 1], [10, 14], [7, 9, 11, 15, 12, 4, 17, 20], [22, 21, 23, 24]]
10: [[6, 16, 3], [18, 2, 13], [5, 8, 19], [1, 10, 14], [7, 9, 11], [15, 12, 4], [17, 20, 22], [21, 23, 24]]
11: [[6, 16, 3], [18, 2, 13], [5, 8, 19], [1, 10, 14], [7, 9, 11], [15, 12, 4], [17, 20, 22], [21, 23, 24]]
12: [[6, 16, 3], [18, 2, 13], [5, 8, 19], [1, 10, 14], [7, 9, 11], [15, 12, 4], [17, 20, 22], [21, 23, 24]]
13: [[6, 16, 3], [18, 2, 13], [5, 8, 19], [1, 10, 14], [7, 9, 11], [15, 12, 4], [17, 20, 22], [21, 23, 24]]
14: [[6, 16, 3, 18], [2, 13, 5, 8, 19, 1], [10, 14], [7, 9, 11, 15, 12, 4, 17, 20], [22, 21, 23, 24]]
15: [[6, 16, 3], [18, 2, 13], [5, 8, 19], [1, 10, 14], [7, 9, 11], [15, 12, 4], [17, 20, 22], [21, 23, 24]]
16: [[6, 16, 3], [18, 2, 13], [5, 8, 19], [1, 10, 14], [7, 9, 11], [15, 12, 4], [17, 20, 22], [21, 23, 24]]
