0: [[20, 19, 8], [6, 3], [17, 9, 1], [10, 14, 2], [12, 5, 13], [16, 18, 11, 7], [4, 22, 15], [21, 23, 24]]
1: [[20, 19, 8], [2, 6, 3, 17, 9, 1], [10, 14], [12, 13, 5], [16, 18, 11, 7], [4, 22, 15], [21, 23, 24]]
2: [[20, 19, 2, 6, 3, 17, 8], [9, 1], [10, 14], [12, 13, 5], [16, 18, 11, 7], [4, 22, 15], [21, 23, 24]]
3: [[20, 19, 2, 8], [6, 3], [17, 9, 5], [1, 10, 14], [12, 13], [16, 18, 11, 7], [4, 22, 15], [21, 23, 24]]
4: [[20, 19, 2, 8], [6, 3], [17, 9, 5], [1, 10, 14], [12, 13], [16, 18, 11, 7], [4, 22, 15], [21, 23, 24]]
5: [[20, 19, 2, 8], [6, 3], [17, 9, 5], [1, 10, 14], [12, 13], [16, 18, 11, 7], [4, 22, 15], [21, 23, 24]]
6: [[20, 19, 2, 8], [6, 3], [17, 9, 1], [10, 14, 7], [12, 13, 5], [16, 18, 11, 4, 22, 15], [21, 23, 24]]
7: [[20], [19, 2, 8], [6, 3], [17, 9, 1, 10, 14], [12, 13, 16, 18, 11, 7], [4, 22, 15, 5], [21, 23, 24]]
8: [[20, 19, 8], [2, 6, 3, 17, 9, 1], [10, 14, 12], [13, 16], [18, 11, 7], [4, 22, 15, 5], [21, 23, 24]]
9: [[20, 19, 8], [2, 6, 3], [17, 9, 5], [1, 10, 14, 12, 13, 16], [18, 11, 7], [4, 22, 15], [21, 23, 24]]
10: [[20, 19, 2, 8], [6, 3, 17, 5], [9, 1], [10, 14, 7], [12, 13], [16, 18, 11, 4, 22, 15], [21, 23, 24]]
11: [[20], [19, 2, 6, 8], [3, 17, 9, 1, 10, 14], [12, 13, 5], [16, 18, 11, 7], [4, 22, 15], [21, 23, 24]]
12: [[20, 19, 2, 6, 3], [17, 9, 5, 8], [1, 10, 14], [12, 13], [16, 18, 11, 7], [4, 22, 15], [21, 23, 24]]
13: [[20, 19, 8], [2, 6, 3], [17, 9, 5], [1, 10], [14, 12, 13, 16, 18, 11, 7], [4, 22, 15], [21, 23, 24]]
14: [[20], [19, 2, 8], [6, 3, 17, 9, 1, 10], [14, 12, 5], [13, 16, 18, 11, 7], [4, 22, 15], [21, 23, 24]]
15: [[20], [19, 2, 8], [6, 3, 17, 9, 1, 10], [14, 12, 5], [13, 16, 18, 11, 7], [4, 22, 15], [21, 23, 24]]
16: [[20, 19, 2, 8], [6, 3], [17, 9, 5], [1, 10], [14, 12], [13, 16, 18, 11, 7], [4, 22, 15], [21, 23, 24]]
17: [[20, 19, 2, 8], [6, 3], [17, 9, 5], [1, 10], [14, 12], [13, 16, 18, 11, 7], [4, 22, 15], [21, 23, 24]]
18: [[20, 19, 2, 6, 3, 8], [17, 9, 1], [10, 14, 7], [12, 13, 5], [16, 18], [11, 4, 22, 15], [21, 23, 24]]
19: [[20, 19, 2, 6, 3, 17], [9, 1, 8], [10, 14, 7], [12, 13, 5], [16, 18], [11, 4, 22, 15], [21, 23, 24]]
