0: [[16, 3, 2, 9, 4, 5, 1, 6], [7, 11], [10, 14], [8, 13, 15, 12, 19, 18, 17, 20, 22], [21, 23, 24]]
1: [[16, 3, 2, 9, 4, 5, 1, 6], [7, 11], [10, 14], [8, 13, 15, 12, 19, 18, 17, 20, 22], [21, 23, 24]]
2: [[16, 3, 2, 9, 4, 5, 1, 6], [7, 11], [10, 14], [8, 13, 15, 12, 19, 18, 17, 20, 22], [21, 23, 24]]
3: [[16, 3, 2, 9, 4, 5, 1, 6], [7, 11], [10, 14], [8, 13, 15, 12, 19, 18, 17, 20, 22], [21, 23, 24]]
4: [[16, 3, 2, 9, 4, 5, 1, 6], [7, 11], [10, 14], [8, 13, 15, 12, 19, 18, 17, 20, 22], [21, 23, 24]]
5: [[16, 3, 2, 9, 4, 5, 1, 6], [7, 11], [10, 14], [8, 13, 15, 12, 19, 18, 17, 20, 22], [21, 23, 24]]
6: [[16, 3, 2, 9, 4, 5, 1, 6], [7, 11], [10, 14], [8, 13, 15, 12, 19, 18, 17, 20, 22], [21, 23, 24]]
7: [[3, 2, 9, 4, 16, 1], [5, 6], [7, 11], [10, 14, 8, 13, 15, 12, 19, 18, 17, 20, 22], [21, 23, 24]]
8: [[16, 3], [2, 9, 4, 5, 6, 7, 11, 1], [10, 14], [8, 13, 15, 12, 19, 18, 17, 20, 22], [21, 23, 24]]
9: [[16, 3], [2, 9, 4, 5, 6, 7, 11, 1], [10, 14], [8, 13, 15, 12, 19, 18, 17, 20, 22], [21, 23, 24]]
10: [[16, 3], [2, 9, 4, 5, 6, 7, 11, 1], [10, 14], [8, 13, 15, 12, 19, 18, 17, 20, 22], [21, 23, 24]]
11: [[3, 16], [2, 9, 4, 5, 6, 1], [7, 11], [10, 14, 8, 13, 15, 12, 19, 18, 17, 20], [22, 21, 23, 24]]
12: [[3, 2, 9, 4, 5, 6, 16, 1], [7, 11], [10, 14, 8, 13, 15, 12, 19, 18], [17, 20], [22, 21, 23, 24]]
13: [[16, 3], [2, 9, 5, 6, 7, 11, 10, 14, 1, 4], [8, 13, 15, 12, 19, 18, 17], [20, 22], [21, 23, 24]]
14: [[16, 3, 2, 9, 5, 6, 7, 11, 1, 4], [10, 14], [8, 13, 15, 12, 19, 18, 17], [20, 22], [21, 23, 24]]
15: [[16, 3], [2, 9, 4, 5, 6, 7, 11, 1], [10, 14], [8, 13, 15, 12, 19, 18, 17, 20], [22, 21, 23, 24]]
16: [[16, 3], [2, 9, 4, 5, 6, 7, 11, 1], [10, 14], [8, 13, 15, 12, 19, 18, 17, 20], [22, 21, 23, 24]]
17: [[16, 3], [2, 9, 4, 5, 6, 7, 11, 1], [10, 14], [8, 13, 15, 12, 19, 18, 17, 20], [22, 21, 23, 24]]
18: [[16, 3], [2, 9], [4, 5, 7, 11, 10, 14, 1, 6], [8, 13, 15, 12, 19, 18, 17, 20, 22], [21, 23, 24]]
19: [[16, 3], [2, 9], [4, 5, 7, 11, 10, 14, 1, 6], [8, 13, 15, 12, 19, 18, 17, 20, 22], [21, 23, 24]]
20: [[16, 3], [2, 9], [4, 5, 7, 11, 10, 14, 1, 6], [8, 13, 15, 12, 19, 18, 17, 20, 22], [21, 23, 24]]
21: [[16, 3], [2, 9], [4, 5, 7, 11, 10, 14, 1, 6], [8, 13, 15, 12, 19, 18, 17, 20, 22], [21, 23, 24]]
22: [[16, 3], [2, 9], [4, 5, 7, 11, 10, 14, 1, 6], [8, 13, 15, 12, 19, 18, 17, 20, 22], [21, 23, 24]]
23: [[16, 3], [2, 9], [4, 5, 7, 11, 10, 14, 1, 6], [8, 13, 15, 12, 19, 18, 17, 20, 22], [21, 23, 24]]
24: [[16, 3], [2, 9], [4, 5, 7, 11, 10, 14, 1, 6], [8, 13, 15, 12, 19, 18, 17, 20, 22], [21, 23, 24]]
25: [[16, 3], [2, 9], [4, 5, 7, 11, 10, 14, 1, 6], [8, 13, 15, 12, 19, 18, 17, 20, 22], [21, 23, 24]]
26: [[16, 3, 2, 9, 4, 5, 6, 1], [7, 11, 14, 8, 13, 15, 12, 19, 10], [18, 17], [20, 22], [21, 23, 24]]
27: [[16, 3], [2, 9, 1, 4, 5, 6, 7, 11, 10], [14, 8], [13, 15, 12, 19, 18, 17, 20, 22], [21, 23, 24]]
28: [[16, 3], [2, 9, 1, 4, 5, 6, 7], [11, 10], [14, 8, 13, 15, 12, 19, 18, 17, 20, 22], [21, 23, 24]]
29: [[16, 3], [2, 9], [4, 5, 7, 11, 1, 6], [10, 14, 8, 13, 15, 12, 19, 18, 17, 20, 22], [21, 23, 24]]
30: [[16, 3], [2, 9], [4, 5, 7, 11, 1, 6], [10, 14, 8, 13, 15, 12, 19, 18, 17, 20, 22], [21, 23, 24]]
31: [[16, 2, 9, 4, 5, 6, 7, 11, 3, 1], [10, 14], [8, 13], [15, 12, 19, 18, 17, 20], [22, 21, 23, 24]]
32: [[16, 3], [2, 9], [5, 6, 7, 11, 10, 14, 1, 4], [8, 13, 15, 12, 19, 18, 17, 20], [22, 21, 23, 24]]
33: [[16, 3], [2, 9], [5, 6, 7, 11, 10, 14, 1, 4], [8, 13, 15, 12, 19, 18, 17, 20], [22, 21, 23, 24]]
34: [[16, 3, 2, 9, 4, 5, 6, 7, 11, 1, 10], [14, 8, 13, 15, 12, 19], [18, 17], [20, 22], [21, 23, 24]]
35: [[16, 3, 2, 9, 4, 5, 6, 7, 11, 1, 10], [14, 8, 13, 15, 12, 19], [18, 17], [20, 22], [21, 23, 24]]
36: [[2, 9, 1, 4, 5, 6, 7, 11, 10, 14], [8, 13], [15, 12], [19, 18, 17, 20, 22, 16, 3], [21, 23, 24]]
37: [[16, 3, 2, 9, 5, 6, 7, 1, 4], [11, 10], [14, 8, 13, 15, 12, 19, 18, 17], [20, 22], [21, 23, 24]]
38: [[16, 3], [2, 9, 1, 4, 5, 6, 7], [11, 10], [14, 8, 13, 15, 12, 19, 18, 17, 20], [22, 21, 23, 24]]
39: [[16, 3], [2, 9], [5, 6, 7, 11, 1, 4], [10, 14, 8, 13, 15, 12, 19, 18, 17, 20], [22, 21, 23, 24]]
40: [[2, 9, 1, 4, 5, 6, 7, 16, 3], [11, 10], [14, 8], [13, 15, 12, 19, 18, 17, 20, 22], [21, 23, 24]]
41: [[2, 9, 1, 4, 5, 6, 7, 16, 3], [11, 10], [14, 8], [13, 15, 12, 19, 18, 17, 20, 22], [21, 23, 24]]
42: [[2, 9, 1, 4, 5, 6, 7, 16, 3], [11, 10], [14, 8], [13, 15, 12, 19, 18, 17, 20, 22], [21, 23, 24]]
43: [[16, 3, 2, 9, 5, 6, 1, 4], [7, 11], [10, 14], [8, 13, 15, 12, 19, 18, 17], [20, 22, 21, 23, 24]]
44: [[2, 9, 1, 4, 5, 6, 7, 16, 3], [11, 10], [14, 8, 13, 15, 12, 19, 18], [17, 20], [22, 21, 23, 24]]
45: [[16, 3, 2, 9, 1, 5, 6, 7, 11, 4], [10, 14], [8, 13, 15, 19, 18, 17, 20, 12], [22, 21], [23, 24]]
