0: [[9, 3, 1, 16, 6], [4, 10, 2, 14], [8, 15, 13], [11, 7], [12, 20, 17, 19, 18, 22, 5], [21, 23, 24]]
1: [[1, 9, 13, 6], [3, 4, 16], [10, 2, 5, 14], [8, 15, 11, 7], [12, 20, 17, 19], [18, 22], [21, 23, 24]]
2: [[1, 9, 13, 6], [3, 4, 10, 2], [5, 14, 8, 15], [11, 7, 12, 20], [17, 19], [18, 22, 16], [21, 23, 24]]
3: [[1, 13], [9, 3, 16, 6], [4, 10, 2, 5, 14], [8, 15, 11, 7], [12, 20, 17, 19, 18], [22, 21, 23, 24]]
4: [[13, 9, 6, 1], [3, 4, 16], [10, 2], [5, 14], [8, 15], [11, 7], [12, 20], [17, 19, 18], [22, 21, 23, 24]]
5: [[1, 13], [9, 3, 16, 6], [4, 10, 2], [5, 14, 8, 15], [11, 7, 12], [20, 17], [19, 18, 22], [21, 23, 24]]
6: [[1, 13], [9, 3, 16], [4, 10, 2], [5, 14, 6], [8, 15, 11, 7], [12, 20], [17, 19, 18, 22], [21, 23, 24]]
7: [[1, 9, 3, 16, 6], [4, 10, 2, 5, 14], [8, 15], [11, 7], [12, 20, 13], [17, 19], [18, 22, 21], [23, 24]]
8: [[1, 9, 13], [3, 4, 10, 2, 5, 14, 8, 6], [15, 11], [7, 12, 20, 17, 19], [18, 22, 16], [21, 23, 24]]
9: [[1, 13], [9, 3, 16, 6], [4, 10, 2, 5], [14, 8, 15], [11, 7], [12, 20, 17, 19, 18], [22, 21], [23, 24]]
10: [[13, 9, 3, 16, 6, 1], [4, 10, 2, 5, 14], [8, 15], [11, 7], [12, 20], [17, 19], [18, 22, 21], [23, 24]]
11: [[1, 9, 3, 16, 6], [4, 10, 2], [5, 14, 8, 13], [15, 11, 7, 12], [20, 17], [19, 18, 22], [21, 23, 24]]
12: [[1, 9, 3, 16, 6], [4, 10, 2], [5, 14], [8, 15, 11, 13], [7, 12, 20, 17, 19, 18], [22, 21, 23, 24]]
13: [[1, 9, 13], [3, 4, 10, 6], [2, 5, 14], [8, 15, 11], [7, 12, 16], [20, 17, 19, 18], [22, 21, 23, 24]]
14: [[13, 9, 1], [3, 4, 16, 6], [10, 2], [5, 14], [8, 15], [11, 7, 12, 20, 17, 19, 18], [22, 21], [23, 24]]
15: [[1, 9, 13, 6], [3, 4, 10], [2, 5], [14, 8, 15], [11, 7], [12, 20], [17, 19], [18, 22, 21, 16], [23, 24]]
16: [[1, 9, 3, 16, 6], [4, 10], [2, 5], [14, 8, 13], [15, 11, 7, 12], [20, 17, 19, 18], [22, 21, 23, 24]]
17: [[1, 9, 13, 6], [3, 4, 10, 2, 16], [5, 14, 8], [15, 11], [7, 12, 20], [17, 19, 18], [22, 21, 23, 24]]
18: [[13], [9, 3, 16, 6], [4, 10, 2, 1], [5, 14, 8, 15, 11, 7, 12, 20, 17, 19, 18], [22, 21], [23, 24]]
19: [[13, 1], [9, 3, 4, 16, 6], [10, 2, 5, 14], [8, 15], [11, 7], [12, 20], [17, 19], [18, 22, 21, 23, 24]]
20: [[13, 9, 6, 1], [3, 4, 10, 16], [2, 5], [14, 8, 15, 11, 7, 12], [20, 17, 19, 18], [22, 21], [23, 24]]
