0: [[5, 10, 9], [7, 8, 2], [11, 12], [20, 16, 15], [17, 18, 19, 6], [14, 13, 4], [3, 1]]
1: [[5, 10, 9], [7, 8, 2], [11, 12], [20, 16, 15], [17, 18, 19, 6], [14, 13, 4], [3, 1]]
2: [[5, 10, 9], [7, 8, 2], [11, 12], [20, 16, 15], [17, 18, 19, 6], [14, 13, 4], [3, 1]]
3: [[5, 10, 9], [7, 8, 2], [11, 12], [20, 16, 15], [17, 18, 19, 6], [14, 13, 4], [3, 1]]
4: [[5, 10, 9], [7, 8, 2], [11, 12], [20, 16, 15], [17, 18, 19, 6], [14, 13, 4], [3, 1]]
5: [[5, 10, 9], [7, 8, 2], [11, 12], [20, 16, 15], [17, 18, 19, 6], [14, 13, 4], [3, 1]]
6: [[5, 10, 9], [7, 8, 2], [11, 12], [20, 16, 15], [17, 18, 19, 6], [14, 13, 4], [3, 1]]
7: [[5, 10, 9], [7, 8, 2], [11, 12], [20, 16, 15], [17, 18, 19, 6], [14, 13, 4], [3, 1]]
8: [[5, 10, 9], [7, 8, 2], [11, 12], [20, 16, 15], [17, 18, 19, 6], [14, 13, 4], [3, 1]]
9: [[5, 10, 9], [7, 8, 2], [11, 12], [20, 16, 15], [17, 18, 19, 6], [14, 13, 4], [3, 1]]
10: [[5, 10, 9], [7, 8, 2], [11, 12], [20, 16, 15], [17, 18, 19, 6], [14, 13, 4], [3, 1]]
11: [[5, 10, 9], [7, 8, 2], [11, 12], [20, 16, 15], [17, 18, 19, 6], [14, 13, 4], [3, 1]]
12: [[5, 10, 9], [7, 8, 2], [11, 12], [20, 16, 15], [17, 18, 19, 6], [14, 13, 4], [3, 1]]
13: [[5, 10, 9], [7, 8, 2], [11, 12], [20, 16, 15], [17, 18, 19, 6], [14, 13, 4], [3, 1]]
14: [[5, 10, 9], [7, 8, 2], [11, 12], [20, 16, 15], [17, 18, 19, 6], [14, 13, 4], [3, 1]]
15: [[5, 10, 9], [7, 8, 2], [11, 12], [20, 16, 15], [17, 18, 19, 6], [14, 13, 4], [3, 1]]
16: [[5, 10, 9], [7, 8, 2], [11, 12], [20, 16, 15], [17, 18, 19, 6], [14, 13, 4], [3, 1]]
17: [[5, 10, 9], [7, 8, 2], [11, 12], [20, 16, 15], [17, 18, 19, 6], [14, 13, 4], [3, 1]]
18: [[5, 10, 9], [7, 8, 2], [11, 12], [20, 16, 15], [17, 18, 19, 6], [14, 13, 4], [3, 1]]
19: [[5, 10, 9], [7, 8, 2], [11, 12], [20, 16, 15], [17, 18, 19, 6], [14, 13, 4], [3, 1]]
20: [[5, 10, 9], [7, 8, 2], [11, 12], [20, 16, 15], [17, 18, 19, 6], [14, 13, 4], [3, 1]]
21: [[5, 10, 9], [7, 8, 2], [11, 12], [20, 16, 15], [17, 18, 19, 6], [14, 13, 4], [3, 1]]
22: [[5, 10, 9], [7, 8, 2], [11, 12], [20, 16, 15], [17, 18, 19, 6], [14, 13, 4], [3, 1]]
23: [[5, 10, 9], [7, 8, 2], [11, 12], [20, 16, 15], [17, 18, 19, 6], [14, 13, 4], [3, 1]]
24: [[5, 10, 9], [7, 8, 2], [11, 12], [20, 16, 15], [17, 18, 19, 6], [14, 13, 4], [3, 1]]
25: [[5, 10, 9], [7, 8, 2], [11, 12], [20, 16, 15], [17, 18, 19, 6], [14, 13, 4], [3, 1]]
26: [[5, 10, 9], [7, 8, 2], [11, 12], [20, 16, 15], [17, 18, 19, 6], [14, 13, 4], [3, 1]]
27: [[5, 10, 9], [7, 8, 2], [11, 12], [20, 16, 15], [17, 18, 19, 6], [14, 13, 4], [3, 1]]
28: [[5, 10, 9], [7, 8, 2], [11, 12], [20, 16, 15], [17, 18, 19, 6], [14, 13, 4], [3, 1]]
29: [[5, 10, 9], [7, 8, 2], [11, 12], [20, 16, 15], [17, 18, 19, 6], [14, 13, 4], [3, 1]]
30: [[5, 10, 9], [7, 8, 2], [11, 12], [20, 16, 15], [17, 18, 19, 6], [14, 13, 4], [3, 1]]
31: [[5, 10, 9], [7, 8, 2], [11, 12], [20, 16, 15], [17, 18, 19, 6], [14, 13, 4], [3, 1]]
32: [[5, 10, 9], [7, 8, 2], [11, 12], [20, 16, 15], [17, 18, 19, 6], [14, 13, 4], [3, 1]]
33: [[5, 10, 9], [7, 8, 2], [11, 12], [20, 16, 15], [17, 18, 19, 6], [14, 13, 4], [3, 1]]
34: [[5, 10, 9], [7, 8, 2], [11, 12], [20, 16, 15], [17, 18, 19, 6], [14, 13, 4], [3, 1]]
35: [[5, 10, 9], [7, 8, 2], [11, 12], [20, 16, 15], [17, 18, 19, 6], [14, 13, 4], [3, 1]]
36: [[5, 10, 9], [7, 8, 2], [11, 12], [20, 16, 15], [17, 18, 19, 6], [14, 13, 4], [3, 1]]
37: [[5, 10, 9], [7, 8, 2], [11, 12], [20, 16, 15], [17, 18, 19, 6], [14, 13, 4], [3, 1]]
38: [[5, 10, 9], [7, 8, 2], [11, 12], [20, 16, 15], [17, 18, 19, 6], [14, 13, 4], [3, 1]]
39: [[5, 10, 9], [7, 8, 2], [11, 12], [20, 16, 15], [17, 18, 19, 6], [14, 13, 4], [3, 1]]
40: [[5, 10, 9], [7, 8, 2], [11, 12], [20, 16, 15], [17, 18, 19, 6], [14, 13, 4], [3, 1]]
41: [[5, 10, 9], [7, 8, 2], [11, 12], [20, 16, 15], [17, 18, 19, 6], [14, 13, 4], [3, 1]]
