0: [[5, 2, 7, 10], [1, 3, 8], [13, 11, 12, 14, 4, 9, 6], [15, 17, 16, 20, 19, 18]]
1: [[5, 2, 7, 10], [1, 3, 8], [13, 9, 11, 12, 14, 6, 4], [15, 17, 16, 20, 19, 18]]
2: [[5, 2, 7, 10], [1, 3, 8], [13, 9, 11, 12, 14, 6, 4], [15, 17, 16, 20, 19, 18]]
3: [[5, 2, 7, 10], [1, 3, 8, 6, 4], [13, 9, 11, 12], [14, 15, 17, 16, 20, 19, 18]]
4: [[5, 2, 7, 10], [1, 3, 8, 6, 4], [13, 9, 11, 12], [14, 15, 17, 16, 20, 19, 18]]
5: [[5, 2, 7, 10], [1, 3, 8, 6, 4], [13, 9, 11, 12], [14, 15, 17, 16, 20, 19, 18]]
6: [[5, 2, 7, 10], [1, 3, 8, 6, 4], [13, 9, 11, 12], [14, 15, 17, 16, 20, 19, 18]]
7: [[5, 2, 7, 10], [1, 3, 8, 6, 4], [13, 9, 11, 12], [14, 15, 17, 16, 20, 19, 18]]
8: [[5, 2, 7, 10], [1, 3, 8, 6, 4], [13, 9, 11, 12], [14, 15, 17, 16, 20, 19, 18]]
9: [[5, 2, 7, 10], [1, 3, 8, 6, 4], [13, 9, 11, 12], [14, 15, 17, 16, 20, 19, 18]]
10: [[5, 2, 7, 10], [1, 3, 8, 6, 4], [13, 9, 11, 12], [14, 15, 17, 16, 20, 19, 18]]
11: [[5, 2, 7, 10], [1, 3, 8, 6, 4], [13, 9, 11, 12], [14, 15, 17, 16, 20, 19, 18]]
12: [[5, 2, 7, 10], [1, 3, 8, 6, 4], [13, 9, 11, 12], [14, 15, 17, 16, 20, 19, 18]]
13: [[5, 2, 7, 10], [1, 3, 8, 6, 4], [13, 9, 11, 12], [14, 15, 17, 16, 20, 19, 18]]
14: [[5, 2, 7, 10, 1], [3, 8, 6, 4], [13, 9, 11, 12], [14, 15, 17, 16, 20, 19, 18]]
15: [[5, 2, 7, 10, 1], [3, 8, 6, 4], [13, 9, 11, 12], [14, 15, 17, 16, 20, 19, 18]]
16: [[5, 2, 7, 10, 1], [3, 8, 6, 4], [13, 9, 11, 12], [14, 15, 17, 16, 20, 19, 18]]
17: [[5, 2, 7, 10, 1], [3, 8, 6, 4], [13, 9, 11, 12], [14, 15, 17, 16, 20, 19, 18]]
18: [[5, 2, 7, 10, 1], [3, 8, 6, 4], [13, 9, 11, 12], [14, 15, 17, 16, 20, 19, 18]]
19: [[5, 2, 7, 10, 1], [3, 8, 6, 4], [13, 9, 11, 12, 14], [15, 17, 16, 20, 19, 18]]
20: [[5, 2, 7, 10], [1, 3, 8], [13, 9, 11, 6, 4], [12, 14, 15, 17, 16, 20, 19, 18]]
21: [[5, 2, 7, 10], [1, 3, 8, 6], [13, 9, 11, 12, 14, 4], [15, 17, 16, 20, 19, 18]]
22: [[5, 2, 7, 10], [1, 3, 8, 6], [13, 9, 11, 12, 4], [14, 15, 17, 16, 20, 19, 18]]
23: [[5, 2, 7, 10], [1, 3, 8, 4, 13, 6], [11, 12, 9], [14, 15, 17, 16, 20, 19, 18]]
24: [[5, 2, 7, 10], [1, 3, 8, 4, 13, 6], [11, 12, 9], [14, 15, 17, 16, 20, 19, 18]]
25: [[5, 2, 7, 10, 1], [3, 8], [13, 9, 11, 12, 6, 4], [14, 15, 17, 16, 20, 19, 18]]
26: [[5, 2, 7], [10, 1, 3, 8], [13, 9, 11, 12, 14, 6, 4], [15, 17, 16, 20, 19, 18]]
27: [[5, 2, 7], [10, 1, 3, 8], [13, 9, 11, 12, 14, 6, 4], [15, 17, 16, 20, 19, 18]]
28: [[5, 2, 7], [10, 1, 3, 8], [13, 9, 11, 12, 14, 6, 4], [15, 17, 16, 20, 19, 18]]
29: [[5, 2, 7], [10, 1, 3, 8], [13, 9, 11, 12, 14, 6, 4], [15, 17, 16, 20, 19, 18]]
30: [[5, 2, 7], [10, 1, 3, 8], [13, 9, 11, 12, 14, 6, 4], [15, 17, 16, 20, 19, 18]]
31: [[5, 2, 7, 10, 1], [3, 8, 13, 6, 4], [9, 11, 12, 14], [15, 17, 16, 20, 19, 18]]
32: [[5, 2, 7, 10], [1, 3, 8, 6, 4], [13, 9, 11], [12, 14, 15, 17, 16, 20, 19, 18]]
33: [[5, 2, 7, 10, 1], [3, 8, 6, 4], [13, 9, 11], [12, 14, 15, 17, 16, 20, 19, 18]]
34: [[5, 2, 7], [10, 1, 3, 8], [13, 9, 11, 12, 14, 15, 6, 4], [17, 16, 20, 19, 18]]
35: [[5, 2, 7], [10, 1, 3, 8, 6], [13, 9, 11, 12, 4], [14, 15, 17, 16, 20, 19, 18]]
36: [[5, 2, 7, 10, 1, 3, 8], [13, 6, 4], [9, 11, 12, 14], [15, 17, 16, 20, 19, 18]]
37: [[5, 2, 7, 10, 1, 3, 8], [13, 6, 4], [9, 11, 12, 14], [15, 17, 16, 20, 19, 18]]
38: [[5, 2, 7, 10, 1, 3, 8], [13, 6, 4], [9, 11, 12, 14], [15, 17, 16, 20, 19, 18]]
39: [[5, 2, 7], [10, 1, 3, 8, 6], [13, 9, 11, 4], [12, 14, 15, 17, 16, 20, 19, 18]]
40: [[5, 2, 7, 10, 1, 3], [8, 4, 13, 6], [11, 12, 9], [14, 15, 17, 16, 20, 19, 18]]
41: [[5, 2, 7, 10, 1, 3], [8, 6], [13, 9, 11, 12, 4], [14, 15, 17, 16, 20, 19, 18]]
