0: [[3, 8, 4, 6], [2, 7, 1, 5, 10], [11, 12, 13, 9], [14, 15, 17, 18, 16, 19, 20]]
1: [[3, 8, 4, 6], [2, 7, 1, 5, 10], [9, 11, 12, 13], [14, 15, 17, 18, 16, 19, 20]]
2: [[3, 8, 4, 6], [2, 7, 1, 5, 10], [9, 11, 12, 13], [14, 15, 17, 18, 16, 19, 20]]
3: [[3, 8, 4, 6], [2, 7, 1, 5, 10], [9, 11, 12, 13], [14, 15, 17, 18, 16, 19, 20]]
4: [[3, 8, 4, 6], [2, 7, 1, 5, 10], [9, 11, 12, 13], [14, 15, 17, 18, 16, 19, 20]]
5: [[3, 8, 4, 6], [2, 7, 1, 5, 10], [9, 11, 12, 13], [14, 15, 17, 18, 16, 19, 20]]
6: [[3, 8, 4, 6], [2, 7, 1, 5, 10], [9, 11, 12, 13], [14, 15, 17, 18, 16, 19, 20]]
7: [[3, 8, 4, 6], [2, 7, 1, 5, 10], [9, 11, 12, 13], [14, 15, 17, 18, 16, 19, 20]]
8: [[3, 8, 4, 6], [2, 7, 1, 5, 10], [9, 11, 12, 13], [14, 15, 17, 18, 16, 19, 20]]
9: [[3, 8, 4, 6], [2, 7, 1, 5, 10], [9, 11, 12, 13], [14, 15, 17, 18, 16, 19, 20]]
10: [[3, 8, 4, 6], [2, 7, 1, 5, 10], [9, 11, 12, 13], [14, 15, 17, 18, 16, 19, 20]]
11: [[3, 8, 4, 6], [2, 7, 1, 5, 10], [9, 11, 12, 13], [14, 15, 17, 18, 16, 19, 20]]
12: [[3, 8, 4, 6], [2, 7, 1, 5, 10], [9, 11, 12, 13], [14, 15, 17, 18, 16, 19, 20]]
13: [[3, 8, 4, 6], [2, 7, 1, 5, 10], [9, 11, 12, 13], [14, 15, 17, 18, 16, 19, 20]]
14: [[3, 8, 4, 6], [2, 7, 1, 5, 10], [9, 11, 12, 13], [14, 15, 17, 18, 16, 19, 20]]
15: [[3, 8, 4, 6], [2, 7, 1, 5, 10], [9, 11, 12, 13], [14, 15, 17, 18, 16, 19, 20]]
16: [[3, 8, 4, 6], [2, 7, 1, 5, 10], [9, 11, 12, 13], [14, 15, 17, 18, 16, 19, 20]]
17: [[3, 8, 4, 6], [2, 7, 1, 5, 10], [9, 11, 12, 13], [14, 15, 17, 18, 16, 19, 20]]
18: [[3, 8, 4, 6], [2, 7, 1, 5, 10], [9, 11, 12, 13], [14, 15, 17, 18, 16, 19, 20]]
19: [[3, 8, 4, 6], [2, 7, 1, 5, 10], [9, 11, 12, 13], [14, 15, 17, 18, 16, 19, 20]]
20: [[3, 8, 4, 6], [2, 7, 1, 5, 10], [9, 11, 12, 13], [14, 15, 17, 18, 16, 19, 20]]
21: [[3, 8, 4, 6], [2, 7, 1, 5, 10], [9, 11, 12, 13], [14, 15, 17, 18, 16, 19, 20]]
22: [[3, 8, 4], [2, 7, 1, 5, 10, 6], [9, 11, 12, 13], [14, 15, 17, 18, 16, 19, 20]]
23: [[3, 8, 4], [2, 7, 1, 5, 10, 6], [9, 11, 12, 13], [14, 15, 17, 18, 16, 19, 20]]
24: [[3, 8, 4], [2, 7, 1, 5, 10, 6], [9, 11, 12, 13], [14, 15, 17, 18, 16, 19, 20]]
25: [[3, 8, 4], [2, 7, 1, 5, 10, 6], [9, 11, 12, 13], [14, 15, 17, 18, 16, 19, 20]]
26: [[3, 4, 8, 6], [2, 7, 1, 5, 10, 9], [11, 12, 13], [14, 15, 17, 18, 16, 19, 20]]
27: [[3, 8, 4, 6], [2, 7, 1, 5, 10], [9, 11, 12, 13, 14], [15, 17, 18, 16, 19, 20]]
28: [[3, 8, 4, 6], [2, 7, 1, 5, 10], [9, 11, 12, 13, 14], [15, 17, 18, 16, 19, 20]]
29: [[3, 8, 4, 6], [2, 7, 1, 5, 10], [9, 11, 12, 13, 14], [15, 17, 18, 16, 19, 20]]
30: [[3, 8, 4, 6], [2, 7, 1, 5, 10], [9, 11, 12, 13, 14], [15, 17, 18, 16, 19, 20]]
31: [[3, 8, 4, 6], [2, 7, 1, 5, 10], [9, 11, 12, 13, 14], [15, 17, 18, 16, 19, 20]]
32: [[3, 8, 4, 6], [2, 7, 1, 5, 10, 9], [11, 12, 13, 14], [15, 17, 18, 16, 19, 20]]
33: [[3, 8, 4, 6], [2, 7, 1, 5, 10, 9], [11, 12, 13, 14], [15, 17, 18, 16, 19, 20]]
34: [[3, 8, 6, 2, 4], [7, 1, 5, 10, 9], [11, 12, 13], [14, 15, 17, 18, 16, 19, 20]]
35: [[3, 8, 4, 6], [2, 7, 1, 5], [10, 9, 11, 12, 13], [14, 15, 17, 18, 16, 19, 20]]
36: [[3, 4, 8, 6], [2, 7, 1, 5, 10], [11, 12, 9], [13, 14, 15, 17, 18, 16, 19, 20]]
37: [[3, 8, 2, 4, 6], [7, 1, 5, 10, 9], [11, 12, 13, 14], [15, 17, 18, 16, 19, 20]]
38: [[3, 8, 2, 4, 6], [7, 1, 5, 10, 9], [11, 12, 13, 14], [15, 17, 18, 16, 19, 20]]
39: [[3, 4, 8, 6], [2, 7, 1, 5], [10, 11, 12, 9], [13, 14, 15, 17, 18, 16, 19, 20]]
40: [[3, 4, 8], [2, 7, 1, 5, 6], [10, 11, 12, 9], [13, 14, 15, 17, 18, 16, 19, 20]]
41: [[3, 4, 8], [2, 7, 1, 5, 6], [10, 11, 12, 9], [13, 14, 15, 17, 18, 16, 19, 20]]
