0: [[41, 58], [43, 35, 33, 46, 2], [60], [34, 8, 27], [7, 25, 5], [32, 17, 20], [19, 1, 14, 26, 37], [4, 13, 21], [55], [47, 31], [38, 29, 24, 23, 45, 12], [3, 48, 30, 51], [22, 52, 28], [59, 53, 57, 49], [11, 42, 50], [9, 36, 39, 15, 6, 10], [16, 56, 40, 54, 44, 18]]
1: [[41, 58], [43, 35, 33, 46, 2], [60], [34, 8, 27], [7, 25, 5], [32, 17, 20], [19, 1, 14, 26, 37], [4, 13, 21], [55], [47, 31], [38, 29, 24, 23, 45, 12], [3, 48, 30, 51], [22, 52, 28], [59, 53, 57, 49], [11, 42, 50], [9, 36, 39, 15, 6, 10], [16, 56, 40, 54, 44, 18]]
2: [[41, 58], [43, 35, 33, 46, 2], [60], [34, 8, 27], [7, 25, 5], [32, 17, 20], [19, 1, 14, 26, 37], [4, 13, 21], [55], [47, 31], [38, 29, 24, 23, 45, 12], [3, 48, 30, 51], [22, 52, 28], [59, 53, 57, 49], [11, 42, 50], [9, 36, 39, 15, 6, 10], [16, 56, 40, 54, 44, 18]]
3: [[41, 58], [43, 35, 33, 46, 2], [60], [34, 8, 27], [7, 25, 5], [32, 17, 20], [19, 1, 14, 26, 37], [4, 13, 21], [55], [47, 31], [38, 29, 24, 23, 45, 12], [3, 48, 30, 51], [22, 52, 28], [59, 53, 57, 49], [11, 42, 50], [9, 36, 39, 15, 6, 10], [16, 56, 40, 54, 44, 18]]
4: [[41, 58], [43, 35, 33, 46, 2], [60], [34, 8, 27], [7, 25, 5], [32, 17, 20], [19, 1, 14, 26, 37], [4, 13, 21], [55], [47, 31], [38, 29, 24, 23, 45, 12], [3, 48, 30, 51], [22, 52, 28], [59, 53, 57, 49], [11, 42, 50], [9, 36, 39, 15, 6, 10], [16, 56, 40, 54, 44, 18]]
5: [[41, 58], [43, 35, 33, 46, 2], [60], [34, 8, 27], [7, 25, 5], [32, 17, 20], [19, 1, 14, 26, 37], [4, 13, 21], [55], [47, 31], [38, 29, 24, 23, 45, 12], [3, 48, 30, 51], [22, 52, 28], [59, 53, 57, 49], [11, 42, 50], [9, 36, 39, 15, 6, 10], [16, 56, 40, 54, 44, 18]]
6: [[41, 58], [43, 35, 33, 46, 2], [60], [34, 8, 27], [7, 25, 5], [32, 17, 20], [19, 1, 14, 26, 37], [4, 13, 21], [55], [47, 31], [38, 29, 24, 23, 45, 12], [3, 48, 30, 51], [22, 52, 28], [59, 53, 57, 49], [11, 42, 50], [9, 36, 39, 15, 6, 10], [16, 56, 40, 54, 44, 18]]
7: [[41, 58], [43, 35, 33, 46, 2], [60], [34, 8, 27], [7, 25, 5], [32, 17, 20], [19, 1, 14, 26, 37], [4, 13, 21], [55], [47, 31], [38, 29, 24, 23, 45, 12], [3, 48, 30, 51], [22, 52, 28], [59, 53, 57, 49], [11, 42, 50], [9, 36, 39, 15, 6, 10], [16, 56, 40, 54, 44, 18]]
8: [[41, 58], [43, 35, 33, 46, 2], [60], [34, 8, 27], [7, 25, 5], [32, 17, 20], [19, 1, 14, 26, 37], [4, 13, 21], [55], [47, 31], [38, 29, 24, 23, 45, 12], [3, 48, 30, 51], [22, 52, 28], [59, 53, 57, 49], [11, 42, 50], [9, 36, 39, 15, 6, 10], [16, 56, 40, 54, 44, 18]]
9: [[41, 58], [43, 35, 33, 46, 2], [60], [34, 8, 27], [7, 25, 5], [32, 17, 20], [19, 1, 14, 26, 37], [4, 13, 21], [55], [47, 31], [38, 29, 24, 23, 45, 12], [3, 48, 30, 51], [22, 52, 28], [59, 53, 57, 49], [11, 42, 50], [9, 36, 39, 15, 6, 10], [16, 56, 40, 54, 44, 18]]
10: [[41, 58], [43, 35, 33, 46, 2], [60], [34, 8, 27], [7, 25, 5], [32, 17, 20], [19, 1, 14, 26, 37], [4, 13, 21], [55], [47, 31], [38, 29, 24, 23, 45, 12], [3, 48, 30, 51], [22, 52, 28], [59, 53, 57, 49], [11, 42, 50], [9, 36, 39, 15, 6, 10], [16, 56, 40, 54, 44, 18]]
11: [[41, 58], [43, 35, 33, 46, 2], [60], [34, 8, 27], [7, 25, 5], [32, 17, 20], [19, 1, 14, 26, 37], [4, 13, 21], [55], [47, 31], [38, 29, 24, 23, 45, 12], [3, 48, 30, 51], [22, 52, 28], [59, 53, 57, 49], [11, 42, 50], [9, 36, 39, 15, 6, 10], [16, 56, 40, 54, 44, 18]]
12: [[41, 58], [43, 35, 33, 46, 2], [60], [34, 8, 27], [7, 25, 5], [32, 17, 20], [19, 1, 14, 26, 37], [4, 13, 21], [55], [47, 31], [38, 29, 24, 23, 45, 12], [3, 48, 30, 51], [22, 52, 28], [59, 53, 57, 49], [11, 42, 50], [9, 36, 39, 15, 6, 10], [16, 56, 40, 54, 44, 18]]
13: [[41, 58], [43, 35, 33, 46, 2], [60], [34, 8, 27], [7, 25, 5], [32, 17, 20], [19, 1, 14, 26, 37], [4, 13, 21], [55], [47, 31], [38, 29, 24, 23, 45, 12], [3, 48, 30, 51], [22, 52, 28], [59, 53, 57, 49], [11, 42, 50], [9, 36, 39, 15, 6, 10], [16, 56, 40, 54, 44, 18]]
14: [[41, 58], [43, 35, 33, 46, 2], [60], [34, 8, 27], [7, 25, 5], [32, 17, 20], [19, 1, 14, 26, 37], [4, 13, 21], [55], [47, 31], [38, 29, 24, 23, 45, 12], [3, 48, 30, 51], [22, 52, 28], [59, 53, 57, 49], [11, 42, 50], [9, 36, 39, 15, 6, 10], [16, 56, 40, 54, 44, 18]]
15: [[41, 58], [43, 35, 33, 46, 2], [60], [34, 8, 27], [7, 25, 5], [32, 17, 20], [19, 1, 14, 26, 37], [4, 13, 21], [55], [47, 31], [38, 29, 24, 23, 45, 12], [3, 48, 30, 51], [22, 52, 28], [59, 53, 57, 49], [11, 42, 50], [9, 36, 39, 15, 6, 10], [16, 56, 40, 54, 44, 18]]
16: [[41, 58], [43, 35, 33, 46, 2], [60], [34, 8, 27], [7, 25, 5], [32, 17, 20], [19, 1, 14, 26, 37], [4, 13, 21], [55], [47, 31], [38, 29, 24, 23, 45, 12], [3, 48, 30, 51], [22, 52, 28], [59, 53, 57, 49], [11, 42, 50], [9, 36, 39, 15, 6, 10], [16, 56, 40, 54, 44, 18]]
17: [[41, 58], [43, 35, 33, 46, 2], [60], [34, 8, 27], [7, 25, 5], [32, 17, 20], [19, 1, 14, 26, 37], [4, 13, 21], [55], [47, 31], [38, 29, 24, 23, 45, 12], [3, 48, 30, 51], [22, 52, 28], [59, 53, 57, 49], [11, 42, 50], [9, 36, 39, 15, 6, 10], [16, 56, 40, 54, 44, 18]]
