0: [[2, 13, 10], [1, 4, 3, 5], [6, 7, 9, 11, 12, 8]]
1: [[2, 13, 10], [1, 4, 3, 5], [6, 7, 9, 11, 12, 8]]
2: [[2, 13, 10], [1, 4, 3, 5], [6, 7, 9, 11, 12, 8]]
3: [[2, 13, 10], [1, 4, 3, 5], [6, 7, 9, 11, 12, 8]]
4: [[2, 13, 10], [1, 4, 3, 5], [6, 7, 9, 11, 12, 8]]
5: [[2, 13, 10], [1, 4, 3, 5], [6, 7, 9, 11, 12, 8]]
6: [[2, 13, 10], [1, 4, 3, 5], [6, 7, 9, 11, 12, 8]]
7: [[2, 13, 10], [1, 4, 3, 5], [6, 7, 9, 11, 12, 8]]
8: [[2, 13, 10], [1, 4, 3, 5], [6, 7, 9, 11, 12, 8]]
9: [[2, 13, 10], [1, 4, 3, 5], [6, 7, 9, 11, 12, 8]]
10: [[2, 13, 10], [1, 4, 3, 5], [6, 7, 9, 11, 12, 8]]
11: [[2, 13, 10], [1, 4, 3, 5], [6, 7, 9, 11, 12, 8]]
12: [[2, 13, 10], [1, 4, 3, 5], [6, 7, 9, 11, 12, 8]]
13: [[2, 13, 10], [1, 4, 3, 5], [6, 7, 9, 11, 12, 8]]
14: [[2, 13, 10], [1, 4, 3, 5], [6, 7, 9, 11, 12, 8]]
15: [[2, 13, 10], [1, 4, 3, 5], [6, 7, 9, 11, 12, 8]]
16: [[2, 13, 10], [1, 4, 3, 5], [6, 7, 9, 11, 12, 8]]
17: [[2, 13, 10], [1, 4, 3, 5], [6, 7, 9, 11, 12, 8]]
18: [[2, 13, 10], [1, 4, 3, 5], [6, 7, 9, 11, 12, 8]]
19: [[2, 13, 10], [1, 4, 3, 5], [6, 7, 9, 11, 12, 8]]
20: [[2, 13, 10], [1, 4, 3, 5], [6, 7, 9, 11, 12, 8]]
21: [[2, 13, 10], [1, 4, 3, 5], [6, 7, 9, 11, 12, 8]]
22: [[2, 13, 10], [1, 4, 3, 5], [6, 7, 9, 11, 12, 8]]
23: [[2, 13, 10], [1, 4, 3, 5], [6, 7, 9, 11, 12, 8]]
24: [[2, 13, 10], [1, 4, 3, 5], [6, 7, 9, 11, 12, 8]]
25: [[2, 13, 10], [1, 4, 3, 5], [6, 7, 9, 11, 12, 8]]
26: [[2, 13, 10], [1, 4, 3, 5], [6, 7, 9, 11, 12, 8]]
27: [[2, 13, 10], [1, 4, 3, 5], [6, 7, 9, 11, 12, 8]]
