0: [[28, 4, 6, 24, 10], [2, 19, 7], [20, 3, 23, 22, 14], [17, 13, 1, 9, 5], [8, 25, 15, 18, 16, 11, 12], [27, 21, 29, 26]]
1: [[28, 4, 6, 24, 10], [2, 19, 7], [20, 3, 23, 22, 14], [17, 13, 1, 9, 5], [8, 25, 15, 18, 16, 11, 12], [27, 21, 29, 26]]
2: [[28, 4, 6, 24, 10], [2, 19, 7], [20, 3, 23, 22, 14], [17, 13, 1, 9, 5], [8, 25, 15, 18, 16, 11, 12], [27, 21, 29, 26]]
3: [[28, 4, 6, 24, 10], [2, 19, 7], [20, 3, 23, 22, 14], [17, 13, 1, 9, 5], [8, 25, 15, 18, 16, 11, 12], [27, 21, 29, 26]]
4: [[28, 4, 6, 24, 10], [2, 19, 7], [20, 3, 23, 22, 14], [17, 13, 1, 9, 5], [8, 25, 15, 18, 16, 11, 12], [27, 21, 29, 26]]
5: [[28, 4, 6, 24, 10], [2, 19, 7], [20, 3, 23, 22, 14], [17, 13, 1, 9, 5], [8, 25, 15, 18, 16, 11, 12], [27, 21, 29, 26]]
6: [[28, 4, 6, 24, 10], [2, 19, 7], [20, 3, 23, 22, 14], [17, 13, 1, 9, 5], [8, 25, 15, 18, 16, 11, 12], [27, 21, 29, 26]]
7: [[28, 4, 6, 24, 10], [2, 19, 7], [20, 3, 23, 22, 14], [17, 13, 1, 9, 5], [8, 25, 15, 18, 16, 11, 12], [27, 21, 29, 26]]
8: [[28, 4, 6, 24, 10], [2, 19, 7], [20, 3, 23, 22, 14], [17, 13, 1, 9, 5], [8, 25, 15, 18, 16, 11, 12], [27, 21, 29, 26]]
9: [[28, 4, 6, 24, 10], [2, 19, 7], [20, 3, 23, 22, 14], [17, 13, 1, 9, 5], [8, 25, 15, 18, 16, 11, 12], [27, 21, 29, 26]]
10: [[28, 4, 6, 24, 10], [2, 19, 7], [20, 3, 23, 22, 14], [17, 13, 1, 9, 5], [8, 25, 15, 18, 16, 11, 12], [27, 21, 29, 26]]
11: [[28, 4, 6, 24, 10], [2, 19, 7], [20, 3, 23, 22, 14], [17, 13, 1, 9, 5], [8, 25, 15, 18, 16, 11, 12], [27, 21, 29, 26]]
12: [[28, 4, 6, 24, 10], [2, 19, 7], [20, 3, 23, 22, 14], [17, 13, 1, 9, 5], [8, 25, 15, 18, 16, 11, 12], [27, 21, 29, 26]]
13: [[28, 4, 6, 24, 10], [2, 19, 7], [20, 3, 23, 22, 14], [17, 13, 1, 9, 5], [8, 25, 15, 18, 16, 11, 12], [27, 21, 29, 26]]
14: [[28, 4, 6, 24, 10], [2, 19, 7], [20, 3, 23, 22, 14], [17, 13, 1, 9, 5], [8, 25, 15, 18, 16, 11, 12], [27, 21, 29, 26]]
15: [[28, 4, 6, 24, 10], [2, 19, 7], [20, 3, 23, 22, 14], [17, 13, 1, 9, 5], [8, 25, 15, 18, 16, 11, 12], [27, 21, 29, 26]]
16: [[28, 4, 6, 24, 10], [2, 19, 7], [20, 3, 23, 22, 14], [17, 13, 1, 9, 5], [8, 25, 15, 18, 16, 11, 12], [27, 21, 29, 26]]
17: [[28, 4, 6, 24, 10], [2, 19, 7], [20, 3, 23, 22, 14], [17, 13, 1, 9, 5], [8, 25, 15, 18, 16, 11, 12], [27, 21, 29, 26]]
18: [[28, 4, 6, 24, 10], [2, 19, 7], [20, 3, 23, 22, 14], [17, 13, 1, 9, 5], [8, 25, 15, 18, 16, 11, 12], [27, 21, 29, 26]]
19: [[28, 4, 6, 24, 10], [2, 19, 7], [20, 3, 23, 22, 14], [17, 13, 1, 9, 5], [8, 25, 15, 18, 16, 11, 12], [27, 21, 29, 26]]
20: [[28, 4, 6, 24, 10], [2, 19, 7], [20, 3, 23, 22, 14], [17, 13, 1, 9, 5], [8, 25, 15, 18, 16, 11, 12], [27, 21, 29, 26]]
