0: [[35, 13, 19, 11, 1, 5, 2], [8, 7, 9, 12, 24, 4], [14, 40, 22, 23, 28], [3, 20, 30], [15, 16, 31, 17, 25, 26, 27, 50, 42, 18, 10, 21, 6], [32, 38, 52, 34, 29, 37], [33, 36, 39, 41, 56, 44], [47, 55, 54, 43], [48, 45, 51, 53, 46], [60, 49, 57, 58, 59]]
1: [[35, 13, 19, 11, 1, 5, 2], [8, 7, 9, 12, 24, 4], [14, 40, 22, 23, 28], [3, 20, 30], [15, 16, 31, 17, 25, 26, 27, 50, 42, 18, 10, 21, 6], [32, 38, 52, 34, 29, 37], [33, 36, 39, 41, 56, 44], [47, 55, 54, 43], [48, 45, 51, 53, 46], [60, 49, 57, 58, 59]]
2: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 6, 9, 10, 8, 12, 28, 15, 24, 16, 30, 23, 18], [20, 19, 22, 25, 26, 29, 31, 33, 40, 36, 32, 39, 34, 43, 45, 38, 37, 41, 42, 46], [47, 44, 51, 52, 49, 48, 54, 55, 53, 50, 56, 59, 57, 58, 60]]
3: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 9, 6, 24, 8, 10, 5, 31, 16, 12, 23, 30, 15, 18], [25, 19, 20, 22, 28, 26, 29, 33, 40, 36, 32, 38, 42, 46, 34, 39, 37, 45, 43, 44], [41, 47, 51, 52, 49, 48, 50, 55, 53, 54, 56, 57, 59, 58, 60]]
4: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 6, 5, 30, 24, 9, 8, 25, 10, 29, 15, 18, 12, 16], [22, 20, 23, 19, 26, 28, 31, 33, 40, 36, 32, 39, 42, 45, 37, 34, 38, 43, 44, 46], [41, 47, 51, 52, 49, 48, 50, 55, 54, 53, 56, 57, 58, 59, 60]]
5: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 5, 6, 15, 12, 10, 8, 9, 16, 24, 21, 18, 26, 23, 30], [19, 20, 29, 22, 25, 28, 31, 33, 40, 36, 32, 38, 42, 39, 34, 37, 41, 43, 44, 45], [46, 47, 51, 52, 49, 48, 50, 55, 53, 54, 57, 58, 59, 56, 60]]
6: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 23, 5, 6, 16, 8, 9, 10, 30, 12, 15, 18, 29, 31, 21], [20, 25, 19, 24, 22, 28, 26, 33, 40, 36, 32, 39, 42, 38, 34, 37, 41, 43, 47, 44], [45, 46, 51, 52, 49, 48, 50, 55, 53, 54, 57, 58, 59, 56, 60]]
7: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 6, 9, 8, 12, 16, 26, 10, 15, 18, 28, 22, 23], [20, 19, 24, 25, 29, 30, 31, 33, 40, 36, 32, 38, 34, 37, 39, 43, 42, 45, 41, 44], [46, 47, 51, 52, 49, 48, 50, 53, 54, 55, 57, 60, 59, 56, 58]]
8: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 6, 24, 9, 12, 25, 28, 10, 8, 23, 15, 16, 18], [26, 19, 20, 22, 30, 29, 31, 33, 44, 36, 32, 39, 34, 37, 38, 43, 45, 40, 41, 46], [47, 42, 51, 52, 49, 48, 50, 53, 55, 54, 57, 58, 56, 59, 60]]
9: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 6, 12, 9, 15, 10, 24, 8, 31, 22, 16, 18, 23], [19, 20, 25, 26, 28, 29, 30, 33, 40, 36, 32, 39, 34, 38, 42, 37, 44, 46, 43, 45], [47, 41, 51, 52, 49, 48, 50, 55, 53, 54, 57, 56, 59, 58, 60]]
10: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 6, 9, 8, 10, 26, 31, 23, 12, 15, 24, 16, 18], [19, 22, 20, 28, 25, 30, 29, 33, 40, 36, 32, 39, 42, 34, 38, 37, 43, 41, 45, 47], [44, 46, 51, 52, 49, 48, 50, 55, 54, 53, 57, 58, 56, 59, 60]]
11: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 6, 12, 8, 10, 24, 30, 9, 15, 16, 22, 18, 23], [19, 25, 26, 28, 20, 29, 31, 33, 40, 36, 32, 38, 42, 39, 37, 34, 45, 41, 43, 44], [47, 46, 51, 52, 49, 48, 50, 53, 55, 58, 57, 54, 59, 56, 60]]
12: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 6, 8, 10, 9, 12, 24, 15, 25, 18, 31, 16, 29], [20, 19, 22, 30, 26, 23, 28, 33, 40, 36, 32, 38, 42, 34, 37, 41, 39, 43, 47, 46], [44, 45, 51, 52, 49, 48, 50, 55, 53, 54, 56, 58, 59, 57, 60]]
13: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 6, 8, 9, 10, 24, 30, 15, 12, 16, 23, 18, 22], [19, 29, 20, 26, 28, 25, 31, 33, 40, 36, 32, 39, 42, 46, 38, 34, 37, 41, 43, 44], [45, 47, 51, 52, 49, 48, 50, 53, 55, 54, 56, 59, 57, 58, 60]]
14: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 6, 9, 8, 10, 26, 12, 15, 24, 23, 25, 16, 18], [19, 22, 20, 28, 29, 30, 31, 33, 40, 36, 32, 39, 42, 34, 37, 38, 47, 45, 41, 43], [44, 46, 51, 52, 49, 48, 54, 55, 50, 53, 57, 58, 59, 60, 56]]
15: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 6, 9, 10, 12, 8, 28, 24, 15, 18, 16, 19, 23], [20, 22, 25, 26, 31, 29, 30, 33, 40, 36, 32, 38, 34, 37, 39, 43, 42, 41, 45, 46], [44, 47, 51, 52, 49, 48, 50, 53, 54, 55, 57, 58, 59, 56, 60]]
16: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 6, 9, 10, 12, 8, 28, 24, 15, 18, 16, 19, 23], [20, 22, 25, 26, 31, 29, 30, 33, 40, 36, 32, 38, 34, 37, 39, 43, 42, 41, 45, 46], [44, 47, 51, 52, 49, 48, 50, 53, 54, 55, 57, 58, 59, 56, 60]]
17: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 6, 24, 12, 8, 10, 15, 9, 31, 18, 22, 16, 23], [20, 28, 25, 19, 26, 29, 30, 33, 40, 36, 32, 39, 34, 38, 37, 42, 41, 43, 46, 45], [47, 44, 51, 52, 49, 48, 58, 53, 54, 50, 57, 55, 59, 56, 60]]
18: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 6, 24, 12, 8, 10, 15, 9, 31, 18, 22, 16, 23], [20, 28, 25, 19, 26, 29, 30, 33, 40, 36, 32, 39, 34, 38, 37, 42, 41, 43, 46, 45], [47, 44, 51, 52, 49, 48, 58, 53, 54, 50, 57, 55, 59, 56, 60]]
19: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 6, 25, 10, 8, 30, 9, 12, 26, 18, 15, 16, 23], [20, 19, 22, 24, 28, 29, 31, 33, 40, 36, 32, 39, 34, 43, 45, 38, 37, 41, 42, 46], [47, 44, 51, 52, 49, 48, 50, 55, 53, 54, 56, 57, 59, 58, 60]]
20: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 8, 5, 6, 9, 30, 26, 15, 10, 12, 25, 18, 28, 16], [24, 19, 23, 22, 20, 29, 31, 33, 40, 36, 32, 38, 42, 34, 39, 37, 43, 47, 41, 45], [44, 46, 51, 52, 49, 48, 50, 53, 55, 58, 56, 54, 59, 57, 60]]
21: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 6, 5, 8, 9, 10, 16, 30, 12, 15, 24, 18, 19, 28], [23, 25, 22, 20, 26, 29, 31, 33, 40, 36, 32, 39, 42, 38, 46, 34, 37, 41, 43, 44], [45, 47, 51, 52, 49, 48, 50, 53, 55, 54, 57, 58, 59, 56, 60]]
22: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 6, 9, 10, 19, 12, 28, 29, 15, 18, 8, 16, 23], [22, 24, 25, 30, 20, 31, 26, 33, 40, 36, 32, 38, 42, 39, 37, 34, 41, 43, 44, 46], [45, 47, 51, 52, 49, 48, 50, 53, 55, 54, 56, 57, 59, 58, 60]]
23: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 6, 9, 10, 8, 24, 12, 15, 29, 16, 23, 18, 19], [20, 28, 22, 25, 26, 31, 30, 33, 40, 36, 32, 39, 34, 41, 45, 46, 37, 43, 38, 42], [47, 44, 51, 52, 49, 48, 58, 53, 55, 54, 56, 50, 59, 57, 60]]
24: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 6, 24, 9, 15, 10, 29, 12, 8, 18, 23, 16, 19], [20, 26, 22, 25, 31, 28, 30, 33, 40, 36, 32, 38, 34, 39, 47, 37, 44, 41, 43, 42], [45, 46, 51, 52, 49, 48, 50, 55, 53, 54, 57, 58, 59, 56, 60]]
