0: [[38, 5, 7], [2, 22, 13, 1, 12], [3, 4], [6, 10, 9, 8, 27], [14, 15], [11, 17, 26, 21, 20], [24, 16, 23, 18, 19], [28, 25, 29], [59, 30], [60, 41], [63, 33, 31, 54, 35, 36], [32], [34, 39, 44], [37, 46, 40, 42, 43], [57, 45, 56, 47, 55], [48, 49, 50, 61, 51, 53], [52, 58, 62], [65, 71, 64, 66, 67], [78, 68, 69, 70, 74], [72, 73, 76, 77, 75], [79, 82], [81, 80, 87, 83], [84, 85, 86, 88]]
1: [[38, 5, 7], [2, 22, 13, 1, 12], [3, 4], [6, 10, 9, 8, 27], [14, 15], [11, 17, 26, 21, 20], [24, 16, 23, 18, 19], [28, 25, 29], [59, 30], [60, 41], [63, 33, 31, 54], [35, 36, 32], [34, 39, 44], [37, 46], [40, 42, 43, 57, 45, 47, 48, 55, 51, 49, 50, 52, 53, 56, 58, 61, 62, 65, 71, 64, 66, 67, 78, 68, 69, 70, 74, 72, 73, 76, 77, 75, 79, 82, 81, 80, 87, 83, 84, 85, 86, 88]]
2: [[38, 5, 7], [2, 22, 13, 1, 12], [3, 4], [6, 10, 9, 8, 27], [14, 15], [11, 17, 26, 21, 20], [24, 16, 23, 18, 19], [28, 25, 29, 59, 30], [60, 41], [63, 33, 31, 54, 35], [36, 32, 34], [39, 44], [37, 46], [40, 42], [43, 57, 45, 47, 56], [53, 51, 49, 52], [48, 50, 58, 55, 61], [62, 65, 71, 64, 66, 67, 78, 68, 69, 70], [74, 72, 73], [76, 77, 75, 79, 82, 81], [80, 87, 83], [84, 85, 86, 88]]
3: [[38, 5, 7], [2, 22, 13, 1, 12], [3, 4], [6, 10, 9, 8, 27], [14, 15], [11, 17, 26, 21, 20], [24, 16, 23, 18, 19], [28, 25, 29], [59, 30], [60, 41, 63], [33, 31, 54, 35, 36, 32], [34, 39, 44, 37, 46, 40, 42, 43, 57, 45, 47, 52, 49, 50, 51], [55, 48, 53, 58, 56, 61, 62, 65, 71, 64, 66, 67, 78, 68, 69, 70, 74, 72, 73, 76, 77, 75, 79, 82, 81, 80, 87, 83, 84, 85, 86, 88]]
4: [[38, 5, 7], [2, 22, 13, 1, 12], [3, 4], [6, 10, 9, 8, 27], [14, 15], [11, 17, 26, 21, 20], [24, 16, 23, 18, 19], [28, 25, 29], [59, 30], [60, 41], [63, 33, 31, 54], [35, 36, 32, 34], [39, 44, 37, 46], [40, 42, 43, 57, 45, 47, 48, 55, 53, 50, 49, 52, 51, 56, 58, 62, 61, 65, 71, 64, 66, 67, 78, 68, 69, 70, 74, 72, 73, 76, 77, 75, 79, 82, 81, 80, 87, 83, 84, 85, 86, 88]]
5: [[38, 5, 7], [2, 22, 13, 1, 12], [3, 4], [6, 10, 9, 8, 27], [14, 15], [11, 17, 26, 21, 20], [24, 16, 23, 18, 19], [28, 25, 29], [59, 30], [60, 41, 63, 33, 31, 54], [35, 36, 32], [34, 39, 44, 37, 46], [40, 42, 43, 57, 45], [47, 56, 49, 48, 52], [55, 50], [51, 61], [53, 58, 62, 65], [71, 64, 66, 67, 78, 68, 69, 70, 74, 72, 73, 76, 77, 75, 79, 82, 81, 80, 87, 83, 84, 85, 86, 88]]
6: [[38, 5, 7], [2, 22], [13, 1, 12], [3, 4], [6, 10, 9], [8, 27], [14, 15], [11, 17, 26, 21, 20], [24, 16, 23, 18, 19], [28, 25, 29], [59, 30], [60, 41], [63, 33], [31, 54, 35, 36, 32], [34, 39, 44, 37, 46], [40, 42, 43], [57, 45], [47, 49], [51, 48], [50, 52, 55], [53, 61, 62, 58], [56, 65, 71, 64], [66, 67, 78, 68], [69, 70, 74], [72, 73], [76, 77], [75, 79, 82, 81], [80, 87, 83, 84], [85, 86, 88]]
7: [[38, 5, 7], [2, 22, 13, 1, 12], [3, 4], [6, 10, 9, 8, 27], [14, 15], [11, 17, 26, 21, 20], [24, 16, 23, 18, 19], [28, 25], [29, 59, 30, 60, 41], [63, 33, 31, 54, 35], [36, 32, 34], [39, 44], [37, 46], [40, 42, 43, 57], [45], [47, 56, 53], [50, 49, 51, 48], [52, 55, 61, 58, 62], [65, 71, 64, 66, 67], [78, 68, 69, 70, 74, 72], [73, 76, 77, 75, 79], [82, 81, 80, 87, 83], [84, 85, 86, 88]]
8: [[38, 5, 7], [2, 22, 13, 1, 12], [3, 4], [6, 10, 9, 8, 27], [14, 15], [11, 17, 26, 21, 20], [24, 16, 23], [18, 19, 28, 25, 29], [59, 30, 60, 41, 63], [33, 31, 54], [35, 36], [32, 34, 39], [44, 37], [46, 40, 42, 43, 57], [45, 47], [53, 51, 49, 50, 48], [55, 52, 58], [56, 61, 62], [65, 71, 64, 66, 67], [78, 68, 69, 70, 74], [72, 73, 76, 77, 75], [79, 82, 81], [80, 87], [83, 84, 85, 86, 88]]
9: [[38, 5, 7], [2, 22, 13, 1, 12], [3, 4], [6, 10, 9, 8, 27], [14, 15], [11, 17, 26, 21, 20], [24, 16, 23, 18, 19], [28, 25, 29], [59, 30], [60, 41], [63, 33, 31, 54, 35, 36], [32], [34, 39, 44], [37, 46, 40, 42, 43], [57, 45, 47], [49, 55, 48, 50], [51, 53, 56, 52, 58], [61, 62, 65, 71, 64], [66, 67, 78, 68, 69, 70, 74], [72, 73, 76, 77, 75, 79, 82, 81, 80, 87, 83, 84, 85, 86, 88]]
10: [[38, 5, 7], [2, 22, 13, 1, 12], [3, 4], [6, 10, 9, 8, 27], [14, 15], [11, 17, 26, 21, 20], [24, 16, 23], [18, 19], [28, 25, 29, 59, 30], [60, 41, 63], [33, 31], [54, 35], [36, 32, 34, 39, 44, 37], [46], [40, 42, 43], [57, 45, 47], [53, 49, 50, 51, 48], [52, 55], [56, 61], [58, 62, 65], [71, 64, 66, 67, 78, 68, 69, 70, 74, 72, 73], [76, 77, 75, 79, 82, 81, 80, 87], [83], [84, 85, 86, 88]]
11: [[38, 5, 7], [2, 22, 13, 1, 12], [3, 4], [6, 10, 9, 8, 27], [14, 15], [11, 17, 26, 21, 20], [24, 16, 23, 18, 19], [28, 25, 29], [59, 30], [60, 41, 63, 33, 31], [54, 35, 36, 32, 34, 39, 44, 37, 46, 40, 42, 43, 57, 45, 47, 53, 49, 48, 50, 51, 55, 52, 58, 56, 61, 62], [65, 71, 64, 66, 67], [78, 68, 69, 70, 74, 72, 73, 76, 77, 75, 79, 82, 81, 80, 87, 83, 84, 85, 86, 88]]
12: [[38, 5, 7], [2, 22, 13, 1, 12], [3, 4], [6, 10, 9, 8, 27], [14, 15], [11, 17, 26, 21, 20], [24, 16, 23, 18], [19, 28, 25, 29, 59], [30, 60, 41, 63], [33, 31, 54, 35, 36, 32, 34, 39], [44, 37, 46, 40, 42], [43, 57, 45, 47, 48, 55, 49, 50, 51, 52, 53, 56, 58, 61, 62, 65, 71, 64, 66, 67, 78], [68, 69, 70, 74, 72, 73, 76, 77, 75, 79, 82, 81, 80, 87, 83, 84, 85, 86, 88]]
13: [[38, 5, 7], [2, 22, 13, 1, 12], [3, 4], [6, 10, 9, 8, 27], [14, 15], [11, 17, 26], [21, 20], [24, 16, 23, 18, 19], [28, 25, 29, 59, 30], [60, 41, 63], [33, 31, 54, 35, 36], [32, 34, 39, 44, 37], [46, 40], [42, 43, 57, 45, 47], [50, 49, 51, 52, 55], [48, 53, 62, 58, 61], [56, 65, 71, 64], [66, 67], [78, 68], [69, 70, 74, 72], [73, 76, 77, 75, 79, 82, 81, 80, 87, 83, 84, 85, 86, 88]]
14: [[38, 5, 7], [2, 22, 13, 1, 12], [3, 4], [6, 10, 9, 8, 27], [14, 15], [11, 17, 26, 21, 20], [24, 16, 23], [18, 19], [28, 25, 29, 59, 30], [60, 41], [63, 33, 31, 54, 35], [36, 32, 34], [39, 44], [37, 46, 40, 42, 43], [57, 45], [47, 48, 53, 50, 49], [55, 51, 52, 58, 56], [62, 61, 65], [71, 64, 66, 67, 78, 68, 69, 70, 74, 72, 73, 76, 77, 75], [79, 82, 81, 80, 87, 83, 84, 85, 86, 88]]
15: [[38, 5, 7], [2, 22, 13, 1, 12], [3, 4], [6, 10, 9, 8, 27], [14, 15], [11, 17, 26, 21, 20], [24, 16, 23, 18, 19], [28, 25], [29, 59, 30, 60, 41], [63, 33], [31, 54, 35, 36], [32, 34, 39, 44, 37, 46], [40, 42, 43, 57, 45], [47, 56, 52, 50, 49], [48, 51], [55, 53, 61, 58, 62], [65, 71], [64, 66, 67], [78, 68, 69, 70, 74, 72, 73, 76, 77, 75, 79], [82, 81, 80, 87, 83, 84, 85, 86], [88]]
16: [[38, 5, 7], [2, 22, 13, 1, 12], [3, 4], [6, 10, 9, 8, 27], [14, 15], [11, 17, 26, 21, 20], [24, 16, 23, 18, 19], [28, 25], [29, 59, 30, 60, 41], [63, 33], [31, 54, 35, 36], [32, 34, 39, 44, 37, 46], [40, 42, 43, 57, 45], [47, 56, 52, 50, 49], [48, 51], [55, 53, 61, 58, 62], [65, 71], [64, 66, 67], [78, 68, 69, 70, 74, 72, 73, 76, 77, 75, 79], [82, 81, 80, 87, 83, 84, 85, 86], [88]]
17: [[38, 5, 7], [2, 22, 13, 1, 12], [3, 4], [6, 10, 9, 8, 27], [14, 15], [11, 17, 26, 21, 20], [24, 16, 23, 18, 19], [28, 25], [29, 59, 30, 60, 41], [63, 33], [31, 54, 35, 36], [32, 34, 39, 44, 37, 46], [40, 42, 43, 57, 45], [47, 56, 52, 48, 49], [50, 51], [55, 62, 53, 61, 58], [65, 71], [64, 66, 67, 78], [68, 69, 70, 74, 72, 73, 76, 77, 75, 79, 82, 81, 80, 87, 83, 84, 85, 86, 88]]
18: [[38, 5, 7], [2, 22, 13, 1, 12], [3, 4, 6, 10, 9], [8, 27, 14, 15, 11], [17, 26, 21], [20, 24, 16, 23, 18], [19, 28, 25, 29, 59], [30, 60, 41], [63, 33], [31, 54], [35, 36], [32], [34, 39, 44], [37, 46, 40, 42, 43], [57, 45, 47, 51, 53], [48, 49, 50, 55, 52, 56], [61, 58, 62], [65, 71, 64, 66, 67], [78, 68, 69, 70, 74], [72, 73, 76, 77, 75], [79, 82], [81, 80, 87, 83], [84, 85, 86, 88]]
19: [[38, 5, 7], [2, 22, 13, 1, 12], [3, 4], [6, 10, 9, 8, 27], [14, 15], [11, 17, 26, 21, 20], [24, 16, 23, 18, 19], [28, 25, 29], [59, 30], [60, 41], [63, 33, 31, 54, 35, 36, 32, 34], [39, 44, 37, 46, 40, 42, 43, 57], [45, 47, 52, 51, 48], [50, 53, 49, 55, 58, 56, 61, 62, 65, 71, 64, 66, 67, 78, 68, 69, 70, 74, 72, 73, 76, 77, 75, 79, 82, 81, 80, 87, 83, 84, 85, 86, 88]]
20: [[38, 5, 7], [2, 22, 13, 1, 12], [3, 4], [6, 10, 9], [8, 27, 14, 15, 11], [17, 26], [21, 20, 24, 16, 23], [18, 19], [28, 25, 29, 59, 30], [60, 41, 63], [33, 31, 54], [35, 36], [32], [34, 39], [44, 37, 46, 40, 42], [43, 57, 45, 47, 48], [53, 50, 51, 55, 52], [56, 49, 58, 61, 62], [65, 71, 64, 66], [67, 78], [68, 69], [70, 74, 72, 73, 76], [77, 75], [79, 82], [81, 80], [87, 83], [84, 85, 86, 88]]
21: [[38, 5, 7], [2, 22, 13, 1, 12], [3, 4], [6, 10, 9, 8, 27], [14, 15], [11, 17, 26, 21], [20, 24, 16, 23, 18, 19], [28, 25, 29, 59, 30], [60, 41, 63, 33, 31], [54, 35, 36, 32, 34, 39, 44, 37, 46, 40, 42, 43, 57, 45, 47, 48, 49, 50, 52, 51, 55, 53, 56, 58, 62, 61, 65, 71, 64, 66], [67, 78, 68, 69, 70, 74, 72, 73, 76, 77, 75, 79, 82, 81, 80, 87, 83, 84, 85, 86, 88]]
22: [[38, 5, 7], [2, 22, 13, 1, 12], [3, 4], [6, 10, 9, 8, 27], [14, 15], [11, 17, 26, 21, 20], [24, 16, 23, 18, 19], [28, 25, 29], [59, 30, 60, 41], [63, 33, 31], [54, 35, 36, 32, 34], [39, 44], [37, 46, 40, 42, 43], [57, 45], [47, 48, 51, 50, 52], [55, 61, 53, 49, 58], [62, 56, 65, 71], [64, 66, 67, 78, 68], [69, 70, 74, 72], [73, 76, 77, 75], [79, 82, 81, 80, 87, 83], [84, 85, 86, 88]]
23: [[38, 5, 7], [2, 22, 13, 1, 12], [3, 4], [6, 10, 9, 8, 27], [14, 15], [11, 17, 26, 21, 20], [24, 16, 23, 18, 19], [28, 25, 29], [59, 30, 60], [41, 63], [33, 31, 54, 35, 36, 32], [34, 39, 44], [37, 46], [40, 42], [43, 57, 45, 47, 52, 48], [50, 49, 55, 51, 53], [56, 58, 61, 62, 65, 71, 64, 66, 67, 78, 68, 69, 70, 74, 72, 73, 76, 77, 75, 79, 82, 81, 80, 87, 83, 84, 85, 86, 88]]
24: [[38, 5, 7], [2, 22, 13, 1, 12], [3, 4], [6, 10, 9, 8, 27], [14, 15], [11, 17, 26, 21, 20], [24, 16, 23, 18, 19], [28, 25, 29], [59, 30], [60, 41, 63, 33, 31, 54, 35, 36, 32, 34, 39, 44, 37, 46, 40, 42, 43, 57, 45, 47, 49, 55, 48, 50, 51, 52, 53, 56, 58, 62, 61, 65, 71, 64, 66, 67, 78, 68, 69, 70, 74, 72, 73, 76, 77, 75, 79, 82, 81, 80, 87, 83, 84, 85, 86, 88]]
