0: [[1, 13, 2], [3, 6, 4, 5], [19, 15, 9, 8], [7, 11, 10, 14], [12, 20, 18, 17, 16], [23, 22, 21, 24]]
1: [[1, 13, 2], [3, 6, 4, 5], [19, 15, 9, 8], [7, 11, 10, 14], [12, 20, 18, 17, 16], [23, 22, 21, 24]]
2: [[1, 13, 2], [3, 6, 4, 5], [19, 15, 9, 8], [7, 11, 10, 14], [12, 20, 18, 17, 16], [23, 22, 21, 24]]
3: [[1, 13, 2], [3, 6, 4, 5, 19], [15, 9, 8], [7, 11, 10, 14], [12, 20, 18, 17, 16], [23, 22, 21, 24]]
4: [[2, 1], [6, 4, 5, 19], [15, 9, 8, 13], [7, 11, 10, 14], [12, 20, 18, 17, 16, 3], [23, 22, 21, 24]]
5: [[2, 1], [6, 4, 5, 19], [15, 9, 8, 13], [7, 11, 10, 14], [12, 20, 18, 17, 16, 3], [23, 22, 21, 24]]
6: [[2, 1], [6, 4, 5, 19], [15, 9, 8, 13], [7, 11, 10, 14], [12, 20, 18, 17, 16, 3], [23, 22, 21, 24]]
7: [[2, 1], [6, 4, 5, 19], [15, 9, 8, 13], [7, 11, 10, 14], [12, 20, 18, 17, 16, 3], [23, 22, 21, 24]]
8: [[2, 1], [6, 4, 5, 13], [19, 15, 9, 8], [7, 11, 10, 14], [12, 20, 18, 17, 16, 3], [23, 22, 21, 24]]
9: [[2, 1], [6, 4, 5, 13], [19, 15, 9, 8], [7, 11, 10, 14], [12, 20, 18, 17, 16, 3], [23, 22, 21, 24]]
10: [[2, 1], [6, 4, 5, 13], [19, 15, 9, 8], [7, 11, 10, 14], [12, 20, 18, 17, 16, 3], [23, 22, 21, 24]]
11: [[1, 13, 2], [3, 6, 4], [5, 19, 15, 9, 8], [7, 11, 10, 14], [12, 20, 18, 17, 16], [23, 22, 21, 24]]
12: [[1, 13, 2], [3, 6, 4], [5, 19, 15, 9, 8], [7, 11, 10, 14], [12, 20, 18, 17, 16], [23, 22, 21, 24]]
13: [[1, 13, 2], [3, 6, 4], [5, 19, 15, 9, 8], [7, 11, 10, 14], [12, 20, 18, 17, 16], [23, 22, 21, 24]]
14: [[2, 1, 13], [6, 4, 5, 19], [15, 9, 8, 7, 11], [10, 14, 12, 20], [18, 17, 16, 3], [23, 22, 21, 24]]
15: [[2, 1], [6, 4, 5, 19], [15, 9, 8, 13], [7, 11, 10, 14, 12], [20, 18, 17, 16, 3], [23, 22, 21, 24]]
16: [[1, 13, 2], [3, 6, 4, 5], [19, 15, 9, 8], [7, 11, 10], [14, 12, 20, 18, 17, 16], [23, 22, 21, 24]]
17: [[1, 13, 2], [3, 6, 4, 5], [19, 15, 9, 8], [7, 11, 10], [14, 12, 20, 18, 17, 16], [23, 22, 21, 24]]
18: [[13, 2, 1, 6], [4, 5, 19, 15], [9, 8, 7, 11], [10, 14, 12, 20], [18, 17, 16, 3], [23, 22, 21, 24]]
19: [[1, 13, 2, 3, 6], [4, 5, 19, 15], [9, 8], [7, 11, 10, 14], [12, 20, 18, 17, 16], [23, 22, 21, 24]]
20: [[1, 13, 2], [3, 6], [4, 5, 19, 15], [9, 8, 7, 11, 10, 14], [12, 20, 18, 17, 16], [23, 22, 21, 24]]
21: [[13, 2, 1, 6], [4, 5, 19], [15, 9, 8, 7], [11, 10, 14, 12, 20], [18, 17, 16, 3], [23, 22, 21, 24]]
22: [[2, 1], [6, 4, 5, 19], [15, 9, 8, 13], [7, 11, 10], [14, 12, 20, 18, 17, 16, 3], [23, 22, 21, 24]]
23: [[2, 1], [6, 4, 5, 13], [19, 15, 9, 8], [7, 11, 10], [14, 12, 20, 18, 17, 16, 3], [23, 22, 21, 24]]
24: [[2, 1, 13], [6, 4, 5, 19], [15, 9, 8, 7], [11, 10, 14], [12, 20, 18, 17, 16, 3], [23, 22, 21, 24]]
25: [[2, 1, 13], [6, 4, 5, 19], [15, 9, 8, 7], [11, 10, 14], [12, 20, 18, 17, 16, 3], [23, 22, 21, 24]]
26: [[2, 1], [6, 4, 5, 13], [19, 15, 9, 8, 7], [11, 10, 14, 12, 20], [18, 17, 16, 3], [23, 22, 21, 24]]
27: [[13, 2, 1, 6], [4, 5, 19], [15, 9, 8, 7], [11, 10, 14, 12], [20, 18, 17, 16, 3], [23, 22, 21, 24]]
28: [[2, 1], [6, 4, 5, 19, 15], [9, 8, 7, 13], [11, 10, 14, 12, 20], [18, 17, 16, 3], [23, 22, 21, 24]]
29: [[1, 13, 2], [3, 6, 4, 5], [19, 15, 9, 8, 7], [11, 10, 14, 12], [20, 18, 17, 16], [23, 22, 21, 24]]
30: [[13, 2, 6], [4, 5, 19, 15, 9, 1], [8, 7, 11], [10, 14, 12, 20], [18, 17, 16, 3], [23, 22, 21, 24]]
31: [[1, 13, 2], [3, 6, 4, 5], [19, 15, 9], [8, 7, 11, 10, 14], [12, 20, 18, 17, 16], [23, 22, 21, 24]]
32: [[2, 1], [6, 4, 5, 19, 13], [15, 9, 8, 7], [11, 10, 14, 12], [20, 18, 17, 16, 3], [23, 22, 21, 24]]
33: [[2, 1], [6, 4, 5, 19, 15], [9, 8, 7, 13], [11, 10, 14], [12, 20, 18, 17, 16, 3], [23, 22, 21, 24]]
34: [[13, 2, 1, 6], [4, 5, 19, 15], [9, 8, 7], [11, 10, 14], [12, 20, 18, 17, 16, 3], [23, 22, 21, 24]]
35: [[13, 2, 1, 6], [4, 5, 19, 15], [9, 8, 7], [11, 10, 14, 12], [20, 18, 17, 16, 3], [23, 22, 21, 24]]
36: [[13, 2, 1, 6], [4, 5, 19, 15], [9, 8, 7], [11, 10, 14, 12], [20, 18, 17, 16, 3], [23, 22, 21, 24]]
37: [[13, 2, 4, 1, 6], [5, 19, 15], [9, 8, 7, 11], [10, 14, 12, 20], [18, 17, 16, 3], [23, 22, 21, 24]]
38: [[2], [6, 4, 3], [5, 19, 15, 9, 1, 13], [8, 7, 11, 10, 14], [12, 20, 18, 17, 16], [23, 22, 21, 24]]
39: [[13, 2, 4, 1], [5, 19, 15, 9, 6], [8, 7], [11, 10, 14, 12], [20, 18, 17, 16, 3], [23, 22, 21, 24]]
40: [[13, 2, 4, 1], [5, 19, 15, 9, 6], [8, 7], [11, 10, 14, 12], [20, 18, 17, 16, 3], [23, 22, 21, 24]]
41: [[2, 1], [6, 4, 5, 13], [19, 15, 9, 8], [7, 11, 10, 14], [12, 20, 18, 17, 16, 23, 3], [22, 21, 24]]
42: [[2, 1], [6, 4, 5, 19], [15, 9, 8, 13], [7, 11, 10, 14, 12], [20, 18, 17, 16, 23, 3], [22, 21, 24]]
43: [[2, 1, 13], [6, 4, 5, 19], [15, 9, 8, 7, 11], [10, 14, 12], [20, 18, 17, 16, 23, 3], [22, 21, 24]]
44: [[1, 13, 2], [3, 6, 4, 5], [19, 15, 9, 8, 7], [11, 10, 14, 12], [20, 18, 17, 16, 23], [22, 21, 24]]
45: [[1, 13, 2], [3, 6, 4], [5, 19, 15, 9, 8], [7, 11], [10, 14, 12, 20, 18], [17, 16, 23, 22, 21, 24]]
46: [[2, 1], [6, 4, 5, 19, 13], [15, 9, 8, 7], [11, 10, 14, 12], [20, 18, 17, 16, 23, 3], [22, 21, 24]]
47: [[2, 6, 4, 5, 1, 13], [19, 15, 9, 8, 7, 11], [10, 14, 12], [20, 18, 17, 16, 23, 3], [22, 21, 24]]
48: [[13, 2, 1, 6], [4, 5, 19, 15], [9, 8, 7], [11, 10, 14, 12], [20, 18, 17, 16, 23, 3], [22, 21, 24]]
49: [[1, 13, 2], [3, 6, 4, 5], [19, 15, 9], [8, 7, 11, 10, 14, 12], [20, 18, 17, 16, 23], [22, 21, 24]]
