0: [[9, 6, 3, 16], [5, 1, 2, 4], [8, 15], [7, 14, 11, 10], [13, 12, 19], [17, 18, 20, 22], [21, 23, 24]]
1: [[16, 6, 3], [5, 1, 2, 4], [8, 15, 7], [14, 11, 10], [13, 12, 19], [17, 18, 20, 22, 9], [21, 23, 24]]
2: [[16, 5, 1, 9, 6, 3], [2, 4], [8, 15], [7, 14, 11, 10], [13, 12, 19], [17, 18, 20], [22, 21, 23, 24]]
3: [[16, 6, 3], [5, 1, 2, 4], [8, 15, 9], [7, 14], [11, 10], [13, 12, 19], [17, 18, 20], [22, 21, 23, 24]]
4: [[16, 5, 6, 3], [1, 2, 4], [8, 15, 7], [14, 11, 10], [13, 12], [19, 17, 9], [18, 20, 22], [21, 23, 24]]
5: [[16, 5, 6, 3], [1, 2, 4], [8, 15], [7, 14], [11, 10], [13, 12], [19, 17, 9], [18, 20, 22], [21, 23, 24]]
6: [[16, 6, 3], [5, 1, 9], [2, 4, 8, 15], [7, 14, 11, 10], [13, 12, 19, 17], [18, 20, 22], [21, 23, 24]]
7: [[9, 6], [3, 16], [5, 1, 2, 4], [8, 15, 7, 14], [11, 10, 13, 12], [19, 17, 18, 20], [22, 21, 23, 24]]
8: [[16, 5], [1, 2, 9], [4, 8, 15], [7, 14], [11, 10, 13, 6, 3], [12, 19], [17, 18], [20, 22], [21, 23, 24]]
9: [[16, 5, 1, 2, 4, 6, 3], [8, 15, 7, 14, 11, 10], [13, 12, 19, 17, 9], [18, 20], [22, 21, 23, 24]]
10: [[9], [5], [1, 2, 4, 8, 3, 16], [15, 7, 14, 11, 6], [10, 13, 12, 19], [17, 18, 20, 22], [21, 23, 24]]
11: [[9, 6], [3, 16], [5, 1, 2, 4], [8, 15, 7], [14, 11], [10, 13, 12], [19, 17, 18, 20, 22], [21, 23, 24]]
12: [[16, 5, 3], [1, 2, 9], [4, 8, 15, 7, 6], [14, 11, 10], [13, 12], [19, 17], [18, 20], [22, 21, 23, 24]]
13: [[16, 5, 1, 6, 3], [2, 4], [8, 15], [7, 14, 11], [10, 13, 12], [19, 17, 9], [18, 20], [22, 21, 23, 24]]
14: [[16, 6, 3], [5, 1, 2, 9], [4, 8, 15], [7, 14, 11, 10], [13, 12], [19, 17, 18], [20, 22, 21, 23, 24]]
15: [[16], [5, 1, 9, 6], [2, 4], [8, 15], [7, 14], [11, 10, 3], [13, 12, 19, 17], [18, 20, 22], [21, 23, 24]]
16: [[16], [5, 1, 9, 6], [2, 4], [8, 15, 7, 14], [11, 10, 3], [13, 12, 19], [17, 18, 20], [22, 21, 23, 24]]
17: [[16, 5], [1, 2, 4], [8, 15, 7], [14, 11], [10, 13, 6, 3], [12, 19], [17, 18, 9], [20, 22], [21, 23, 24]]
18: [[16, 5, 6, 3], [1, 2, 4], [8, 15, 9], [7, 14], [11, 10], [13, 12], [19, 17, 18], [20, 22, 21], [23, 24]]
19: [[9], [5], [1, 2, 4, 8, 3, 16], [15, 7, 14, 11, 10, 6], [13, 12, 19, 17], [18, 20], [22, 21, 23, 24]]
20: [[16], [5, 1, 9, 6, 3], [2, 4], [8, 15], [7, 14, 11], [10, 13, 12, 19], [17, 18, 20, 22, 21], [23, 24]]
21: [[16, 5], [1, 2, 9], [4, 8], [15, 7, 14, 11, 6], [10, 13, 12, 3], [19, 17, 18, 20], [22, 21, 23, 24]]
22: [[5, 1, 9, 6], [2, 4], [8, 15, 7], [14, 11], [10, 13, 3], [12, 19], [17, 18, 16], [20, 22], [21, 23, 24]]
