0: [[3, 56, 31, 35, 17, 32, 7, 2], [4, 45, 13, 9, 1, 23, 8, 26, 21, 6], [51, 12, 47, 5, 14, 16, 15, 11, 18, 10], [25, 40, 55, 19, 58, 60, 20, 24], [30, 42, 22, 43, 28, 36, 27], [33, 39, 29, 34, 41, 46, 37, 38, 44], [52, 49, 48, 54, 57, 50, 53, 59]]
1: [[3, 56, 31, 35, 17, 32, 7, 2], [4, 45, 13, 9, 1, 23, 8, 26, 21, 6], [51, 12, 47, 5, 14, 16, 15, 11, 18, 10], [25, 40, 55, 19, 58, 60, 20, 24], [30, 42, 22, 43, 28, 36, 27], [33, 39, 29, 34, 41, 46, 37, 38, 44], [52, 49, 48, 54, 57, 50, 53, 59]]
2: [[7, 40, 27, 35, 19, 2, 3, 4, 20, 14], [13, 5, 9, 1, 24, 8, 11, 10, 28, 15, 22, 6, 12, 17, 23, 31, 16, 30, 18, 21, 26], [29, 25, 33, 36, 32, 38, 42, 37, 39, 46, 45, 43, 44, 47], [41, 34, 48, 49, 54, 53, 51, 50, 52, 55, 57, 59, 56, 58, 60]]
3: [[7, 40, 27, 35, 19, 2, 3, 4, 20, 14], [13, 5, 9, 1, 24, 8, 11, 22, 12, 6, 10, 26, 30, 31, 16, 15, 17, 23, 18, 21, 28], [29, 25, 33, 36, 32, 38, 42, 37, 39, 46, 45, 43, 44, 47], [41, 34, 48, 49, 54, 53, 51, 50, 52, 55, 57, 59, 56, 58, 60]]
4: [[7, 40, 27, 35, 19, 2, 3, 4, 20, 14], [13, 5, 9, 1, 24, 8, 11, 26, 17, 12, 6, 15, 23, 10, 18, 16, 30, 21, 22, 31, 28], [29, 25, 33, 36, 32, 38, 42, 37, 39, 46, 45, 43, 44, 47], [41, 34, 48, 49, 54, 53, 51, 50, 52, 55, 57, 59, 56, 58, 60]]
5: [[7, 40, 27, 35, 19, 2, 3, 4, 20, 14], [13, 5, 9, 1, 24, 8, 11, 26, 17, 12, 6, 15, 23, 10, 18, 16, 30, 21, 22, 31, 28], [29, 25, 33, 36, 32, 38, 42, 37, 39, 46, 45, 43, 44, 47], [41, 34, 48, 49, 54, 53, 51, 50, 52, 55, 57, 59, 56, 58, 60]]
6: [[7, 40, 27, 35, 19, 2, 3, 4, 20, 14], [13, 5, 9, 1, 24, 8, 11, 6, 10, 26, 28, 15, 12, 16, 18, 17, 23, 30, 21, 22, 31], [29, 25, 33, 36, 32, 38, 42, 37, 39, 46, 45, 43, 44, 47], [41, 34, 48, 49, 54, 53, 51, 50, 52, 55, 57, 59, 56, 58, 60]]
7: [[7, 40, 27, 35, 19, 2, 3, 4, 20, 14], [13, 5, 9, 1, 24, 8, 11, 28, 15, 6, 18, 16, 12, 10, 17, 23, 21, 31, 26, 30, 22], [29, 25, 33, 36, 32, 38, 42, 37, 39, 46, 45, 43, 44, 47], [41, 34, 48, 49, 54, 53, 51, 50, 52, 55, 57, 59, 56, 58, 60]]
8: [[7, 40, 27, 35, 19, 2, 3, 4, 20, 14], [13, 5, 9, 1, 24, 8, 11, 10, 6, 12, 15, 31, 22, 17, 16, 23, 26, 21, 18, 30, 28], [29, 25, 33, 36, 32, 38, 42, 37, 39, 46, 45, 43, 44, 47], [41, 34, 48, 49, 54, 53, 51, 50, 52, 55, 57, 59, 56, 58, 60]]
9: [[7, 40, 27, 35, 19, 2, 3, 4, 20, 14], [13, 5, 9, 1, 24, 8, 11, 22, 6, 12, 10, 15, 16, 21, 26, 17, 18, 30, 28, 31, 23], [29, 25, 33, 36, 32, 38, 42, 37, 39, 46, 45, 43, 44, 47], [41, 34, 48, 49, 54, 53, 51, 50, 52, 55, 57, 59, 56, 58, 60]]
10: [[7, 40, 27, 35, 19, 2, 3, 4, 20, 14], [13, 5, 9, 1, 24, 8, 11, 10, 28, 23, 6, 12, 15, 30, 16, 31, 17, 18, 21, 26, 22], [29, 25, 33, 36, 32, 38, 42, 37, 39, 46, 45, 43, 44, 47], [41, 34, 48, 49, 54, 53, 51, 50, 52, 55, 57, 59, 56, 58, 60]]
11: [[7, 40, 27, 35, 19, 2, 3, 4, 20, 14], [13, 5, 9, 1, 24, 8, 11, 12, 15, 22, 28, 16, 31, 17, 18, 23, 26, 30, 10, 21, 6], [29, 25, 33, 36, 32, 38, 42, 37, 39, 46, 45, 43, 44, 47], [41, 34, 48, 49, 54, 53, 51, 50, 52, 55, 57, 59, 56, 58, 60]]
12: [[7, 40, 27, 35, 19, 2, 3, 4, 20, 14], [13, 5, 9, 1, 24, 8, 11, 12, 6, 10, 22, 18, 23, 16, 21, 15, 17, 26, 30, 28, 31], [29, 25, 33, 36, 32, 38, 42, 37, 39, 46, 45, 43, 44, 47], [41, 34, 48, 49, 54, 53, 51, 50, 52, 55, 57, 59, 56, 58, 60]]
13: [[7, 40, 27, 35, 19, 2, 3, 4, 20, 14], [13, 5, 9, 1, 24, 8, 11, 31, 28, 10, 6, 15, 22, 12, 23, 16, 17, 21, 18, 30, 26], [29, 25, 33, 36, 32, 38, 42, 37, 39, 46, 45, 43, 44, 47], [41, 34, 48, 49, 54, 53, 51, 50, 52, 55, 57, 59, 56, 58, 60]]
14: [[7, 40, 27, 35, 19, 2, 3, 4, 20, 14], [13, 5, 9, 1, 24, 8, 11, 26, 6, 10, 12, 15, 17, 23, 22, 18, 16, 21, 28, 31, 30], [29, 25, 33, 36, 32, 38, 42, 37, 39, 46, 45, 43, 44, 47], [41, 34, 48, 49, 54, 53, 51, 50, 52, 55, 57, 59, 56, 58, 60]]
15: [[7, 40, 27, 35, 19, 2, 3, 4, 20, 14], [13, 5, 9, 1, 24, 8, 11, 30, 6, 28, 10, 12, 16, 15, 18, 23, 17, 21, 26, 22, 31], [29, 25, 33, 36, 32, 38, 42, 37, 39, 46, 45, 43, 44, 47], [41, 34, 48, 49, 54, 53, 51, 50, 52, 55, 57, 59, 56, 58, 60]]
16: [[7, 40, 27, 35, 19, 2, 3, 4, 20, 14], [13, 5, 9, 1, 24, 8, 11, 30, 12, 31, 10, 6, 18, 15, 16, 23, 21, 17, 26, 22, 28], [29, 25, 33, 36, 32, 38, 42, 37, 39, 46, 45, 43, 44, 47], [41, 34, 48, 49, 54, 53, 51, 50, 52, 55, 57, 59, 56, 58, 60]]
17: [[7, 40, 27, 35, 19, 2, 3, 4, 20, 14], [13, 5, 9, 1, 24, 8, 11, 22, 31, 12, 23, 16, 18, 26, 6, 15, 17, 28, 10, 21, 30], [29, 25, 33, 36, 32, 38, 42, 37, 39, 46, 45, 43, 44, 47], [41, 34, 48, 49, 54, 53, 51, 50, 52, 55, 57, 59, 56, 58, 60]]
18: [[7, 40, 27, 35, 19, 2, 3, 4, 20, 14], [13, 5, 9, 1, 24, 8, 11, 6, 16, 22, 10, 18, 12, 17, 15, 21, 23, 30, 28, 26, 31], [29, 25, 33, 36, 32, 38, 42, 37, 39, 46, 45, 43, 44, 47], [41, 34, 48, 49, 54, 53, 51, 50, 52, 55, 57, 59, 56, 58, 60]]
19: [[7, 40, 27, 35, 19, 2, 3, 4, 20, 14], [13, 5, 9, 1, 24, 8, 11, 30, 6, 10, 16, 12, 21, 15, 17, 22, 28, 23, 18, 31, 26], [29, 25, 33, 36, 32, 38, 42, 37, 39, 46, 45, 43, 44, 47], [41, 34, 48, 49, 54, 53, 51, 50, 52, 55, 57, 59, 56, 58, 60]]
20: [[7, 40, 27, 35, 19, 2, 3, 4, 20, 14], [13, 5, 9, 1, 24, 8, 11, 26, 15, 30, 6, 18, 16, 21, 12, 17, 23, 22, 10, 28, 31], [29, 25, 33, 36, 32, 38, 42, 37, 39, 46, 45, 43, 44, 47], [41, 34, 48, 49, 54, 53, 51, 50, 52, 55, 57, 59, 56, 58, 60]]
21: [[7, 40, 27, 35, 19, 2, 3, 4, 20, 14], [13, 5, 9, 1, 24, 8, 11, 10, 12, 6, 26, 15, 23, 17, 30, 16, 18, 21, 22, 31, 28], [29, 25, 33, 36, 32, 38, 42, 37, 39, 46, 45, 43, 44, 47], [41, 34, 48, 49, 54, 53, 51, 50, 52, 55, 57, 59, 56, 58, 60]]
