0: [[22, 1, 12, 2], [7, 3, 4], [5, 6], [9, 10, 8, 27], [15, 11, 14, 41], [29, 13, 28, 20], [18, 17, 25, 21], [19, 23, 24, 16], [58, 62, 63, 26], [31, 30, 33, 32, 35], [54, 37], [42, 38], [34, 44, 36, 39, 40], [43], [47, 45, 46, 56], [50, 49, 52, 55], [48, 57, 61, 53], [59, 51], [60, 69], [65, 66, 72], [78, 64], [67, 70, 68], [71, 75, 73, 74, 77, 76], [79, 80, 81, 83, 82], [87, 84, 85, 86, 88]]
1: [[22, 1, 12, 2], [7, 3, 4], [5, 6], [9, 10, 8, 27], [15, 11, 14, 41], [29, 13, 28, 20], [18, 17, 25, 21], [19, 23, 24, 16], [58, 62, 63, 26], [31, 30, 33, 32, 35], [54, 37], [42, 38], [34, 44, 36, 39, 40], [43], [47, 45, 46, 56], [50, 49, 52, 55], [48, 57, 61, 53], [59, 51], [60, 69, 65, 66], [72, 78, 64, 67, 70], [68, 71, 75, 73, 74, 77, 76, 79, 80, 81, 83, 82, 87, 84, 85, 86, 88]]
2: [[22, 1, 12, 2], [7, 3, 4], [5, 6], [9, 10, 8, 27], [15, 11, 14, 41], [29, 13, 28, 20], [18, 17, 25, 21], [19, 23, 24, 16], [58, 62, 63, 26], [31, 30, 33, 32, 35], [54, 37], [42, 38], [34, 44, 36, 39, 40], [43], [47, 45, 46, 56, 50, 49, 52], [55, 48, 57, 61, 53, 59, 51, 60, 69, 65, 66, 72, 78, 64, 67, 70, 68], [71, 75, 73, 74, 77, 76, 79, 80, 81, 83, 82, 87, 84, 85, 86, 88]]
3: [[22, 1, 12, 2], [7, 3, 4], [5], [6, 9, 10], [8, 27], [15, 11, 14, 41], [29, 13, 28], [20], [18, 17, 25, 21], [19, 23, 24, 16], [58, 62, 63, 26], [31], [30, 33, 32, 35], [54, 37], [42, 38, 34, 44], [36, 39, 40, 43], [47, 45, 46, 56], [50, 49, 52, 55], [48, 57, 61, 53], [59, 51, 60, 69], [65], [66, 72, 78, 64], [67, 70, 68, 71], [75, 73, 74, 77], [76, 79, 80, 81, 83], [82], [87, 84, 85, 86, 88]]
4: [[22, 1, 12, 2], [7, 3, 4], [5, 6], [9, 10, 8, 27], [15, 11, 14, 41], [29, 13, 28, 20], [18, 17, 25, 21], [19, 23, 24, 16], [58, 62, 63, 26], [31, 30, 33, 32], [35, 54], [37, 42, 38], [34, 44], [36, 39, 40, 43], [47, 45, 46, 56], [50, 49, 52, 55], [48, 57, 61], [53, 59, 51, 60, 69], [65, 66, 72, 78, 64, 67, 70, 68, 71, 75], [73, 74, 77, 76, 79, 80, 81, 83, 82, 87, 84, 85, 86, 88]]
5: [[22, 1, 12, 2], [7, 3, 4], [5, 6], [9, 10, 8, 27], [15, 11, 14, 41], [29, 13, 28, 20], [18, 17, 25, 21], [19, 23, 24, 16], [58, 62, 63, 26], [31, 30, 33, 32], [35, 54, 37], [42, 38, 34, 44], [36, 39, 40, 43], [47, 45, 46, 56], [50, 49, 52, 55], [48, 57, 61, 53], [59, 51, 60, 69], [65, 66, 72], [78, 64], [67, 70, 68], [71, 75], [73, 74, 77], [76, 79, 80, 81, 83, 82], [87, 84, 85, 86, 88]]
6: [[22, 1, 12, 2], [7, 3, 4], [5, 6], [9, 10, 8, 27], [15, 11, 14, 41], [29, 13, 28], [20, 18, 17, 25], [21, 19], [23, 24, 16], [58, 62, 63, 26], [31, 30, 33], [32, 35, 54, 37], [42, 38], [34], [44, 36], [39, 40, 43], [47, 45, 46, 56], [50, 49, 52], [55], [48, 57, 61, 53, 59, 51, 60, 69, 65, 66, 72, 78, 64, 67, 70, 68], [71, 75, 73, 74, 77, 76, 79, 80, 81, 83, 82, 87, 84, 85, 86, 88]]
7: [[22, 1, 12], [2, 7], [3, 4, 5, 6], [9, 10, 8, 27], [15, 11, 14, 41], [29, 13, 28, 20], [18, 17, 25, 21], [19, 23, 24, 16], [58, 62, 63, 26], [31], [30, 33, 32, 35], [54, 37, 42, 38], [34, 44, 36, 39], [40, 43, 47, 45], [46], [56, 50, 49, 52], [55, 48, 57, 61], [53, 59, 51, 60], [69, 65, 66], [72, 78], [64, 67, 70, 68], [71, 75, 73], [74, 77, 76, 79, 80, 81, 83, 82, 87, 84, 85, 86, 88]]
8: [[22, 1, 12], [2, 7], [3, 4, 5, 6], [9, 10, 8, 27], [15, 11, 14, 41], [29, 13, 28, 20], [18, 17, 25, 21], [19, 23, 24, 16], [58, 62, 63, 26], [31], [30, 33, 32, 35], [54, 37, 42, 38], [34, 44, 36, 39], [40, 43, 47, 45], [46], [56, 50, 49, 52], [55, 48, 57, 61], [53, 59, 51, 60], [69, 65, 66], [72, 78, 64, 67], [70, 68], [71, 75, 73], [74, 77, 76], [79, 80, 81], [83, 82, 87, 84], [85, 86, 88]]
9: [[22, 1, 12, 2], [7, 3, 4], [5, 6], [9, 10, 8, 27], [15, 11, 14, 41], [29, 13, 28, 20], [18, 17, 25, 21], [19, 23, 24, 16], [58, 62, 63, 26], [31, 30, 33, 32, 35], [54, 37, 42, 38], [34, 44, 36, 39], [40, 43, 47], [45, 46], [56, 50, 49, 52, 55, 48, 57], [61, 53, 59, 51, 60, 69, 65, 66, 72, 78, 64, 67, 70, 68, 71, 75, 73, 74, 77, 76, 79], [80, 81, 83, 82, 87, 84, 85, 86, 88]]
10: [[22, 1, 12, 2], [7, 3, 4], [5, 6], [9, 10, 8, 27], [15, 11, 14, 41], [29, 13, 28, 20], [18, 17, 25, 21], [19, 23, 24, 16], [58, 62, 63, 26], [31, 30, 33], [32, 35, 54, 37], [42, 38], [34, 44, 36], [39, 40, 43, 47], [45, 46, 56], [50, 49, 52, 55], [48, 57], [61], [53, 59], [51, 60, 69], [65, 66, 72, 78], [64, 67, 70], [68], [71, 75, 73, 74, 77, 76, 79, 80, 81, 83, 82, 87, 84, 85, 86, 88]]
