0: [[5, 3, 19, 20, 6, 1, 2, 10], [12, 14, 4, 13, 11, 7, 9, 8, 15], [25], [16, 23, 22, 18, 29, 17], [27, 26, 21], [24, 28]]
1: [[5, 3, 19, 20], [2, 1, 14, 15, 13, 7, 8, 6, 12, 9, 4, 10, 11, 17, 16], [22, 23, 18, 29, 25], [27, 21, 26, 24, 28]]
2: [[5, 3, 19, 20, 11, 1, 10, 2], [6, 4, 7, 9, 13, 8, 12, 15, 18, 16, 22, 17, 23, 24], [25, 27, 21, 26, 29, 28, 14]]
3: [[5, 3, 19, 20, 2], [10], [1, 6, 4, 15, 11, 8, 13], [7, 9, 12, 14, 17, 16], [22, 23, 18, 29, 25, 27], [26, 21], [28, 24]]
4: [[5, 3, 19, 20, 6, 1, 10], [2], [13, 4, 7, 15, 11, 9, 12], [8, 25, 16, 17, 23, 22, 14], [18], [21, 27, 24, 29, 26, 28]]
5: [[5, 3, 19, 20], [2, 8, 6, 7, 1, 4, 15, 9, 13], [14, 11, 10, 12, 17, 16, 18, 22, 23], [29], [21, 25, 26, 27, 24, 28]]
6: [[5, 3, 19, 20, 2], [1], [4, 6, 8, 7, 10, 12, 14], [9, 11, 13, 15, 17, 16], [23, 22], [18, 21, 24, 27, 26], [25, 28, 29]]
7: [[5, 3, 19, 20, 11], [9, 2, 1, 4, 6, 7, 8, 12, 14], [10, 13, 15, 25, 16, 17, 22, 18, 28], [23], [21, 27, 29, 24, 26]]
8: [[5, 3, 19, 20, 2], [1], [9], [7, 4, 8, 12, 6, 11, 10, 14, 13, 15], [17, 18, 22, 23, 16], [29, 21, 27, 24, 25, 26, 28]]
9: [[5, 3, 19, 20, 6, 1, 2, 10], [13, 4, 12, 7, 15, 9], [8], [14, 11, 25, 18, 16, 21, 17, 22, 23], [27, 24, 29, 26, 28]]
10: [[5, 3, 19, 20, 2], [1, 14, 6, 4, 12, 7, 8, 10, 9, 11, 15, 13, 17, 16, 22, 18, 21, 23, 29, 24], [28, 27, 25, 26]]
11: [[5, 3, 19, 20, 10, 1, 6, 7, 12, 4], [2, 8, 13, 14, 11, 9, 15, 17, 16], [18, 22, 23, 29, 21, 24, 25, 27, 26, 28]]
12: [[5, 3, 19, 20, 6, 1, 10], [7, 12, 8, 4, 2], [9, 13, 11, 14, 15, 17, 16, 22, 23, 18, 25, 21, 27, 26, 24, 28, 29]]
13: [[5, 3, 19, 20, 14, 1, 2], [6, 12, 4, 10, 7, 15, 9, 8, 11, 13, 17], [16, 21, 22, 18, 29, 25, 27, 24, 23, 28, 26]]
14: [[5, 3, 19, 20, 2, 1, 4, 7, 12], [6, 10, 11, 15, 9, 14, 8, 13, 17], [16, 22, 21, 18, 23, 25], [27, 26, 24, 28, 29]]
15: [[5, 3, 19, 20, 2, 1, 6, 7], [12, 9, 8, 4, 11, 13], [10, 14, 15], [25, 24, 18], [16, 21, 17, 22, 23, 26, 29, 27, 28]]
16: [[5, 3, 19, 20, 4, 1], [6, 2, 7, 12, 8], [9, 15, 10, 14, 11, 13, 17], [16, 21, 22, 18, 25, 23], [26, 24, 27, 29, 28]]
17: [[5, 3, 19, 20, 2, 1, 4, 7], [8, 6, 14, 12, 11, 9], [10, 13], [15, 17, 16, 21, 18], [22, 23, 25], [27, 24, 26, 28, 29]]
18: [[5, 3, 19, 20, 6], [1, 2], [11, 12, 4, 7, 8, 9], [14, 13, 10, 15], [25, 18, 17, 21, 16, 22], [23], [27, 24, 26, 28, 29]]
19: [[5, 3, 19, 20, 2, 1, 6, 14], [12, 4, 7, 9, 8], [11], [13, 10, 15, 17, 16, 23], [21, 18, 29, 28, 22], [26, 24, 25, 27]]
20: [[5], [3, 19, 20, 11, 9, 14], [1, 4, 2, 13, 8, 6, 10], [7, 12, 15, 17, 16, 18, 23, 22, 28], [21], [27, 25, 24, 29, 26]]
21: [[5, 3, 19, 20, 14], [1], [2, 6, 12, 4, 15, 7, 9, 10, 8], [11, 13, 25, 16, 17, 23], [18, 22, 27], [21, 26, 29, 24, 28]]
22: [[5], [3, 19, 20, 2, 9, 10, 8, 4, 6, 1, 12, 7, 14, 11, 13, 15, 17, 16, 18, 22, 21, 29, 23, 25, 26, 27, 24, 28]]
23: [[5], [3, 19, 20, 6, 1, 4, 2, 12, 7, 15, 13, 8, 9, 11, 10, 14, 17, 16, 23, 21, 18, 29, 25, 27, 26, 22, 24, 28]]
24: [[5, 3, 19, 20], [2, 1], [6, 15, 13, 7], [4, 10, 8, 11, 9, 14, 12], [17, 16, 22, 23, 18, 29, 21], [27, 25, 26, 24, 28]]
25: [[5, 3, 19, 20], [2, 1, 6, 9, 12, 7, 4, 14, 8], [11], [13, 15, 10, 17], [22, 23, 16, 18, 29, 21, 25], [24], [27, 26, 28]]
26: [[5, 3, 19, 20, 2], [1, 11, 14], [7, 8, 12, 9, 4], [6, 15, 13, 17, 10, 18, 23, 22, 16, 24, 21, 25, 26, 27, 28, 29]]
27: [[5, 3, 19, 20], [2, 1, 14, 6, 4, 12], [13, 7, 11, 9], [8, 15, 10, 17, 16, 23, 22], [18, 29, 21, 26, 28, 27], [24, 25]]
28: [[5, 3, 19, 20, 2], [1], [14, 6, 8, 12, 10, 4, 7, 11], [9, 13, 15, 17, 16, 23], [22, 18, 21, 24], [27, 26, 25, 28, 29]]
29: [[5, 3, 19, 20], [2, 1, 6, 10, 12, 13, 8], [4, 7, 9, 14, 11, 15], [17, 16], [21, 22, 18, 23, 29, 24, 28, 26, 27, 25]]
