0: [[7, 2, 5, 10, 8], [3, 1, 6, 4], [13, 11, 12, 9], [15, 16, 18, 14, 19, 20, 17]]
1: [[7, 2, 5, 10, 8], [3, 1, 6, 4], [13, 11, 12, 9], [15, 16, 18, 14, 19, 20, 17]]
2: [[7, 2, 5, 10, 8], [3, 1, 6, 4], [13, 11, 12, 9], [15, 16, 18, 14, 19, 20, 17]]
3: [[7, 2, 5, 10, 8], [3, 1, 6, 4], [13, 11, 12, 9], [15, 16, 18, 14, 19, 20, 17]]
4: [[7, 2, 5, 10, 8], [3, 1, 6, 4], [13, 11, 12, 9], [15, 16, 18, 14, 19, 20, 17]]
5: [[7, 2, 5, 10, 8], [3, 1, 6, 4], [13, 11, 12, 9], [15, 16, 18, 14, 19, 20, 17]]
6: [[7, 2, 5, 10, 8], [3, 1, 6, 4], [13, 11, 12, 9], [15, 16, 18, 14, 19, 20, 17]]
7: [[7, 2, 5, 10, 8], [3, 1, 6, 4], [13, 11, 12, 9], [15, 16, 18, 14, 19, 20, 17]]
8: [[7, 2, 5, 10, 8], [3, 1, 6, 4], [13, 11, 12, 9], [15, 16, 18, 14, 19, 20, 17]]
9: [[7, 2, 5, 10, 8], [3, 1, 6, 4], [13, 11, 12, 9], [15, 16, 18, 14, 19, 20, 17]]
10: [[7, 2, 5, 10, 8], [3, 1, 6, 4], [13, 11, 12, 9], [15, 16, 18, 14, 19, 20, 17]]
11: [[7, 2, 5, 10, 8], [3, 1, 6, 4], [13, 11, 12, 9], [15, 16, 18, 14, 19, 20, 17]]
12: [[7, 2, 5, 10, 8], [3, 1, 6, 4], [13, 11, 12, 9], [15, 16, 18, 14, 19, 20, 17]]
13: [[7, 2, 5, 10, 8], [3, 1, 6, 4], [13, 11, 12, 9], [15, 16, 18, 14, 19, 20, 17]]
14: [[7, 2, 5, 10, 8], [3, 1, 6, 4], [13, 11, 12, 9], [15, 16, 18, 14, 19, 20, 17]]
15: [[7, 2, 5, 10, 8], [3, 1, 6, 4], [13, 11, 12, 9], [15, 16, 18, 14, 19, 20, 17]]
16: [[7, 2, 5, 10, 8], [3, 1, 6, 4], [13, 11, 12, 9], [15, 16, 18, 14, 19, 20, 17]]
17: [[7, 2, 5, 10, 8], [3, 1, 6, 4], [13, 11, 12, 9], [15, 16, 18, 14, 19, 20, 17]]
18: [[7, 2, 5, 10, 8], [3, 1, 6, 4], [13, 11, 12, 9], [15, 16, 18, 14, 19, 20, 17]]
19: [[7, 2, 5, 10, 8], [3, 1, 6, 4], [13, 11, 12, 9], [15, 16, 18, 14, 19, 20, 17]]
20: [[7, 2, 5, 10, 8], [3, 1, 6, 4], [13, 11, 12, 9], [15, 16, 18, 14, 19, 20, 17]]
21: [[7, 2, 5, 10], [8, 3, 1, 6, 4], [13, 11, 12, 9], [15, 16, 18, 14, 19, 20, 17]]
22: [[7, 2, 5, 10], [8, 3, 1, 6, 4], [11, 12, 13, 9], [15, 16, 18, 14, 19, 20, 17]]
23: [[7, 2, 5, 10], [8, 3, 1, 6, 4], [13, 11, 12, 9], [15, 16, 18, 14, 19, 20, 17]]
24: [[7, 2, 5, 10], [8, 3, 1, 6, 4], [13, 11, 12, 9], [15, 16, 18, 14, 19, 20, 17]]
25: [[7, 2, 5, 10], [8, 3, 1, 6, 4], [13, 11, 12, 9], [15, 16, 18, 14, 19, 20, 17]]
26: [[7, 2, 5, 10], [8, 3, 1, 6, 4], [13, 11, 12, 9], [15, 16, 18, 14, 19, 20, 17]]
27: [[7, 2, 5, 10], [8, 3, 1, 6, 4], [13, 11, 12, 9], [15, 16, 18, 14, 19, 20, 17]]
28: [[7, 2, 5, 10], [8, 3, 1, 6, 4], [13, 11, 12, 9], [15, 16, 18, 14, 19, 20, 17]]
29: [[7, 2, 5, 10], [8, 3, 1, 6, 4], [13, 11, 12, 9], [15, 16, 18, 14, 19, 20, 17]]
30: [[7, 2, 5, 10], [8, 3, 1, 6, 4], [13, 11, 12, 9], [15, 16, 18, 14, 19, 20, 17]]
31: [[7, 2, 5, 10], [8, 3, 1, 6, 4], [13, 11, 12, 9], [15, 16, 18, 14, 19, 20, 17]]
32: [[7, 2, 5, 10], [8, 3, 1, 6, 4], [13, 11, 12, 9], [15, 16, 18, 14, 19, 20, 17]]
33: [[7, 2, 5, 10], [8, 3, 1, 6, 4], [13, 11, 12, 9], [15, 16, 18, 14, 19, 20, 17]]
34: [[7, 2, 5, 10], [8, 3, 1, 6, 4], [13, 11, 12, 9], [15, 16, 18, 14, 19, 20, 17]]
35: [[7, 2, 5, 10], [8, 3, 1, 6], [4, 13, 11, 12, 9], [15, 16, 18, 14, 19, 20, 17]]
36: [[7, 2, 5, 10], [8, 3, 1, 6], [13, 12, 11, 4, 9], [15, 16, 18, 14, 19, 20, 17]]
37: [[7, 2, 5, 10], [8, 3, 1, 6], [11, 13, 12, 4, 9], [15, 16, 18, 14, 19, 20, 17]]
38: [[7, 2, 5, 10], [8, 3, 1, 6], [4, 13, 11, 12, 9], [15, 16, 18, 14, 19, 20, 17]]
39: [[7, 2, 5, 10], [8, 3, 1, 6], [4, 13, 11, 12, 9], [15, 16, 18, 14, 19, 20, 17]]
40: [[7, 2, 5, 10], [8, 3, 1, 6], [4, 13, 11, 12, 9], [15, 16, 18, 14, 19, 20, 17]]
41: [[7, 2, 5, 10, 8], [3, 1, 6, 12], [11, 13, 4, 9], [15, 16, 18, 14, 19, 20, 17]]
