0: [[35, 7, 2], [4, 3, 1], [13, 5, 6, 21], [8, 27, 9, 14, 30, 12, 17, 15, 16, 11, 10], [19, 23, 22], [28, 26, 20, 24, 25, 31, 29, 60, 36, 32, 33, 37], [38, 44, 47, 34, 40, 43, 18], [46], [41, 52, 39], [50, 42, 53, 45], [56, 55, 48], [57, 49], [51, 54, 58, 59]]
1: [[35, 7, 2], [4, 3, 1], [13, 21, 5], [6, 8, 9, 10, 11, 12, 27, 14, 15, 25, 17, 20], [19, 18, 26, 22, 29, 23, 28, 24, 16, 30, 31, 45, 56], [36, 55, 37, 34, 38, 33, 39, 32, 46, 42, 41, 40, 43, 47], [50, 44, 58, 48, 51, 54], [52, 57, 49, 53, 59, 60]]
2: [[35, 7, 2], [4, 3, 1], [13, 21, 5], [6, 10, 9, 26, 15, 11, 27, 12, 8, 24, 19, 16], [23, 14, 18, 17, 30, 25, 20, 29, 22, 31, 28, 41, 40], [33, 54, 39, 38, 32, 37, 34, 36, 46, 43, 45, 44, 42, 47], [51, 58, 48, 50, 55, 52], [56, 59, 53, 49, 57, 60]]
3: [[35, 7, 2], [4, 3, 1], [13, 21, 6], [5, 8, 9], [15, 14, 30, 10, 17, 11, 16, 18, 22], [12, 31, 20, 28, 19, 23, 24, 25, 27], [26, 29, 37, 32, 43, 47, 42, 38], [33, 41, 36, 40, 34, 39, 44, 49, 46, 51, 50, 45, 53, 52, 48, 55, 57, 54, 56, 59, 58, 60]]
4: [[35, 7, 2], [4, 3, 1], [13, 21, 5, 23], [8, 11, 6, 12, 9, 17, 15, 10, 19, 14, 16, 18, 22, 20, 26, 27, 24, 29, 30, 25, 28, 55, 36, 48, 33, 31, 32, 34, 39, 38, 40, 41, 44, 46, 47, 37, 42, 43, 45, 51, 50, 53], [49, 52, 54, 56, 57, 59], [60, 58]]
5: [[35, 7, 2], [4, 3, 1], [13, 21, 6], [9, 8, 11], [5, 10, 15, 12, 22, 17, 24, 18], [23, 19, 31, 14, 16], [29, 20, 27, 28, 25, 26, 53, 37], [34, 41, 45, 30, 32, 40, 33, 36, 39], [46, 47, 43, 56, 42, 51, 38, 44], [48, 60, 50, 49, 59, 55, 57, 54, 52, 58]]
6: [[35, 7, 2], [4, 3, 1], [13, 21, 6, 5], [12, 27, 11, 9, 10, 14, 17, 15, 16, 8, 18], [23, 19, 22, 29, 26, 20, 24, 25, 31, 28, 30, 37, 32, 33, 44, 39, 38, 41, 34, 36, 42, 54, 43, 45, 40, 47, 51, 46, 53, 50, 52, 49, 48, 55], [56, 57, 58, 59, 60]]
7: [[35, 7, 2], [4, 3, 1], [13, 21, 6], [5, 8, 9, 11, 14, 31, 10, 12, 20, 17, 24, 15, 18, 16, 19, 23, 26, 22, 27], [29, 25, 28, 52, 33, 40, 41, 36, 30, 39, 46, 42, 44, 32, 34, 45, 37], [38, 58, 43, 47, 49, 50, 59, 54, 48, 53, 51, 56, 57, 55, 60]]
8: [[35, 7, 2], [4, 3, 1], [13, 5, 21, 6], [8, 9, 11, 28, 18, 10], [25, 14, 15, 16, 31, 12, 19, 27, 17, 23, 20, 24, 30, 22, 26, 29], [41, 32, 33, 38, 51], [39, 36, 42, 40, 47, 45, 34, 37, 43, 60, 44], [53, 46, 55, 59, 54, 48, 49, 50, 56, 52, 57, 58]]
9: [[35, 7, 2], [4, 3, 1, 13, 21, 5, 14, 8, 27, 6, 10, 9, 16, 28, 11, 26, 12, 18, 23, 19, 15, 17], [22, 20, 24, 31, 30, 25, 29, 45, 32, 34, 37, 54], [33, 36, 38, 40, 46, 39, 43, 47, 58, 42, 44, 51, 53], [50, 41, 48, 49, 55, 52, 59, 56, 57, 60]]
10: [[35, 7, 2], [4, 3, 1], [13, 21, 6], [5, 12, 11], [9, 14, 8, 10, 15, 17, 16, 18, 22], [23, 24, 19, 31, 26], [20, 25, 27], [28, 30, 29], [41, 34, 36, 40, 32, 38, 33, 44, 47, 42, 37], [46, 43, 58, 39, 48, 45, 51, 53], [55, 50, 49, 52, 54, 57, 56, 59, 60]]
11: [[35, 7, 2], [4, 3, 1], [13, 21, 6, 5], [8, 9, 15], [14, 10, 11, 12], [17, 16, 18], [20, 19, 22], [26, 28, 27, 23, 25, 24], [31, 29], [30, 37, 32, 33, 45, 42], [38, 41, 43, 36, 40, 34, 39], [44, 50, 46, 55, 47, 51, 53, 56], [48, 49, 57, 52, 59, 54, 58, 60]]
