0: [[2, 10, 5, 1, 4, 3], [6, 8, 11, 9], [12, 7, 13]]
1: [[2, 10, 5, 1, 4, 3], [6, 8, 11, 9], [12, 7, 13]]
2: [[2, 10, 5, 1, 4, 3], [6, 8, 11, 9], [12, 7, 13]]
3: [[2, 10, 5, 1, 4, 3], [6, 8, 11, 9], [12, 7, 13]]
4: [[2, 10, 5, 1, 4, 3], [6, 8, 11, 9], [12, 7, 13]]
5: [[2, 10, 5, 1, 4, 3], [6, 8, 11, 9], [12, 7, 13]]
6: [[2, 10, 5, 1, 4, 3], [6, 8, 11, 9], [12, 7, 13]]
7: [[2, 10, 5, 1, 4, 3], [6, 8, 11, 9], [12, 7, 13]]
8: [[2, 10, 5, 1, 4, 3], [6, 8, 11, 9], [12, 7, 13]]
9: [[2, 10, 5, 1, 4, 3], [6, 8, 11, 9], [12, 7, 13]]
10: [[2, 10, 5, 1, 4, 3], [6, 8, 11, 9], [12, 7, 13]]
11: [[2, 10, 5, 1, 4, 3], [6, 8, 11, 9], [12, 7, 13]]
12: [[2, 10, 5, 1, 4, 3], [6, 8, 11, 9], [12, 7, 13]]
13: [[2, 10, 5, 1, 4, 3], [6, 8, 11, 9], [12, 7, 13]]
14: [[2, 10, 5, 1, 4, 3], [6, 8, 11], [9, 12, 7, 13]]
15: [[2, 10, 5, 1, 4, 3], [6, 8, 11], [9, 12, 7, 13]]
16: [[2, 10, 5, 1, 4, 3], [6, 8, 11], [9, 12, 7, 13]]
17: [[2, 10, 5, 1, 4, 3], [6, 8, 11], [9, 12, 7, 13]]
18: [[2, 10, 5, 1, 4, 3, 6], [8, 11, 9], [12, 7, 13]]
19: [[2, 10, 5, 1, 4, 3, 6], [8, 11, 9], [12, 7, 13]]
20: [[2, 10, 5, 1, 4, 3, 6], [8, 11, 9], [12, 7, 13]]
21: [[2, 10, 5, 1, 4, 3, 6], [8, 11, 9], [12, 7, 13]]
22: [[2, 10, 5, 1, 4, 3, 6], [8, 11, 9], [12, 7, 13]]
23: [[2, 10, 5, 1, 4, 3, 6], [8, 11, 9], [12, 7, 13]]
24: [[2, 10, 5, 1, 4, 3], [6, 8, 11, 9, 12], [7, 13]]
25: [[2, 10, 5, 1, 4], [3, 6, 8, 11, 9], [12, 7, 13]]
26: [[2, 10, 5, 1, 4], [3, 6, 8, 11], [9, 12, 7, 13]]
27: [[2, 10, 5, 1, 4, 3, 6], [8, 11, 9, 12], [7, 13]]
